English	Malay	Indonesian	priority
hospital	hospital	rumah sakit  influenced by Dutch ziekenhuis ("house of the sick") – This term is still used in Brunei, but in Malaysia, "hospital" has replaced the term completely since the 1960s 	1
I	saya , aku , daku	saya , aku , daku 	1
ice	ais	es 	1
immigration	imigresen, imigrasi	imigrasi  from Dutch immigratie 	1
information	maklumat	informasi , from Dutch informatie , penerangan  rare 	1
journalist	wartawan	wartawan , jurnalis 	1
ketchup	kicap (Indonesian equivalent, kecap , means soy sauce )	saus tomat 	1
list	senarai	daftar , senarai  less common 	1
male	lelaki , laki-laki , jantan  (for animals, depending on the context, it can mean masculine or used as a derogatory term on men)	laki-laki , pria , lelaki , jantan  (on animals, used on men to describe masculinity) 	1
manager	pengurus	manajer , pengurus 	1
March (month)	Mac	Maret  influenced by Dutch maart 	1
mass	jisim	massa 	1
mathematics	matematik , ilmu hisab	matematika , ilmu hitung , ilmu hisab  only used in Islamic text books 	1
matter	jirim	materi 	1
mattress	tilam	kasur , matras , tilam 	1
mean (verb)	bererti	berarti 	1
mile	batu  (means "stone" in Indonesian, from Sanskrit)	mil 	1
military	tentera , ketenteraan , militari	militer  (from French militaire through Dutch militair ) , kemiliteran , ketentaraan 	1
minute	minit	menit 	1
mobile phone, cellphone	telefon bimbit	telepon seluler (ponsel) , telepon genggam 	1
Monaco	Monaco	Monako 	1
Monday	Isnin	Senin 	1
money	wang , duit	uang , duit  (colloquial) 	1
motorcycle	motosikal	sepeda motor  lit. "motorized bicycle" – influenced by Dutch motorfiets , motor  (informal) 	1
Mrs.	Puan	Ibu, Nyonya (Ny.) 	1
music	muzik	musik 	1
naked	bogel , telanjang	telanjang , bugil  (colloquial) 	1
natural	semulajadi	alami , natural 	1
navigation	pandu arah , navigasi	navigasi 	1
navy	tentera laut	angkatan laut 	1
negotiation	perundingan	perundingan , negosiasi 	1
network	rangkaian  (means circuit in Indonesian)	jaringan , jejaring 	1
newspaper	surat khabar  coined from two Arabic words: ṣūrat – صورة / صورت (form, appearance) and khabar  خبر (news)	surat kabar  (more formal – lit. news letter) , koran  (from French courant through Dutch, Krant in modern Dutch, but Koerant in Afrikaans) 	1
nil	nil	nol  from Dutch nul 	1
noisy	bising , kecoh  in Indonesian means "disturb" or "distract" , memekak	berisik , ribut , ramai , bising , bacot ( colloquial, slightly offensive )	1
number	nombor	angka , nomor  (substandard form from Dutch/German nummer ) 	1
ocean	lautan	samudra , samudera , lautan  rarely used in formal situation 	1
office	pejabat	kantor  (from Dutch kantoor ) 	1
option	pilihan , opsyen ( rare )	pilihan , opsi 	1
orange (colour)	jingga , oren	jingga , oranye  (from Dutch oranje ) 	1
orange (fruit)	oren , limau	jeruk , limau 	1
organization	pertubuhan , organisasi	organisasi 	1
papaya (fruit)	( buah ) betik	(buah) pepaya 	1
parliament	parlimen	parlemen  (from Franco-Dutch parlement ) 	1
passport	pasport	paspor 	1
percent	peratus	persen , perseratus  (less common, usually used when compared per mille) 	1
perfume	haruman , minyak wangi	parfum  from Dutch , minyak wangi 	1
pharmacy	farmasi	apotek  (from Dutch apotheek ) , farmasi  (usually for medicine manufacturers) 	1
photograph	gambar  (In Indonesian, it means "picture" or "figure") , foto	foto  ( lit.  photo )   potret 	1
pig, swine	babi  khinzir  from Arabic خِنْزِير  ( khin-zeer )	babi 	1
police	polis  (means " insurance policy " ( polis asuransi ) in Indonesian)	polisi  from Dutch politie 	1
prayer (Islam)	solat , sembahyang	salat  (standard) , shalat , sholat  (from Arabic, 'sh' is usually pronounced as 's') , sembahyang 	1
prayer room (Islam)	surau	surau , musala , mushollah  (from Arabic, 'sh' is usually pronounced as 's') 	1
pregnant	mengandung , hamil  (formal, from Arabic حَامِل ) , berbadan dua  lit. "two bodied" , bunting  for animals	mengandung  (formal) , hamil  (colloquial) , berbadan dua  (poetic) , bunting  (informal) 	1
Preparation	Penyediaan	Persiapan 	1
press	media massa , surat khabar  (see above)	pers  (from Dutch) , media massa 	1
product	keluaran	produk  (from English and Dutch product ) , hasil , keluaran  (more specific term for outcome) 	1
prostitute	pelacur , perempuan sundal  (vulgar)	pelacur , Wanita Tuna Susila (WTS)  (Sanskrit, pronounced 'way-tay-es', i.e. "moral-less women") , Pekerja Seks Komersial (PSK)  (formal, pronounced 'pay-es-ka' (commercial sex workers)) , perek  (slang) 	1
push, to (door)	tolak  (It used as in tolak peluru ( shot put ) in Indonesian for this contex, used less primarily in Indonesian to mean 'subtract', it also means 'to refuse/reject', also common meaning in Malay when used in arithmetics)	dorong  (means "to push" in Malay, but often used to mean "to support") 	1
queue (line)	barisan  (means line " formation " in Indonesian)	antre , antri 	1
rape	rogol	perkosa 	1
receipt	resit , penerimaan	kuitansi , kwitansi  (substandard, from Dutch kwitantie ) , resi , bon  from Dutch , struk 	1
religion	agama , ugama  (widely used before the 80s)	agama , kepercayaan 	1
research	kajian  (means research or investigation result in Indonesian)	penelitian , riset 	1
rob	rompak  (Indonesian for "to commit piracy")	rampok , rampas 	1
room	bilik  (usually means "compartment" in Indonesian)	kamar  (from Dutch kamer ) , ruang  (Javanese, for storage areas etc.) 	1
roundabout (traffic)	bulatan  e.g. Bulatan DBP in Kuala Lumpur   pusing keliling  (in Brunei)	bundaran  e.g. Bundaran HI in Jakarta 	1
royal	diraja	kerajaan  (in Malaysia and Brunei means "kingdom" or "government") 	1
rubber	getah  may also mean gum or sap or resin in both languages, also figure of speech for "cause of bad deed"	karet 	1
rumour	khabar angin , desas-desus	rumor , desas-desus , kabar angin , kabar burung 	1
salty	masin	asin , masin  (rare) 	1
Sanskrit	Sanskrit	Sanskerta 	1
sauce	sos	saus 	1
sausage	sosej	sosis  (from Dutch saucijs ) 	1
school (Islamic)	sekolah pondok	madrasah , pesantren , pondok pesantren 	1
science	sains	ilmu  (from Arabic 'ilm)  (alam), sains  (especially for "natural science") 	1
Scotland	Scotland	Skotlandia 	1
secret	rahsia	rahasia 	1
secretary	setiausaha  Indonesian lit. "loyal to work"	sekretaris  (from Dutch secretaris ) 	1
section	seksyen , bahagian	seksi  (from Dutch sectie ) , bagian 	1
shampoo	syampu  (from Anglo-Indian / Hindustani chāmpo , the imperative form of (Hindi) चाँप्ना  chāmpnā 'to smear, knead the muscles, massage')	sampo 	1
shirt	baju  (also in Indonesian but more generally refers to clothes)	kaos , kemeja  (from Portuguese camisa , implies collared shirt) 	1
shoe	kasut  generalized term for any footwear in Indonesian, but usually related to sandals or ancient shoes , sepatu	sepatu  (understood but less frequently used in Malaysia, from Portuguese sapato ) 	1
shop	kedai  (Means eateries stall in Indonesia)	toko , warung , kedai 	1
shopping mall	pusat beli-belah	mal , pusat perbelanjaan 	1
site (internet)	tapak  (means foundation (building) or footprint in Indonesia)	situs 	1
snow	salji  (from Arabic thalj )	salju  (also from thalj ) 	1
solution	penyelesaian , solusi ( rare )	solusi , pemecahan , penyelesaian 	1
sour	masam	asam , masam  (poetic, usually used in connotative expressions: bermuka masam : sour faced (dissatisfied/unhappy expression)) 	1
soya beans	kacang soya	(kacang) kedelai 	1
specialist	perubatan , pakar	spesialis  (in case of specialist doctor) , pakar  in general, it means expert 	1
spoon	sudu	sendok 	1
sport	sukan	olahraga  (means "athletics" Malay, from Sanskrit, lit. "to train the body") 	1
staff	kakitangan  (phrase " kaki tangan " means subordinate with negative image in Indonesian)	staf , personil  from Dutch personeel , pegawai 	1
station	stesen	stasiun  (formerly spelled " setasiun ") 	1
stop (verb)	berhenti	berhenti , henti , setop 	1
stupid	bodoh, bengap, tolol, bangang, bongok  (slang)	bodoh, dungu, tolol, goblok  (slang), very demeaning in Malay , geblek  (slang) , bego  (slang) 	1
Sunday	Ahad	Minggu  (from Portuguese Domingo which means Lord's Day) , Ahad  (only used in Islamic calendar) 	1
tap water	air paip  (piped water)	air keran  (from Dutch Kraan ) , air ledeng  (" ledeng " also means "plumbing", from Dutch " leiding ") 	1
taxi	teksi	taksi 	1
teacher	cikgu, guru	guru 	1
teacher (religious, Islam)	ustaz , ustad  (ultimately from Persian اُستَاذ ) , ustadzah  female	ustad , ustadzah 	1
team	pasukan  used in Indonesian to refer to squad (military)	tim 	1
telephone	telefon  (formerly talipon )	telepon 	1
television	televisyen , TV	televisi  (from Dutch televisie ) , TV 	1
terrorist	pengganas  (means " rioter " in Indonesian)	teroris 	1
ticket	tiket	tiket , karcis  (from Dutch kaartje , usually refers to small-size ticket) 	1
tire (US)/tyre (UK)	tayar	ban  (from Dutch [auto]band ) 	1
tofu	tauhu	tahu , tofu 	1
toilet	bilik air, tandas	toilet, kamar kecil, WC  (pronounced 'way-say') for watercloset 	1
toothpaste	ubat gigi	pasta gigi  odol  ( genericized from Odol , German toothpaste's brand) 	1
traffic jam	kesesakan lalulintas , jam  (slang)	kemacetan, macet 	1
traffic light	lampu isyarat  (In Indonesian, isyarat means sign)	lampu lalu-lintas 	1
train	kereta api, tren	kereta (api) 	1
transport, transportation	pengangkutan	transportasi  (from American English : 'transportation') , pengangkutan , perhubungan  (in case of Ministry of Transportation) 	1
tree	pokok  in Indonesian means "principal" or "core" or "staple", in Sundanese  poko means authentic, e.g. authentic cuisine , pohon	pohon 	1
turn	pusing  (means 'to spin' in Indonesian, commonly used to mean dizzy as a short form of kepala pusing ) , belok	belok , putar 	1
ugly	hodoh, teruk, buruk	jelek, buruk 	1
uncle	pakcik	paman , oom, om  (derived from Dutch, pronounced and sometimes spelt oom ) 	1
United States of America (USA) United States (US)	Amerika Syarikat	Amerika Serikat (AS) 	1
university	universiti	universitas 	1
until	sehingga  (means 'thus' in Indonesian) , sampai	hingga , sampai 	1
verb	kata kerja	kata kerja  (influenced by Dutch werkwoord , lit. "work word") , verba 	1
very	sangat, amat, sekali	sangat, amat, sekali, banget  (from Javanese ngoko ) 	1
visit	lawatan, pelancongan	wisata , kunjungan , pelancongan , lawatan  (to foreign country, an excursion) , besuk  (from Dutch bezoeken ) (to someone sick) 	1
want	mahu	mau , ingin 	1
website	laman web , laman sesawang	situs web , laman web 	1
weekend	hujung minggu	akhir pekan , akhir minggu 	1
when	bila , apabila , ketika , bilamana  (rarely used)	kapan, bilamana , (question word)  bila, ketika 	1
window	tingkap , jendela	jendela  (from Portuguese janela ) , tingkap  (less common) 	1
you	anda  (very formal) , awak , kamu , engkau , kau	anda  (everyday formal) , kamu  (familiar only) , engkau ('kau)  (prose) 	1
zero	sifar	nol  from Dutch nul 	1
zone	zon	daerah , zona 	1
Britain	Britain 	Britania  (from Latin : Britannia ) 	
Brussels 	Brussels 	Brussel  (influenced by Dutch) 	
Bucharest 	Bucharest 	Bukarest 	
Cairo	Kaherah  from Arabic Al-Qahirah 	Kairo 	
Cambodia	Kemboja 	Kamboja 	
Cameroon	Cameroon 	Kamerun  (from Dutch Kameroen ) 	
Caribbean	Caribbean 	Karibia 	
China 	China , Cina 	1. Tionghoa  (standard term for Chinese people, from Southern Min Chinese: Tiong-hôa – 中華) , 2. Tiongkok  ( Republik Rakyat Tiongkok and Republik Tiongkok : official name of the People's Republic of China and Republic of China , from Southern Min Chinese: Tiong-kok – 中國) , 3. Cina  (standard, still in common use but discouraged due to racist connotations. See Shina for further information.) , 4. China  (nonstandard) 	
Christmas 	Krismas , Natal 	Natal  from Portuguese 	
Congo 	Congo 	Kongo 	
Croatia	Croatia 	Kroasia 	
Cuba	Cuba 	Kuba 	
Cyprus	Cyprus 	Siprus 	
Czech Republic	Republik Czech 	(Republik) Ceko 	
December	Disember	Desember  ( influenced by Dutch december ) 	
Dutch East Indies	Hindia Timur Belanda	Hindia-Belanda 	
Ecuador	Ecuador	Ekuador 	
Ethiopia	Habsyah  from Arabic الحبشة  al-habsha (Abyssinia)	Etiopia 	
Finland	Finland	Finlandia 	
Hungary	Hungary	Hungaria , Hongaria  substandard, influenced by Dutch Hongarije 	
Iceland	Iceland	Islandia 	
Iraq	Iraq	Irak 	
Ireland	Ireland	Irlandia 	
Italy	Itali	Italia  from Italian 	
(fruit) jam	jem	selai 	
Japan	Jepun  from Portuguese Japão	Jepang , Jepun  (archaic) 	
Jordan (country)	Jordan	Yordania  from Dutch Jordanië 	
July	Julai	Juli  from Dutch juli 	
June	Jun	Juni  from Dutch juni 	
Lebanon	Lubnan  from Arabic	Lebanon , Libanon  influenced by Dutch 	
Lisbon	Lisbon	Lisboa  from Portuguese , Lisabon  influenced by Dutch Lissabon 	
Luxembourg	Luxembourg	Luksemburg  influenced by Dutch/German Luxemburg 	
Macau	Macau	Makau 	
Macedonia, Republic of	Republik Macedonia	Republik Makedonia 	
Maldives	Maldives	Maladewa 	
Mexico	Mexico	Meksiko 	
Morocco	Maghribi  from Arabic	Maroko 	
Moscow	Moscow	Moskwa , Moskow 	
Mozambique	Mozambique	Mozambik 	
New Zealand	New Zealand	Selandia Baru  (influenced by Dutch: Zeeland ; or from Latin : Zeelandia ) 	
Nicosia	Nicosia	Nikosia 	
Norway	Norway	Norwegia 	
Pacific Ocean	Lautan Pasifik , Lautan Teduh	Samudra Pasifik 	
Palestine	Palestin	Palestina 	
Papua New Guinea	Papua New Guinea	Papua Nugini 	
Persia	Parsi	Persia 	
Poland	Poland	Polandia 	
Prague	Prague	Praha  (also used in Malay) 	
Rome	Rom	Roma 	
Roman  (demonym)	Rom	Romawi 	
Slovakia	Slovakia	Slowakia 	
Spain	Sepanyol	Spanyol 	
abolition	pemansuhan 	1. abolisi , 2. penghapusan 	
abortion	pengguguran 	1. aborsi , 2. pengguguran  (of a fetus) 	
abroad	luar negara 	luar negeri 	
accessibility	1. kebolehcapaian , 2. ketercapaian 	1. keterjangkauan , 2. ketercapaian , aksesibilitas 	
account  (bank, bills) 	akaun 	1. rekening  (from Dutch – used in banks and hotels) , 2. akun  (used for all meanings of account apart from bank account) 	
accountability 	kebertanggungjawapan , akauntabliti 	akuntabilitas , pertanggungjawaban 	
accountant 	akauntan 	akuntan 	
accounting 	perakaunan 	akuntansi 	
accurate 	tepat 	1. tepat , 2. akurat  (influenced by Dutch accuraat ) 	
administration	pentadbiran 	administrasi  (From Dutch pronunciation of administratie ) 	
afternoon	petang 	1. sore , 2. petang 	
agent	1. ejen , 2. agen 	agen 	
air force	tentera udara 	angkatan udara 	
Alexandria 	Iskandariah 	Alexandria , Iskandariyah 	
Algeria 	Algeria 	Aljazair  (from Arabic: al-Jazā'ir – الجزائر ) 	
Algiers 	Algiers 	Aljir  (from Algerian Arabic : dzayr – دْزَايرْ ) 	
alliance	perikatan , persekutuan , pakatan 	aliansi  (influenced by Dutch alliantie ) , persekutuan 	
alloy 	pancalogam , aloi 	logam paduan , logam campuran , aloi 	
application (software) 	perisian penggunaan , aplikasi 	perangkat lunak , aplikasi 	
architect 	arkitek 	arsitek  (from pronunciation of Dutch architect ) 	
architecture 	seni bina 	arsitektur  (influenced by Dutch architectuur ) 	
archive	arkib 	arsip  (from Dutch archief ) 	
assembly	majlis , perhimpunan  (from the root verb ' himpun ' meaning 'to gather/assemble') 	majelis , himpunan , perhimpunan 	
assets	aset 	harta , aset , aktiva  (from Dutch activa ) 	
association	persatuan 	asosiasi  (from Dutch associatie ) , persatuan , perkumpulan 	
assumption	andaian , anggapan 	asumsi , anggapan , dugaan  	
astronaut	angkasawan 	astronaut , antariksawan 	
Athens 	Athens 	Athena  (influenced by Dutch Athene or from native Greek Athina ) 	
athletics  (sport) 	olahraga  ('sport' in Indonesian) 	atletik 	
auction 	lelong  from Portuguese leilão 	lelang  also from Portuguese leilão 	
autobiography	autobiografi 	autobiografi , otobiografi is a nonstandard form 	
autonomy 	autonomi 	otonomi ( self-governing) 	
awkward 	janggal , kekok ( of gesture )	aneh , janggal , canggung , kikuk ( of gesture )	
backpack	beg sandang  ( lit. "sling bag") 	ransel  (from Dutch) , tas punggung 	
backstage (of a theater or studio) 	belakang tabir 	belakang layar  ( lit. "back screen/behind the screen") , belakang panggung  	
baseband	jalur asas 	pita dasar 	
basin (wash basin/sink) 	besen 	wastafel  (from Dutch, lit. washing table) 	
basket (ball)	keranjang 	bola basket 	
basket (general)	bakul 	keranjang 	
because	kerana , sebab 	karena , sebab 	
bed	katil 	matras  influenced by Dutch matras , tempat tidur , ranjang , kasur 	
Belgium 	Belgium 	Belgia  influenced by Dutch België 	
Belgrade 	Belgrade 	Beograd  influenced by Serbian Београд 	
bill (legislation) 	rang undang-undang 	rancangan undang-undang , legislasi 	
billboard	papan iklan 	baliho  (supposedly from English ballyhoo (in English it means extravagant publicity or fuss))  papan iklan , papan reklame  from Dutch reclame (advertisement) 	
billion	seribu juta, bilion 	miliar  (from Dutch miljard ) , milyar ( informal but frequently used )	
binary	perduaan 	biner  (from Dutch binaire ) 	
bishop	biskop , bisyop 	uskup 	
border	sempadan 	perbatasan 	
bonnet, hood (of a car) 	bonet , bumbung , hud 	kap  from Dutch 	
Borneo 	Borneo 	Kalimantan 	
capacitor	pemuat , kapasitor 	kondensator , kapasitor 	
carburetor 	karburetor 	karburator 	
cavalry 	pasukan berkuda 	pasukan berkuda , kavaleri 	
cement 	simen 	semen 	
censor 	tapisan  (means "filter" in Indonesian) 	sensor 	
census	banci  (means "transvestite" in Indonesian) 	sensus , cacah ,  banci  (virtually never used in Indonesia, listed by KBBI) 	
centipede 	lipan 	kelabang , lipan 	
central	pusat 	pusat , sentral , tengah 	
chaos (theory)	teori kekacauan 	teori kekacauan 	
circuit	litar 	sirkuit 	
civil	awam  (In Indonesian, it means "non-expert") , sivil 	sipil 	
claim	tuntutan  (means "sue" in Indonesian) 	klaim  tagihan [40]  	
clarification	klarifikasi , penjelasan , penjernihan  (to make something, e.g. water, clear in Indonesian) 	klarifikasi , penjelasan 	
clause (legal) 	fasal  (equivalent term in Indonesian is pasal ) 	ayat , klausul 	
club (association) 	kelab 	klub , perkumpulan  infrequent 	
coach (carriage) 	koc 	gerbong 	
cockroach	lipas 	lipas , kecoa  (from Southern Min Chinese: ka-choa̍h – 虼蚻) 	
coin	syiling  from English shilling  siling  from English shilling (rare) mata wang , wang logam , duit  from Dutch duit [41]  	koin , mata uang , uang logam  duit  from Dutch duit [42] [43]  	
college	kolej , maktab 	kampus , kolese , kolegium 	
Cologne 	Cologne 	Köln , Koeln 	
Colombia 	Colombia 	Kolombia 	
comment	ulasan , komen 	ulasan  (can also mean review, interpretation or comment) , komentar  (from Dutch commentaar ) 	
commissioner 	pesuruhjaya 	komisaris  (from Dutch commissaris ) , komisioner 	
committee 	jawatankuasa 	komite , panitia 	
commonwealth 	komanwel 	persemakmuran 	
Comoros 	Comoros 	Komoro 	
compiler	penyusun 	penyusun , kompilator 	
complaint	aduan 	aduan , keluhan , komplain 	
condensation 	pemeluwapan , pengembunan , pencecairan 	kondensasi  (from Dutch condensatie ) , pengembunan 	
confirmation 	pengesahan 	konfirmasi , pengesahan  of a document , kepastian  of a decision 	
conflict	pertikaian 	konflik , pertentangan , pertikaian 	
conservation  (movement) 	pemuliharaan , konservasi ( rare )	konservasi , pelestarian (of animals and plants)	
constitution of a country 	perlembagaan 	undang-undang dasar  (influenced by Dutch grondwet ("basic law")) , konstitusi  (from Dutch constitutie ) 	
construction	pembinaan 	pembangunan (of building), pembinaan (of moral), konstruksi  (from Dutch constructie ) 	
consumption	perbelanjaan 	konsumsi  (from Dutch consumptie ) , pemakaian , penggunaan 	
contamination 	pencemaran 	pencemaran , kontaminasi 	
continuous	selanjar 	berkesinambungan , berlanjut , kontinu 	
conversion	penukaran  (means "exchange" in Indonesia) 	konversi  (from Dutch conversie ) , perubahan 	
corporation	perbadanan 	korporasi  (from Dutch corporatie ) , badan usaha , perusahaan 	
corruption	rasuah  (from Arabic: Rashwah meaning 'bribe') , korupsi ( rare )	korupsi  (from Dutch corruptie ) , rasuah  (from Arabic: Rashwah meaning 'bribe')(non-standard) 	
Costa Rica	Costa Rica 	Kosta Rika 	
counter	kaunter 	loket  from Dutch , konter 	
country	negara 	negara , negeri  in Malaysia, negeri usually refers to a state within a federation 	
cracker	keropok 	kerupuk 	
criminal	jenayah 	penjahat , kriminal , pidana  ( ahli pidana is criminal law expert) 	
crucial	genting 	krusial , penting , genting 	
cupboard	almari  (from Portuguese armário ) 	lemari  also from armário 	
current affairs	hal ehwal semasa 	aktualitas , peristiwa terkini 	
curtain	langsir  (means train wagon arrangement in Indonesian) , tirai 	tirai  (used for all meanings apart from house curtain) , gorden  ( of a house; from Dutch gordijn ) 	
customs (authority) 	kastam 	pabean  refers to the administrative institution , bea dan cukai ( bea-cukai ) lit. tariff-and-tax, duty 	
dandruff	kelemumur	ketombe 	
decimal	perpuluhan  (means tithe in Indonesian)	desimal  ( from Dutch decimale ) , persepuluhan  (rare) 	
decree	dekri	surat keputusan , dekrit  ( from Dutch decreet ) 	
degree (of temperature)	darjah	derajat 	
delicious, tasty	lazat , sedap , enak	lezat , enak , sedap 	
depression (psychological)	kemurungan  (means "sadness" in Indonesian)	depresi  ( from Dutch depressie ) 	
deputy	timbalan	wakil , deputi , timbalan  (rare) 	
design	reka bentuk	desain , kerangka bentuk , rancangan 	
detection	pengesana	pelacakan , deteksi 	
diocese	kawasan uskup , keuskupan	keuskupan 	
director	pengarah	direktur  from Dutch (and French) directeur , sutradara (of a film) from Sanskrit (through Javanese) , pengarah  (for an event) 	
discussion	perbincangan , diskusi	pembicaraan , perbincangan , diskusi  ( from Dutch discussie ) 	
disinfectant	penyahjangkit	disinfektan , sucihama 	
duty (economics)	duti , cukai	bea , cukai 	
editorial (board)	kakitangan editorial	redaksi  ( from Dutch redactie ), editorial 	
effectiveness	keberkesanan	keampuhan , keefektifan , efektivitas  ( from Dutch effectiviteit ) 	
efficiency	kecekapan	efisiensi , kedayagunaan , kemangkusan 	
