user_id	username	name	tweet	language
30199241	ciksenah	Cik Senah Ronggeng	Actually, Supercube bukan tea. Tea ada caffeine. Tapi since korang suka nak consume caffeine setiap hari, silakan lah. :))	in
185225169	aidarshd	A. Yelena	@pencaritenang @amirxabdhadi woi cytro pencari tenang gfto my mentions	in
737319724199993344	khnisawhyn	Nisa' 🎩	Baru perasan yang 3 mini projek  perlu dihantar pada tarikh yang sama, yang membezakan hanya waktu 😂	in
3265819327	azimpikeri	Azim Pikeri	@ketengahketepi Mana nak beli ni?	in
998879231219150849	madscrbos	coolio	@hmetromy Tau le raya belum habis	in
161345240	kaedethepeople	Lockdown Day 11 🇵🇸	Omg Loki episod 1 dah keluar 🤣	in
275057058	media_selangor	Media Selangor	SelangorKini |  Persatuan perubatan: Langkah Selangor beli vaksin percepat pulih wabak  https://t.co/gzaqDQajaZ  https://t.co/oUCAUyKI6a	in
4026152180	ainieyinia	Mc Niey	budak kuat makan..🤣🤣  https://t.co/YdPX6ZycFR	in
70911073	nrlakml	I Am Akmal	Kalau masuk pasir gudang sekarang best la. Kalau masuk pasir gudang masa first batch dia bukak, confirm kerja nak mengamuk je sebab takde line and takde atm. Hahahahah	in
1142636953	ciniscin	cinis	@ishazleen_ Ye momi. Baru nak layan wkwkwkw noob	in
485436509	aidaastar	aida dece	@harakahdailyHD Say no to DAPIH🙅‍♀️	in
1010492390	datind1na	nurse separuh masak	i bukan nk ckp apa..kalau rasa you suami org tolongla jgn DM..i can find your wife jgn cabar i☺️	in
414085986	naquib_najib	C M	@adibkhld Terima kasih!	in
1050865393	harire1993	HARIRE OFFICIAL	@redzuanNewsMPB @HilalAsyraf Lama duk prati mujur ado org report . Meluat tgk dulu ok. Makin lama2 makin jadi jadi mulot dia	in
924862599895773186	notpong4321	Abazah🇵🇸🇵🇸🇵🇸	Almost terpegi kepada ajakan kedai mamak  macam ni tapi seb baik aku jenis rela tido dari lepak kahkahkah	in
862654248315633664	officialwisermy	wiser.my	Tak ada untuk pengguna iPhone  https://t.co/KueH9xQJDj	in
1058210324703141890	beboredstiff1	beboredstiff 🇲🇾 🪐	@hmetromy Billion rupiah?	in
840516246449799168	jentikhati	jentikhati	Ya Allah, satukan aku dalam Syurga Firdaus dengan orang-orang yang aku sayangi semata-mata kerana Mu. ❤🤲	in
295478389	hanifmz	hanifmz | 🍔 | Burger Vista	@sofyank96 @AimanPsikologi Okay la casing je. Kalau dapat kotak je?	in
847456358	haqdgkal	jiha	‘nanti kalau nak mengandung. jangan rancang2. mengandung je terus’ entah lah aku banyak angguk je tadi. tapi tu jelah ayat yang aku dapat tangkap dari banyak2 yang doc cakap 😂	in
93572738	raraexora	᥅ꪖ᥅ꪖ ꫀ᥊ꪮ᥅ꪖ	nak meeting tadi bukan main mengantuk, dah habis waktu kerja tak mengantuk pulak 😏😏	in
902215897284100096	imrnnabil	𝐼𝑚𝐻𝑒𝑚𝑠𝑤𝑜𝑟𝑡ℎ	lepastu nak sanjung zaman AFF SUZUKI 2010, zaman tu mana ada sumbat naturalibabi banyak-banyak boss.	in
2209185986	syedfakhrul12	»KacaMata«🇲🇾🇲🇾🇲🇾	Kenapa marah sangat Prof Muhaya kata gitu? Bukannya dia paksa korang suruh jadi bodo pun 😂 Hadeh udah² la tu stress untuk benda yang takda kepentingan	in
3005720286	fais_mohder	Faistra ZeMohderneca 🇵🇸 🇲🇾	@anishidayahhhhh Subjek puaka yang mana tu??? 🥰🥰🥰	in
1149951007	zamirmohyedin	Zamir Mohyedin	@WehNakBacaApaNi @bilikpenyair @naimalkalantani @_jackmalik Ya, bukalah. Aku tanya orang-orang puisi, dulu pernah tanya depan-depan dalam program pun tak ada orang jawab apa beza puisi T. Alias Taib dengan ayat penyata. Kalau orang tak kenal dia sebagai pemuisi orang akan baca puisi dia sebagai puisi ka atau ayat penyata.	in
172184830	sharmsoul	#SharmOnEarth 🇲🇾🚂	@syuhadajani Nak tanya dia buat custom console table tak? Kalau bagi contoh .. simple punya .. plss 🙏	in
873122400	immuhdhilmi	𝕄𝕚 🇵🇸	@syfqhhdzn Tolong jangan rakam	in
241446351	zolazrai	ZolazraiZolkapli	"@ApitMazlan Tak tahu la, ura-ura katanya. Sebab tu ada disclaimer ""memang bodoh la kalau"".. hahaha"	in
426678926	raihana_aai	A'ai 🇲🇾| kayman shah alam|bangsar|klang	Seronoknya tgk mark wiens naik flight buat food review ..naik ANA airlines pulak tu..rindu rindu rindu	in
2594615557	imanm___	im 💎	Baik kau diam! Aku dh la tak cukup tido, anak unta betul!	in
851943102302441473	nur_aini_ismail	♡︎𝑁𝑜𝑛𝑖 ♡︎	Saya dgn mama sekali divaksinkan	in
18714463	mkini_bm	Malaysiakini (BM)	'Pak guard' kena lempang gara-gara minta periksa suhu  https://t.co/HtgtKYe1Wi	in
34587326	fariziskan	Fariz	Mantap #PS4share   https://t.co/fSXY0jwYbd  https://t.co/TcjKLjfEO0	in
1010564470270119936	aqidazizol	smokey	lama sia tak guna my mampus kau ah	in
1093576522139496448	akasyaaaazul	Akasha.Z	"""Kau tengah buat dia biasakan diri sorang sorang"" ✋🏻"	in
2911802894	imwatafak	🇵🇸❤️عمران•இம்ரான்•伊姆兰	Not my groupmate nak pindah jakarta :’)	in
1193717516	min_iqram95	Alahai Shazmin	salam takziah coach😭besar dugaan beliau,harap pemain buat yg terbaik beri kemenangan untuk kembalikan semangat coach,ayuh Harimau Malaya!✊🏼	in
368040844	tirahyun	Tira 🇵🇸	Aku dulu dapat je jugak spm 9A tapi parents tak bangga sangat sebab kakak dah penah dapat 9A tu 🥲	in
126067349	aimanpsikologi	Aiman Psikologi 🇲🇾	@sofyank96 Harap dapat check emel, saya ada hantar emel untuk peluang kolaborasi 🙏🏻	in
169782210	hananiabdrahman	Ainani	Petang ni plan nak basuh carpet yang princess kencing pastu nak tangkap kucing depan masjid nak bawak pegi kembiri esok. Tapi ni skrg macam mengantuk je. 🤲🏻	in
1050865393	harire1993	HARIRE OFFICIAL	@redzuanNewsMPB @HilalAsyraf Kena igak doh	in
262415141	kiddiepax	PU liss 🍦👮	@Kendogdoll Bukan buat kerja pun. Dok rumah je. Tak high risk. Vaccine lambat pun tak kesah la kan. Lol.	in
1221332271187148800	mikatsum22	your absinthe	@hanifmz @bukan_bal @twoAoneDLIV @HRHJohorII +1 more, sign cop untuk waris waris?	in
6055252	fendyzaidan	oldmanfendy	@qalhae Aku rasa mcm air mata kucing. Aftertaste dia.	in
1063234646337499136	xennials2	xennials.my	@bijak_politik @BN4everTN5O @_mustarjo @firdauszalani @Khalid_Ibrahim @mengkudu_masam @saifnasution Benang anda ni berbelit-belit sampai boleh buat anda sendiri terjerut. Tu yg saya mudahkan 😄 Dapatkan fakta yg sahih wahai saudara.  Educate lah masyarakat yang belum sedar tentang kegagalan pemerintah skrg sampai nak hancur jadi negara. ini yang lagi utama	in
1380107311	adlhfn	𖤐 Vortex 𖤐	Esok je la rest day. Petang ni buat recovery run je	in
176754986	ilhamhafizz	Ilham	alhamdulillah bebas	in
2594615557	imanm___	im 💎	Tak berhenti2 ckp buat semak otak aku je.	in
508323981	asrafshuhaimi	AsrafZeneca	@Adib_muqri Aku call JnT dia kata takde update pun. Seller kata penangan 6.6. Takkan waktu kau hantar tak track langsung? Ye dak	in
473943867	nryhtul	Teringin Temyracle Cuura StrangeSugar Kapar Klang?	saya kekurangan kasih sayang, maafkan saya	in
19876155	sxph	68 👾	@linakittehPLAYS so true. spesis camtu patut dihapuskan!	in
1086951704	irzuanhassim	X	@amymomoii @emir_izzat jaga jaga moi. season 2 ni iena hidup balik pastu ada watak baru. jannatun alya.	in
