term	Meaning
拉不下脸来	Fear of hurting somebody's feelings by doing something, or embarrassed or do something
说不到一块儿 (他们各谈各的,-)	Cannot get along with somebody
闹意见 (眼下他和董事会(board of directors)-了)	Be one bad terms because of difference of opinions
炮筒子	A person who shoots his mouth off; says everything that's on his mind
动不动就 (-生气 be easily ruffled; -哭鼻子; -发火)	Ｅａｓｉｌｙ； ｆｒｅｑｕｅｎｔｌｙ
脸红脖子粗 (争得- get red in the face in the heat of the argument)	Ｆｌｕｓｈｅｄ ｉｎ ａｎｇｅｒ
捅娄子	Ｍａｋｅ ａ ｂｌｕｎｄｅｒ； ｇｅｔ ｉｎｔｏ ｔｒｏｕｂｌｅ
软硬不吃	Both hard and soft tactics are useless, so one cannot change someone's stance or opinions.
里三层外三层 (参展者-地围住展台 crowds swarmed around the stands)	Completely surround; wrapped or bundled up with clothing
看着办 (只要告诉服务台就行，他们会-的 Just tell the service counter, and they will see to it; 不收服务费，给不给小费您- There is no service charge and tipping is at your discretion)	Decide something by oneself given the situation
血汗钱	Money earned by hard toil.
在刀刃上 (把有限的资金用在-)	The edge of a knife, where it is needed most
二把刀	A person who has only a superficial knowledge of a subject.
老大难	Long-standing, complex and difficult problem.
硬着头皮 (-把这本书读完 brace oneself and read the book through)	brace oneself; force oneself to do something against one's will
一锅粥 (真是乱成-! What a ****-up)	all in a muddle; a complete mess
不是地方	Not in the right place; this is not the proper place.
鼻子不是鼻子脸不是脸	Have an angry expression.
里外不是人	Offend and be blamed by two sides; caught in the middle.
拿A开刀	Make an example of someone or something.
现买现卖	Talk about something one has just heard or read and does not fully understand.
要多＋形容词＋有多＋形容词 (让你的心高飞，-高-高。拒绝平庸。 Let your heart soar as high as it will. Refuse to be average.)	Very; extremely
找不自在	look for trouble 4
形容词＋了去了	Very; awfully; highly. Used with monosyllabic adjectives.
有年头 (他干这一行-了 He has been doing this sort of work for years)	For a long time; for many years; old
手头儿紧 (由于-，他不得不接受这份工作; 她被解雇了，所以-很-)	Have no money or not have enough money
话说回来 (-，参加投票的人还是很多的 All the same, turnout was high)	Consider both sides of a topic
大老粗	Uneducated and uncultured person.
睁眼瞎子 (他都快二十了, 还是-)	Illiterate person
顶呱呱 (在毕业生中她是-的一个 She is second to none among all the graduates; 伙计，这个汉堡包的味道是-的 Man, this burger is really vicious)	Excellent; in tip-top shape
谈得来 (我和利兹一见面就明显得我们俩很-。 As soon as met Liz, it was obvious we spoke the same language; 他们非常- They hit it off together; 经过一年的大学学习，我觉得自己跟什么人都能-)	Get along with somebody
脸皮薄	Thin-skinned; very sensitive; shy.
过来人 (要知水深浅， 须问- He knows the water best who has waded through it)	A person who has already experienced something
绣花枕头 (-, 虚有其表 A pillow with an embroidered cast looks impressive but lacks of need worth)	An outwardly attractive person who lacks ability and intelligence
哭鼻子	Snivel; cry
说得过去 (她的英语发音还- Her English pronunciation is passable)	Passable
一时半会儿	A short while; a short period of time
八子还没一撇	"There is not even the slightest sign of anything happening yet"
热心肠 (她是个-的人)	A warmhearted person
