term	description
节约型社会	Conservation-oriented society
金领	Gold collar, gold-collar worker. It refers to high-level professionals, such as engineers, lawyers, analysts, programmers, etc.
禁捕	Be prohibited from fishing; prohibit fishing
禁放	(of fireworks and firecrackers) be prohibited
禁改限	Prohibition changed into limitation
经济适用房 jīng jì shì yòng fáng	Economic houses
精装修 jīng zhuāng xiū	Delicate internal decoration
绝了	Unique, excellent, brilliant
卡丁车	Go-cart
卡拉OK	Karaoke
开盘 kāi pán	1) Opening quotation (on the exchange) 2) Begin to sell
侃 kǎn	Chat idly, tattle
砍价 kǎn jià	Bargain
看病难	Hard to see a doctor
考博 kǎo bó	Take the entrance examination for a doctor's degree
考级	Grade examination
考研	Take the post graduate school entrance examination
靠	****, damn (swearword); used to express one's anger or upset
靠谱	Reasonable; sound
科博会	High-tech Expo
科技奥运 kē jì ào yùn	Scientific Olympics
科学发展观	Scientific Concept of Develpment
可持续发展	Sustainable development
啃老族 kěn lǎo zú	NEET (not in education, employment, or training)
空巢 kōng cháo	Empty nest family
空巢老人	Empty nester; parents whose children have grown up and moved away from homes
孔子学院 kǒng zǐ xué yuàn	Confucius Institute
恐龙 kǒng lóng	Dinosaur; a metaphor for an ugly girl (derogatory)
抠门儿 kōu mén er	Stingy, closefisted, penny-pinching, miserly
口水仗 zhàng	Quarrel
酷 kù	Cool
酷毙了 kù bì le	Very or extremely cool; the coolest, the best
快餐	Fast food
快男	Abbrevation for KUAILENANSHENG, the title of a television program. Not it is used as referring to the boys performing on the show
宽带 kuān dài	Broadband
垃圾股 lā jī gǔ	Junk stock
拉动内需	Spur domestic demand
来劲	1) Get excited 这场赛跑真~！, 她越干越- 2) Make trouble; find fault with
蓝牙 lán yá	"Bluetooth" technology; a short distance wireless communication technology
烂尾楼 làn wěi lóu	Unfinished building
老毛儿	Hick, an ignorant or ill-informed person
老三样	Three most common things in a category
冷处理	Cold treatment; a metaphor for giving something a coolig-off period before addressing it, tackling a matter after all parties concerned have cooled down
廉租房 lián zū fáng	Cheap rent housing
两会	Two conferences; referring to the National People's Congress (NPC) and the Chinese People's Political Consultative Conference (CP-PCC)
亮点 liàng diǎn	Highlight; a metaphor for (someone or something) to be attractive and eye-catching (只有一处-。 There was one bright spot; 斯堪的纳维亚的- The Scandinavian Highlights; 他的人格中有很多- He has many great qualities as a person)
亮晶晶 liàng jīng jīng	Glittering, glistening, sprakling, shining 夜空有数不清的-的星星
靓	Beautiful, fashionable, good-looking
靓女	Beautiful woman, pretty girl
靓汤	Delicious soup
靓仔	Handsome young man
猎头 liè tóu	Headhunting -公司
临时抱佛脚 lín shí bào fú jiǎo	Make effort at the last moment; cram (他们得熬夜- They have to stay up late cramming)
