description	term
aspiration; ambition	抱负 bào fù
exposure (e.g. of photosensitive material); to expose (a scandal to the public)	曝光 bào guāng
violence; (use) force; violent	暴力 bào lì
to expose; to reveal; to lay bare	暴露 bào lù
general office of a newspaper; newspaper office; CL:家[jiā]	报社 bào shè
submit an expense account; apply for reimbursement; write-off; wipe out	报销 bào xiāo
to complain; to grumble	抱怨 bào yuàn
explosion; to explode; to blow up; to detonate	爆炸 bào zhà
grieved; sorrowful	悲哀 bēi āi
base; mean; contemptible; despicable	卑鄙 bēi bǐ
miserable; tragic	悲惨 bēi cǎn
the North Pole; the Arctic Pole; the north magnetic pole	北极 běi jí
passive	被动 bèi dòng
backup	备份 bèi fèn
defendant	被告 bèi gào
shell; conch; cowry; mother of pearl; hard outer skin; alternative reading bèi qiào, mostly written	贝壳 bèi ké
to betray	背叛 bèi pàn
recite; repeat from memory	背诵 bèi sòng
memorandum; aide-memoire; memorandum book	备忘录 bèi wàng lù
rush about; be busy running about	奔波 bēn bō
to run quickly; to travel quickly; to move fast; Mercedes-Benz, German car make	奔驰 bēn chí
instinct	本能 běn néng
capital	本钱 běn qián
the person himself; I (humble form used in speeches); oneself; myself; in person; personal	本人 běn rén
itself; in itself; per se	本身 běn shēn
ability; skill; source material; original story	本事 běn shi
based on...; in conformance with..; taking as one's main principle	本着 běn zhe
clumsy; awkward; stupid	笨拙 bèn zhuō
to collapse; to crumble; to fall apart	崩溃 bēng kuì
need not; (contraction of 不 and 用)	甭 béng
to jump; to bounce; to hop	蹦 bèng
to burst out; to gush; to spurt	迸发 bèng fā
to force; to compel; to coerce	逼迫 bī pò
nasal mucus; snivel	鼻涕 bí tì
analogy; instance	比方 bǐ fang
metaphor; analogy; figure of speech; figuratively	比喻 bǐ yù
proportion; specific gravity	比重 bǐ zhòng
arm	臂 bì
malady; evil; malpractice; drawback; disadvantage	弊病 bì bìng
be bound to; be sure to	必定 bì dìng
malpractice; abuse; corrupt practice	弊端 bì duān
stop up; close up; hard to get to; out of the way; inaccessible; unenlightened; blocking	闭塞 bì sè
jasper	碧玉 bì yù
to spur on; to urge on; to encourage sb (e.g. to make progress)	鞭策 biān cè
border area; borderland; frontier; frontier region	边疆 biān jiāng
boundary; border	边界 biān jiè
frontier; border	边境 biān jìng
edge; fringe; verge; brink; periphery; marginal; borderline	边缘 biān yuán
to weave; to knit; to plait; to braid	编织 biān zhī
flat; (old form of character 匾, horizontal tablet with inscription)	扁 biǎn
to belittle; to disparage; to play down; to demean; to degrade; to devalue	贬低 biǎn dī
derogatory sense; negative connotation	贬义 biǎn yì
to cover the whole (area); to be found throughout	遍布 biàn bù
an unforeseen event; accident; misfortune	变故 biàn gù
to speak in defense of; to argue in favor of; to defend; to plead	辩护 biàn hù
to explain; to justify; to defend (a point of view etc); to provide an explanation; to try to defend oneself	辩解 biàn jiě
convenient; easy; facilitate	便利 biàn lì
changes; vicissitudes	变迁 biàn qiān
to recognize; to identify	辨认 biàn rèn
(informal) note; CL:張|张[zhāng],個|个[gè]	便条 biàn tiáo
easy to; convenient for	便于 biàn yú
investigate; dialectical	辩证 biàn zhèng
to degenerate; to go bad; to deteriorate; metamorphosis	变质 biàn zhì
plait; braid; pigtail; a mistake or shortcoming that may be exploited by an opponent; handle; CL:根[gēn],條|条[tiáo]	辫子 biàn zi
specimen; sample; the root cause and symptoms of a disease	标本 biāo běn
sign; mark; symbol; to mark up	标记 biāo jì
to rise rapidly; to soar	飙升 biāo shēng
title; heading; headline; caption; subject	标题 biāo tí
decide by vote; vote	表决 biǎo jué
to declare one's position; to say where one stands	表态 biǎo tài
cite (in dispatches); commend	表彰 biǎo zhāng
to choke; to stifle; to restrain; to hold back; to hold in (urine); to hold (one's breath)	憋 biē
other people; others; other person	别人 bié ren
villa; CL:幢[zhuàng],座[zuò]	别墅 bié shù
unusual; unique	别致 bié zhì
awkward; difficult; uncomfortable; not agreeing; at loggerheads; gauche; awkward (writing or speech)	别扭 biè niu
on the verge of; close to	濒临 bīn lín
hail; hailstone; CL:場|场[cháng],粒[lì]	冰雹 bīng báo
to exist at the same time; to coexist	并存 bìng cún
really isn't	并非 bìng fēi
to stand side by side; to be juxtaposed	并列 bìng liè
to call; to dial	拨打 bō dǎ
to broadcast; to transmit	播放 bō fàng
wave	波浪 bō làng
tumultuous situations	波涛汹涌 bō tāo xiōng yǒng
to exploit; exploitation	剥削 bō xuē
to sow seeds; sowing; seed	播种 bō zhòng
wide-ranging and profound; broad and deep	博大精深 bó dà jīng shēn
to wrestle; to fight; to struggle	搏斗 bó dòu
exposition; international fair	博览会 bó lǎn huì
wife of father's elder brother; aunt; (polite form of address for a woman who is about the age of one's mother); CL:個|个[gè]	伯母 bó mǔ
weak; frail	薄弱 bó ruò
compensate; make up	补偿 bǔ cháng
remedy	补救 bǔ jiù
breast feeding; to suckle; to nurse	哺乳 bǔ rǔ
to subsidize; subsidy; allowance	补贴 bǔ tiē
to catch; to seize; to capture	捕捉 bǔ zhuō
act against one's will; have no alternative but to; have to; to have no choice; must	不得已 bù dé yǐ
pace; (measured) step; march	步伐 bù fá
there is no harm in; might as well	不妨 bù fáng
lit. I dare not (accept the honor); fig. I don't deserve your praise; you flatter me	不敢当 bù gǎn dāng
posting on a bulletin board; notice; bulletin; to announce	布告 bù gào
in spite of; regardless of	不顾 bú gù
can't help (doing sth); can't refrain from	不禁 bù jīn
arrangement; composition; layout; opening (chess jargon)	布局 bù jú
cannot bear; cannot stand; utterly; extremely	不堪 bù kān
