description	term
bread; CL:片[piàn],袋[dài],塊|块[kuài]	面包 miàn bāo
noodles	面条 miàn tiáo
clear; obvious; unequivocal; to understand; to realize	明白 míng bai
to hold; to seize; to catch; to apprehend; to take	拿 ná
(informal) father's mother; paternal grandmother; CL:位[wèi]	奶奶 nǎi nai
south	南 nán
difficult (to...); problem; difficulty; difficult; not good	难 nán
feel sorry; be grieved	难过 nán guò
grade; CL:個|个[gè]	年级 nián jí
young	年轻 nián qīng
bird; CL:隻|只[zhī],群[qún]	鸟 niǎo
great effort; to strive; to try hard	努力 nǔ lì
to climb a mountain; to mountaineer; hiking; mountaineering	爬山 pá shān
tray; plate; dish	盘子 pán zi
fat; plump	胖 pàng
beer; CL:杯[bēi],瓶[píng],罐[guàn],桶[tǒng],缸[gāng]	啤酒 pí jiǔ
grape	葡萄 pú tao
Mandarin (common language); Putonghua (common speech of the Chinese language); ordinary speech	普通话 pǔ tōng huà
to ride (an animal or bike); to sit astride	骑 qí
strange; odd	奇怪 qí guài
actually, in fact, really	其实 qí shí
other; the others; else; other than (that person); in addition to the person mentioned above	其他 qí tā
(lead) pencil; CL:支[zhī],枝[zhī],桿|杆[gǎn]	铅笔 qiān bǐ
clear; clearly understood; distinct	清楚 qīng chu
autumn; fall; harvest time; a swing; surname Qiu	秋 qiū
skirt; CL:條|条[tiáo]	裙子 qún zi
after; then (afterwards); after that; afterwards	然后 rán hòu
cordial; enthusiastic; passion; passionate; passionately	热情 rè qíng
to believe; to think; to consider; to feel	认为 rèn wéi
conscientious; earnest; serious; to take seriously; to take to heart	认真 rèn zhēn
easy; likely; liable (to)	容易 róng yì
if; in case; in the event that	如果 rú guǒ
umbrella; parasol; CL:把[bǎ]	伞 sǎn
to be on the internet; to stretch a net (in a sports game or for covering sth); to be netted (of fish)	上网 shàng wǎng
angry; mad; offended; animated; to get angry; to be enraged; to take offense; animation	生气 shēng qì
voice; sound; CL:個|个[gè]	声音 shēng yīn
to make; to cause; to enable; to use; to employ; to send; to instruct sb to do sth; envoy; messenger	使 shǐ
world; CL:個|个[gè]	世界 shì jiè
tight; thin; lean	瘦 shòu
comfortable; feeling well	舒服 shū fu
father's younger brother; uncle; Taiwan pr. shú shu; CL:個|个[gè]	叔叔 shū shu
tree; CL:棵[kē]	树 shù
mathematics; mathematical	数学 shù xué
to brush teeth	刷牙 shuā yá
two; double; pair; both	双 shuāng
level (of achievement etc); standard; horizontal	水平 shuǐ píng
chauffeur; driver; CL:個|个[gè]	司机 sī jī
although; even though; even if	虽然 suī rán
sun; CL:個|个[gè]	太阳 tài yáng
sugar; sweets; candy; CL:顆|颗[kē],塊|块[kuài]	糖 táng
especially; special; particular; unusual	特别 tè bié
(it) hurts; love fondly; ache; pain; sore	疼 téng
to raise; to increase	提高 tí gāo
sports; physical education	体育 tǐ yù
sweet	甜 tián
strip; item; article; clause (of law or treaty); classifier for long thin things (ribbon, river, road, trousers etc)	条 tiáo
colleague; co-worker; CL:個|个[gè],位[wèi]	同事 tóng shì
to agree; to consent; to approve	同意 tóng yì
hair (on the head)	头发 tóu fa
sudden; abrupt; unexpected	突然 tū rán
library; CL:家[jiā],個|个[gè]	图书馆 tú shū guǎn
leg; CL:條|条[tiáo]	腿 tuǐ
complete; accomplish; perfect tense (grammar)	完成 wán chéng
bowl; cup; CL:隻|只[zhī],個|个[gè]	碗 wǎn
ten thousand; a great number	万 wàn
to forget	忘记 wàng jì
because of; for; to	为 wèi
position; location; place; seat; classifier for people (honorific); classifier for binary bits (e.g. 十六位 16-bit or 2 bytes)	位 wèi
in order to; for the purpose of; so as to	为了 wèi le
culture; civilization; cultural; CL:個|个[gè],種|种[zhǒng]	文化 wén huà
west	西 xī
habit; custom; usual practice; to be used to; CL:個|个[gè]	习惯 xí guàn
toilet; lavatory; washroom	洗手间 xǐ shǒu jiān
to bathe; to take a shower	洗澡 xǐ zǎo
summer	夏 xià
early; prior; former; in advance; first	先 xiān
banana; CL:枝[zhī],根[gēn],個|个[gè],把[bǎ]	香蕉 xiāng jiāo
identical; same	相同 xiāng tóng
be convinced (that something is true); believe; to accept sth as true	相信 xiāng xìn
direction; orientation; to face; to turn toward; to; towards; shortly before; formerly; to side with; to be partial to; all along (previously); surname Xiang	向 xiàng
to be careful; to take care	小心 xiǎo xīn
(college, university) president; headmaster; CL:個|个[gè],位[wèi],名[míng]	校长 xiào zhǎng
shoe; CL:雙|双[shuāng],隻|只[zhī]	鞋 xié
news; CL:條|条[tiáo],個|个[gè]	新闻 xīn wén
fresh (experience, food etc); freshness	新鲜 xīn xiān
letter; mail; to trust; to believe; to profess faith in; truthful; confidence; trust; at will; at random	信 xìn
suitcase	行李箱 xíng li xiāng
interest in (something); CL:個|个[gè]	兴趣 xìng qu
panda; CL:隻|只[zhī]	熊猫 xióng māo
to need; to want; to demand; needs; to require	需要 xū yào
to select; to pick; choice; option; alternative	选择 xuǎn zé
