description	term
third of 10 heavenly stems 十天干; third in order; letter "C" or roman "III" in list "A, B, C", or "I, II, III" etc; propyl	丙 bǐng
virus	病毒 bìng dú
glass; nylon; plastic; CL:張|张[zhāng],塊|块[kuài]	玻璃 bō li
museum	博物馆 bó wù guǎn
neck; CL:個|个[gè]	脖子 bó zi
to replenish; to supplement; to complement; additional; supplementary; CL:個|个[gè]	补充 bǔ chōng
cloth; to declare; to announce; to spread; to make known	布 bù
unpeaceful; unstable; uneasy; disturbed; restless; worried	不安 bù ān
need not; does not have to	不必 bú bì
desperately serious; disastrous; extremely; exceedingly	不得了 bù dé liǎo
unceasing; uninterrupted; continuous; constant	不断 bú duàn
part; share; section; piece; CL:個|个[gè]	部分 bù fen
to feel embarrassed; to be ill at ease; to find it embarrassing (to do sth)	不好意思 bù hǎo yì si
not necessarily; not likely	不见得 bú jiàn de
department; branch; section; division; CL:個|个[gè]	部门 bù mén
unavoidable	不免 bù miǎn
impatience; impatient	不耐烦 bú nài fán
not so; no; or else; otherwise; if not	不然 bù rán
not equal to; not as good as; inferior to; it would be better to	不如 bù rú
unimportant; not serious; it doesn't matter; never mind; it looks all right; but	不要紧 bú yào jǐn
step; move; measure	步骤 bù zhòu
insufficient; lacking; deficiency; not enough; inadequate; not worth; cannot; should not	不足 bù zú
property; CL:筆|笔[bǐ]	财产 cái chǎn
to step on; to tread; to stamp; to press a pedal; to pedal (a bike)	踩 cǎi
to interview; to gather news; to hunt for and collect; to cover	采访 cǎi fǎng
rainbow	彩虹 cǎi hóng
to adopt or carry out (measures, policies, course of action); to take	采取 cǎi qǔ
consultation; reference; to consult; to refer	参考 cān kǎo
dining-hall; dining-room; restaurant; CL:間|间[jiān],家[jiā]	餐厅 cān tīng
to participate (in sth)	参与 cān yù
disabled; handicapped; deformity on a person or animal	残疾 cán jí
ashamed	惭愧 cán kuì
playground; sports field; drill ground; CL:個|个[gè]	操场 cāo chǎng
to worry about	操心 cāo xīn
book; booklet; classifier for books	册 cè
toilet; lavatory; CL:間|间[jiān],處|处[chù]	厕所 cè suǒ
test; to test; CL:次[cì],個|个[gè]	测验 cè yàn
once; already; former; previously; ever; (past tense marker used before verb or clause)	曾经 céng jīng
to insert; stick in; pierce; to take part in; to interfere; to interpose	插 chā
difference; distinction; diversity; disparity	差别 chā bié
fork; CL:把[bǎ]	叉子 chā zi
to tear open; to tear down; to tear apart; to open	拆 chāi
goods; merchandise; product; CL:個|个[gè]	产品 chǎn pǐn
to arise; to come into being; to come about; to give rise to; to bring into being; to bring about; to produce; to engender; to generate; to appear; appearance; emergence; generation; production; yield	产生 chǎn shēng
common sense; general knowledge; CL:門|门[mén]	常识 cháng shí
long distance	长途 cháng tú
to copy; to plagiarize; to search and seize; to go; to transcribe; to take a shortcut; to search and confiscate	抄 chāo
imperial or royal court; government; dynasty; reign of a sovereign or emperor; court or assembly held by a sovereign or emperor; to make a pilgrimage to; facing; towards	朝 cháo
dynasty; reign (of a king)	朝代 cháo dài
saute; pan-fry; to fry; fried	炒 chǎo
to quarrel; to have a row; CL:頓|顿[dùn]	吵架 chǎo jià
garage	车库 chē kù
carriage; CL:節|节[jié]	车厢 chē xiāng
thorough; thoroughly; complete	彻底 chè dǐ
silence; uncommunicative	沉默 chén mò
to avail oneself of; to take advantage of	趁 chèn
to weigh; to state; to name; name; appellation; to praise	称 chēng
to call; to address as; appellation	称呼 chēng hu
to praise; to acclaim; to commend; to compliment	称赞 chēng zàn
to ride; to mount; to make use of; to avail oneself of; to take advantage of; to multiply (mathematics); Buddhist sect or creed	乘 chéng
to undertake; to assume (responsibility etc)	承担 chéng dān
degree (level or extent); level; CL:個|个[gè]	程度 chéng dù
composition; make-up; ingredient; element; component; one's social status; CL:個|个[gè]	成分 chéng fèn
result; achievement; gain; profit; CL:個|个[gè]	成果 chéng guǒ
accomplishment; success; attain a result; achievement; CL:個|个[gè]	成就 chéng jiù
sincere; honest; cordial	诚恳 chéng kěn
to establish; to set up; to be tenable; to hold water	成立 chéng lì
to admit; to concede; to recognize; recognition (diplomatic, artistic etc); to acknowledge	承认 chéng rèn
to bear; to support; to inherit	承受 chéng shòu
procedures; sequence; order; computer program	程序 chéng xù
Chinese set expression, often made up of 4 characters or two couplets of 4 characters each, often alluding to a story or historical quotation; idiom; proverb; saying; adage; set expression; CL:條|条[tiáo],本[běn],句[jù]	成语 chéng yǔ
to mature; to grow; growth	成长 chéng zhǎng
to suffer losses; to come to grief; to lose out; to get the worst of it; to be at a disadvantage; unfortunately	吃亏 chī kuī
to continue; to persist; sustainable; preservation	持续 chí xù
pond; CL:個|个[gè]	池子 chí zi
rule; ruler (measuring instrument); CL:把[bǎ]	尺子 chǐ zi
wing; CL:個|个[gè],對|对[duì]	翅膀 chì bǎng
(of water) to dash against; to mix with water; to infuse; to rinse; to flush; to develop (a film); to rise in the air; to clash; to collide with	冲 chōng
battery charger	充电器 chōng diàn qì
full; abundant	充分 chōng fèn
full of; brimming with; very full; permeated	充满 chōng mǎn
to repeat; to duplicate; CL:個|个[gè]	重复 chóng fù
house pet	宠物 chǒng wù
drawer	抽屉 chōu ti
abstract	抽象 chōu xiàng
clown; surname Chou; 2nd earthly branch: 1-3 a.m., 12th solar month (6th January to 3rd February), year of the Ox	丑 chǒu
stench; stink; smelly; to smell (bad)	臭 chòu
to publish; to come off the press; to put out	出版 chū bǎn
junior; primary	初级 chū jí
an exit; CL:個|个[gè]; to speak; to export; (of a ship) to leave port	出口 chū kǒu
remarkable; outstanding	出色 chū sè
to attend; to participate; present	出席 chū xí
to get rid of; to remove; to exclude; to eliminate; to wipe out; to divide; except; not including	除 chú
only if (..., or otherwise, ...); only when; only in the case that; unless	除非 chú fēi
(New Year's) Eve	除夕 chú xī
to handle; to treat; to deal with; to process; CL:個|个[gè]	处理 chǔ lǐ
to disseminate; to propagate; to spread	传播 chuán bō
to transmit; to pass on to sb else	传递 chuán dì
to infect; contagious	传染 chuán rǎn
legend; folklore; tradition; it is said; they say that...	传说 chuán shuō
tradition; traditional; convention; conventional; CL:個|个[gè]	传统 chuán tǒng
window curtains	窗帘 chuāng lián
to rush; to charge; to dash; to break through; to temper oneself (through battling hardships)	闯 chuǎng
to create; to bring about; to produce; CL:個|个[gè]	创造 chuàng zào
to blow; to play a wind instrument; to blast; to puff; to boast; to brag; to end in failure; to fall through	吹 chuī
magnetic tape; CL:盤|盘[pán],盒[hé]	磁带 cí dài
to resign	辞职 cí zhí
besides; in addition; moreover; furthermore	此外 cǐ wài
to provoke; to irritate; to upset; to stimulate; to excite; irritant	刺激 cì jī
secondary	次要 cì yào
hasty; hurried	匆忙 cōng máng
from; via; passing through; through	从 cóng
from now on; since then; henceforth	从此 cóng cǐ
thus; thereby	从而 cóng ér
previously; formerly; once upon a time	从前 cóng qián
to go for; to engage in; to undertake; to deal with; to handle; to do	从事 cóng shì
vinegar	醋 cù
to promote (an idea or cause); to advance; boost	促进 cù jìn
to induce; to promote; to urge; to impel; to bring about; to provoke; to drive (sb to do sth); to catalyze; to actuate; to contribute to (some development)	促使 cù shǐ
to urge; to press; to prompt; to rush sb; to hasten sth; to expedite	催 cuī
exist; deposit; store; keep; survive	存 cún
to exist; to be	存在 cún zài
measure; step (to be taken); CL:個|个[gè]	措施 cuò shī
error; mistake; mistaken; CL:個|个[gè]	错误 cuò wù
to promise; to agree; to reply; to respond	答应 dā ying
to reach; to achieve; to attain	达到 dá dào
to work (do manual labor for a living); a part time job; to moonlight	打工 dǎ gōng
to come into contact with; to have dealings	打交道 dǎ jiāo dào
to sneeze	打喷嚏 dǎ pēn tì
to ask about; to inquire about	打听 dǎ ting
to greet sb by word or action; to give prior notice	打招呼 dǎ zhāo hu
expert; scholar; mother earth; a type of green tea	大方 dà fāng
elephant; CL:隻|只[zhī]	大象 dà xiàng
large scale; wide scale; broad scale	大型 dà xíng
foolish; stupid; expressionless; blank; to stay	呆 dāi
a loan; to provide a loan (e.g. bank); CL:筆|笔[bǐ]	贷款 dài kuǎn
treatment; pay; wages; status; salary	待遇 dài yù
simple; pure; alone; merely	单纯 dān chún
monotonous	单调 dān diào
alone; by oneself; on one's own	单独 dān dú
to hold a governmental office or post; to assume office of; to take charge of; to serve as	担任 dān rèn
a unit; unit (of measure); work unit (one's workplace); CL:個|个[gè]	单位 dān wèi
delay; hold-up; to waste time; to interfere with	耽误 dān wu
unit; entrance number; staircase (for residential buildings)	单元 dān yuán
coward	胆小鬼 dǎn xiǎo guǐ
insipid; diluted; weak; mild; light in color; tasteless; fresh; indifferent; nitrogen	淡 dàn
the present age; the contemporary era	当代 dāng dài
to resist; to obstruct; to hinder; to keep off; to block (a blow); to get in the way of; cover; gear	挡 dǎng
island; CL:個|个[gè],座[zuò]	岛 dǎo
have bad luck; be out of luck	倒霉 dǎo méi
direct; director (film etc)	导演 dǎo yǎn
to lead to; to create; to cause; to bring about	导致 dǎo zhì
to move backwards; converse	倒 dào
to reach; to arrive	到达 dào dá
virtue; morality; ethics; moral; CL:種|种[zhǒng]	道德 dào dé
reason; argument; sense; principle; basis; justification; CL:個|个[gè]	道理 dào lǐ
boarding pass	登机牌 dēng jī pái
to register (one's name)	登记 dēng jì
wait for; await	等待 děng dài
waiting	等候 děng hòu
to equal; to be tantamount to	等于 děng yú
a drop; to drip	滴 dī
really; indeed	的确 dí què
enemy; CL:個|个[gè]	敌人 dí rén
to hand over; to pass on sth; to gradually increase or decrease; progressively	递 dì
geography	地理 dì lǐ
local; regional; district (not necessarily formal administrative unit); region; area; as suffix to city name, means prefecture or county (area administered by a prefecture level city or county level city); CL:個|个[gè]	地区 dì qū
carpet; rug	地毯 dì tǎn
position; status; place; CL:個|个[gè]	地位 dì wèi
earthquake	地震 dì zhèn
to nod	点头 diǎn tóu
light refreshments; pastry; dimsum (in Cantonese cooking); dessert	点心 diǎn xin
battery; CL:節|节[jié],組|组[zǔ]	电池 diàn chí
transmitter-receiver; broadcasting station; radio station; CL:個|个[gè]	电台 diàn tái
to fish with a hook and bait	钓 diào
cubes of meat and vegetables; man; members of a family; population; fourth of 10 heavenly stems 十天干;	丁 dīng
apex; crown of the head; top; roof; to carry on the head; to push to the top; to go against; most; to replace; to substitute; classifier for headwear, hats, veils etc; to agree or support (internet slang, similar to digg)	顶 dǐng
to freeze; to feel very cold; aspic or jelly	冻 dòng
cave; hole; zero (unambiguous spoken form when spelling out numbers); CL:個|个[gè]	洞 dòng
cartoon; animation	动画片 dòng huà piān
to stay; to stop; to pause (while reading); to tease (play with)	逗 dòu
tofu; bean curd	豆腐 dòu fu
independent; independence; to stand alone	独立 dú lì
unique; distinct; having special characteristics	独特 dú tè
spend; pass	度过 dù guò
text message; SMS	短信 duǎn xìn
a pile; a mass; heap; stack	堆 duī
contrast; balance; CL:個|个[gè]	对比 duì bǐ
to treat; treatment	对待 duì dài
counterpart; other person involved; opposite side; other side; receiving party	对方 duì fāng
opponent; adversary; match	对手 duì shǒu
target; object; partner; boyfriend; girlfriend; CL:個|个[gè]	对象 duì xiàng
regarding; as far as sth is concerned; with regards to	对于 duì yú
ton; Taiwan pr. dùn	吨 dūn
to crouch; to squat	蹲 dūn
thanks to; luckily	多亏 duō kuī
superfluous; unnecessary; surplus	多余 duō yú
to hide oneself	躲藏 duǒ cáng
vile; nasty; of very poor quality	恶劣 è liè
to issue (a statement); to publish; to issue; to put out	发表 fā biǎo
to worry; to fret; to be anxious; to become sad	发愁 fā chóu
developed (country etc); flourishing; to develop	发达 fā dá
shiver; shudder; tremble; tremulous	发抖 fā dǒu
to display; to exhibit; to bring out implicit or innate qualities; to express (a thought or moral); to develop (an idea); to elaborate (on a theme)	发挥 fā huī
to invent; invention; CL:個|个[gè]	发明 fā míng
invoice; receipt or bill for purchase	发票 fā piào
statement; utterance; CL:個|个[gè]	发言 fā yán
(impose a) fine; penalty; fine (monetary)	罚款 fá kuǎn
court of law; court	法院 fǎ yuàn
prosperous; booming (economy)	繁荣 fán róng
every; all	凡是 fán shì
instead; on the contrary; contrary (to expectations)	反而 fǎn ér
repeatedly; over and over	反复 fǎn fù
to react; to respond; reaction; response; reply; chemical reaction; CL:個|个[gè]	反应 fǎn yìng
to put things back in order; to return to the correct path; in any event; come what may; whatever happens (I'm still sure it's right); anyway	反正 fǎn zhèng
square; power or involution (mathematics); upright; honest; fair and square; direction; side; party (to a contract, dispute etc); place; method; prescription (medicine); upright or honest; just when; only or just; classifier for square things; abbr. for square or cubic meter	方 fāng
plan; program (for action etc); proposal; proposed bill; CL:個|个[gè]	方案 fāng àn
way (of life); pattern; style; mode; manner; CL:個|个[gè]	方式 fāng shì
to hinder; to obstruct	妨碍 fáng ài
landlord	房东 fáng dōng
to seem; as if; alike; similar	仿佛 fǎng fú
to loosen; to relax	放松 fàng sōng
non-; not-; un-; abbr. for Africa 非洲; wrong; evil-doing; insist on; simply must	非 fēi
soap; CL:塊|块[kuài],條|条[tiáo]	肥皂 féi zào
lung; CL:個|个[gè]	肺 fèi
nonsense; rubbish; superfluous words; You don't say!; No kidding! (gently sarcastic)	废话 fèi huà
cost; expenditure; expense; CL:筆|笔[bǐ],個|个[gè]	费用 fèi yòng
to part or leave each other; to distinguish; difference; in different ways; differently; separately or individually	分别 fēn bié
distributed; to distribute	分布 fēn bù
one after another; in succession; one by one; continuously; diverse; in profusion; numerous and confused; pell-mell	纷纷 fēn fēn
to distribute; to assign; to allocate	分配 fēn pèi
to analyze; analysis; CL:個|个[gè]	分析 fēn xī
to strive; to struggle	奋斗 fèn dòu
angry; indignant	愤怒 fèn nù
style	风格 fēng gé
madness; extreme popularity	疯狂 fēng kuáng
social custom; CL:個|个[gè]	风俗 fēng sú
risk; venture; hazard	风险 fēng xiǎn
to satirize; to mock; irony; satire; sarcasm	讽刺 fěng cì
to negate; negative (answer); CL:個|个[gè]	否定 fǒu dìng
to declare to be untrue; to deny	否认 fǒu rèn
width; roll; classifier for textiles or pictures	幅 fú
to support with hand; to help sb up; to help	扶 fú
to obey (an order); to comply; to defer	服从 fú cóng
dress; clothing; costume; clothes; CL:身[shēn]	服装 fú zhuāng
to coach; to tutor; to give advice (in study)	辅导 fǔ dǎo
pay; payment	付款 fù kuǎn
woman	妇女 fù nǚ
to duplicate; to make a copy of; to copy; to reproduce; to clone	复制 fù zhì
to reform; CL:個|个[gè]	改革 gǎi gé
to improve; to make better; CL:個|个[gè]	改进 gǎi jìn
to make better; to improve; CL:個|个[gè]	改善 gǎi shàn
to correct; to amend; to put right; correction; CL:個|个[gè]	改正 gǎi zhèng
lid; top; cover; canopy; to build	盖 gài
to summarize; to generalize; briefly; CL:個|个[gè]	概括 gài kuò
concept; idea; CL:個|个[gè]	概念 gài niàn
straightforward; clear-cut; blunt (e.g. statement); you might as well; simply	干脆 gān cuì
to express thanks; grateful; moved to gratitude	感激 gǎn jī
hurriedly	赶紧 gǎn jǐn
at once; immediately	赶快 gǎn kuài
to sense; perception; to feel (through the senses); a feeling; an impression; an experience	感受 gǎn shòu
impressions; reflections; thoughts; CL:通[tòng],個|个[gè]	感想 gǎn xiǎng
to work; to do; to manage	干 gàn
to work; manual labor	干活儿 gàn huó r5
steel	钢铁 gāng tiě
superior quality; high grade; top grade	高档 gāo dàng
expressway; highway; freeway	高速公路 gāo sù gōng lù
to do; to make; to go in for; to set up; to get hold of; to take care of	搞 gǎo
to leave; to bid farewell to; to say good-bye to	告别 gào bié
arm; CL:隻|只[zhī],條|条[tiáo],雙|双[shuāng]	胳膊 gē bo
pigeon; dove; various birds of the species Columbidae	鸽子 gē zi
next door	隔壁 gé bì
revolution; revolutionary (politics); CL:次[cì]	革命 gé mìng
especially; particularly	格外 gé wài
individual; specific; respective; just one or two	个别 gè bié
individual; personal; oneself	个人 gè rén
individuality; personality	个性 gè xìng
root; basis; classifier for long slender objects, e.g. cigarettes, guitar strings; CL:條|条[tiáo]; radical (chemistry)	根 gēn
fundamental; basic; root; simply; absolutely (not); (not) at all; CL:個|个[gè]	根本 gēn běn
even more; furthermore	更 gèng
more (than sth else); even more	更加 gèng jiā
to announce; to make public; to publish	公布 gōng bù
factory; CL:家[jiā],座[zuò]	工厂 gōng chǎng
engineer; CL:個|个[gè],位[wèi],名[míng]	工程师 gōng chéng shī
skill; art; kung fu; labor; effort	功夫 gōng fu
public; to publish; to make public	公开 gōng kāi
function; capability	功能 gōng néng
fair; impartial	公平 gōng píng
worker; CL:個|个[gè],名[míng]	工人 gōng rén
industry; CL:種|种[zhǒng]	工业 gōng yè
apartment building; block of flats; CL:套|套[tào]	公寓 gōng yù
(year) AD; Christian era	公元 gōng yuán
princess	公主 gōng zhǔ
to contribute; to dedicate; to devote; contribution; CL:個|个[gè]	贡献 gòng xiàn
communicate	沟通 gōu tōng
to constitute; to form; to compose; to make up; to configure (computing)	构成 gòu chéng
paternal aunt; CL:個|个[gè]	姑姑 gū gu
girl; young woman; young lady; daughter; CL:個|个[gè]	姑娘 gū niang
ancient times; olden times	古代 gǔ dài
classical	古典 gǔ diǎn
ancient; old; age-old	古老 gǔ lǎo
share; stock (market)	股票 gǔ piào
bone; strong character; CL:根[gēn],塊|块[kuài]	骨头 gǔ tou
heartening (news); boost (morale); CL:個|个[gè]	鼓舞 gǔ wǔ
fixed; set; regular	固定 gù dìng
story; tale; narrative	故事 gù shi
solid	固体 gù tǐ
to employ; to hire	雇佣 gù yōng
to register (a letter etc)	挂号 guà hào
(of a child) obedient, well-behaved; clever; shrewd; alert; perverse; contrary to reason; irregular; abnormal	乖 guāi
to go round a curve; to turn a corner; fig. a new direction	拐弯 guǎi wān
lit. you can't blame it!; no wonder!; so that's why!	怪不得 guài bu de
official; government; organ of body; CL:個|个[gè]	官 guān
to close; to shut	关闭 guān bì
to observe; to watch; to survey; to examine; observation; view; perspective; CL:個|个[gè]	观察 guān chá
point of view; viewpoint; standpoint; CL:個|个[gè]	观点 guān diǎn
care; solicitude; to show care for; concerned about; attentive to	关怀 guān huái
notion; thought; concept; sense; views; ideology; general impressions	观念 guān niàn
tube; pipe; drinking straw; CL:根[gēn]	管子 guǎn zǐ
champion; CL:個|个[gè]	冠军 guàn jūn
tin; can; CL:個|个[gè]	罐头 guàn tou
glossy; sleek; smooth	光滑 guāng hua
(honorific) Welcome!; You honor us with your presence.; It is an honor to have you.	光临 guāng lín
light; illumination; radiance (esp. glory of Buddha etc); fig. bright prospect; openhearted	光明 guāng míng
compact disc; CD or DVD; CD ROM; CL:片[piàn],張|张[zhāng]	光盘 guāng pán
honor and glory; CL:個|个[gè]	光荣 guāng róng
a public square (e.g. Tiananmen Square); plaza; CL:個|个[gè]	广场 guǎng chǎng
(of an area) vast or extensive; large-scale; widespread; (of people) numerous	广大 guǎng dà
extensive; wide range	广泛 guǎng fàn
lit. compass and set square; fig. established standard; rule; customs; practices; fig. upright and honest; well-behaved	规矩 guī ju
rule (e.g. of science); law of behavior; regular pattern; rhythm; discipline	规律 guī lǜ
scale; scope; extent; CL:個|个[gè]	规模 guī mó
rule; regulation; rules and regulations	规则 guī zé
sales counter; front desk; bar	柜台 guì tái
to boil; to roll; get lost (imperative); take a hike	滚 gǔn
pot; pan; boiler; CL:口[kǒu],隻|只[zhī]	锅 guō
nationality	国籍 guó jí
PRC National Day (October 1st)	国庆节 Guó qìng jié
fruit; gains	果实 guǒ shí
excessive; undue; overly	过分 guò fèn
to be allergic; allergy	过敏 guò mǐn
to be overdue; to exceed the time limit; to expire (as in expiration date)	过期 guò qī
(experienced action marker); to cross; to go over	过 guo
laughter; yawn; abbr. for Kazakhstan	哈 hā
customs (i.e. border crossing inspection); CL:個|个[gè]	海关 hǎi guān
seafood	海鲜 hǎi xiān
call; cry; to shout	喊 hǎn
industry; business	行业 háng yè
luxurious	豪华 háo huá
inquisitive; curious	好奇 hào qí
there is no need; why should	何必 hé bì
lawful; legitimate; legal	合法 hé fǎ
much less; let alone	何况 hé kuàng
rational; reasonable; fair	合理 hé lǐ
peace	和平 hé píng
(business) contract; CL:個|个[gè]	合同 hé tong
core; nucleus	核心 hé xīn
joint photo; group photo	合影 hé yǐng
to cooperate; to collaborate; to work together; cooperation; CL:個|个[gè]	合作 hé zuò
to hate; to regret	恨 hèn
horizontal; across; (horizontal character stroke)	横 héng
consequences; aftermath	后果 hòu guǒ
to neglect; to ignore	忽视 hū shì
to breathe	呼吸 hū xī
pot; classifier for bottled liquid	壶 hú
butterfly; CL:隻|只[zhī]	蝴蝶 hú dié
to talk nonsense; drivel	胡说 hú shuō
lane; alley; CL:條|条[tiáo]	胡同 hú tòng
muddled; silly; confused	糊涂 hú tu
beard; CL:根[gēn],綹|绺[liǔ]	胡须 hú xū
peanut; groundnut; CL:粒[lì]	花生 huā shēng
to skate; skating	滑冰 huá bīng
to row a boat; rowing boat; rowing (sport)	划船 huá chuán
ethnic Chinese; non-Chinese citizen of Chinese ancestry	华裔 huá yì
subject (of a talk or conversation); topic	话题 huà tí
chemistry; chemical	化学 huà xué
to cherish the memory of; to think of; reminisce	怀念 huái niàn
to ease; to help relieve (a crisis)	缓解 huǎn jiě
delusion; fantasy	幻想 huàn xiǎng
confused; flustered	慌张 huāng zhāng
emperor; CL:個|个[gè]	皇帝 huáng dì
cucumber; CL:條|条[tiáo]	黄瓜 huáng guā
empress; imperial consort	皇后 huáng hòu
gold	黄金 huáng jīn
to wave; to brandish; to wipe away; to command; to conduct; to scatter; to disperse	挥 huī
ash; dust; lime; gray; discouraged; dejected	灰 huī
dust	灰尘 huī chén
to reinstate; to resume; to restore; to recover; to regain; to rehabilitate	恢复 huī fù
lose heart; be discouraged	灰心 huī xīn
exchange rate	汇率 huì lǜ
wedding ceremony; wedding	婚礼 hūn lǐ
matrimony; wedding; marriage; CL:次[cì]	婚姻 hūn yīn
active; vigorous	活跃 huó yuè
partner; companion; comrade	伙伴 huǒ bàn
match (for lighting fire); CL:根[gēn],盒[hé]	火柴 huǒ chái
basic; fundamental; main; elementary	基本 jī běn
intense; acute; fierce	激烈 jī liè
machine; CL:臺|台[tái],部[bù],個|个[gè]	机器 jī qì
muscle; flesh	肌肉 jī ròu
to pass a test	及格 jí gé
hastily	急忙 jí máng
collective; social; team; CL:個|个[gè]	集体 jí tǐ
to concentrate; to centralize; to focus; centralized; concentrated; to put together	集中 jí zhōng
tie one's necktie	系领带 jì lǐng dài
record	纪录 jì lù
record; CL:個|个[gè]	记录 jì lù
discipline	纪律 jì lǜ
lonely; lonesome	寂寞 jì mò
to commemorate; to remember; CL:個|个[gè]	纪念 jì niàn
to count; to calculate; to compute; CL:個|个[gè]	计算 jì suàn
memories; remember; memory; CL:個|个[gè]	记忆 jì yì
esteemed guest; honored guest	嘉宾 jiā bīn
family; household; CL:戶|户[hù],個|个[gè]	家庭 jiā tíng
household duties; housework	家务 jiā wù
hometown; native place; CL:個|个[gè]	家乡 jiā xiāng
clip; clamp; tongs; folder; wallet	夹子 jiā zi
first of the ten heavenly stems 十天干|十天干[shí tiān gān]; (used for an unspecified person or thing); first (in a list, as a party to a contract etc); armor plating; shell or carapace; (of the fingers or toes) nail; bladed leather or metal armor (old); ranking system used in the Imperial examinations (old); civil administration unit (old)	甲 jiǎ
if	假如 jiǎ rú
to feign; to pretend	假装 jiǎ zhuāng
(of a woman) to marry; to marry off a daughter; to shift (blame etc)	嫁 jià
to pilot (ship, airplane etc); to drive	驾驶 jià shǐ
value; worth; fig. values (ethical, cultural etc); CL:個|个[gè]	价值 jià zhí
to pan fry; to sauté	煎 jiān
shoulder	肩膀 jiān bǎng
arduous; terrible (task); very difficult; formidable	艰巨 jiān jù
firm; resolute; determined	坚决 jiān jué
difficult; hard; arduous	艰苦 jiān kǔ
staunch; strong	坚强 jiān qiáng
sharp; intense; penetrating; pointed; acute (illness)	尖锐 jiān ruì
to pick up; to collect; to gather	捡 jiǎn
scissors; CL:把[bǎ]	剪刀 jiǎn dāo
Curriculum Vitae (CV); résumé (resume); biographical notes	简历 jiǎn lì
simply; at all; practically	简直 jiǎn zhí
to build; to establish; to set up; to found	建立 jiàn lì
keyboard	键盘 jiàn pán
to build; to construct; construction; constructive	建设 jiàn shè
gym; gymnasium	健身房 jiàn shēn fáng
to propose; to suggest; to recommend; proposal; suggestion; recommendation; CL:個|个[gè],點|点[diǎn]	建议 jiàn yì
building; to construct; Taiwan pr. jiàn zhú; CL:個|个[gè]	建筑 jiàn zhù
to pay particular attention to; exquisite; aesthetic	讲究 jiǎng jiu
a course of lectures; CL:個|个[gè]	讲座 jiǎng zuò
to descend; to land	降落 jiàng luò
soy sauce	酱油 jiàng yóu
to pour liquid; to irrigate (using waterwheel); to water; to cast (molten metal); to mold	浇 jiāo
to exchange; to swap; to switch (telecom); commutative (math); to commute	交换 jiāo huàn
communication; social intercourse	交际 jiāo jì
suburban district; outskirts; suburbs; CL:個|个[gè]	郊区 jiāo qū
glue	胶水 jiāo shuǐ
angle; point of view	角度 jiǎo dù
crafty; cunning; sly	狡猾 jiǎo huá
teaching material; CL:本[běn]	教材 jiào cái
instructor; sports coach; trainer; CL:個|个[gè],位[wèi],名[míng]	教练 jiào liàn
a lesson; a moral; to chide sb; to lecture sb	教训 jiào xun
to touch; to contact; access; in touch with	接触 jiē chù
to receive (a visitor); to admit (allow sb to enter)	接待 jiē dài
stage; section; phase; period; CL:個|个[gè]	阶段 jiē duàn
near; close to	接近 jiē jìn
rugged; sturdy	结实 jiē shi
to catch and hold on; to continue; to go on to do sth; to follow; to carry on; then; after that; subsequently; to proceed; to ensue; in turn; in one's turn	接着 jiē zhe
festival; holiday; node; joint; section; segment; part; to economize; to save; to abridge; moral integrity; classifier for segments, e.g. lessons, train wagons, biblical verses; CL:個|个[gè]	节 jié
structure; composition; makeup; architecture; CL:座[zuò],個|个[gè]	结构 jié gòu
to combine; to link; to integrate; binding; CL:次[cì]	结合 jié hé
conclusion; verdict; CL:個|个[gè]; to conclude; to reach a verdict	结论 jié lùn
saving; to save; to use sparingly; to cut down on	节省 jié shěng
to pay the bill; to settle accounts; also written 結帳|结帐	结账 jié zhàng
to liberate; to emancipate; liberation; refers to the Communists' victory over the Nationalists in 1949; CL:次[cì]	解放 jiě fàng
commentator	解说员 jiě shuō yuán
to arrive at (place or time); period; to become due; classifier for events, meetings, elections, sporting fixtures etc	届 jiè
to use as an excuse; on the pretext	借口 jiè kǒu
to give up smoking	戒烟 jiè yān
(finger) ring	戒指 jiè zhi
metal; CL:種|种[zhǒng]	金属 jīn shǔ
tight; strict; close at hand; near; urgent; tense; hard up; short of money; to tighten	紧 jǐn
urgent; emergency	紧急 jǐn jí
cautious; prudent	谨慎 jǐn shèn
progress; improvement; to improve; to progress; CL:個|个[gè]	进步 jìn bù
modern times	近代 jìn dài
to import; imported	进口 jìn kǒu
to strive one's hardest; to spare no effort	尽力 jìn lì
to the full	尽量 jìn liàng
the classics; scriptures; classical	经典 jīng diǎn
energy	精力 jīng lì
to engage in (business etc); to run; to operate	经营 jīng yíng
scenery; scene; landscape; view	景色 jǐng sè
respect and love	敬爱 jìng ài
bar; pub; saloon; CL:家[jiā]	酒吧 jiǔ bā
to save; to assist; to rescue	救 jiù
ambulance; CL:輛|辆[liàng]	救护车 jiù hù chē
mother's brother; maternal uncle (informal); CL:個|个[gè]	舅舅 jiù jiu
unexpectedly; to one's surprise; go so far as to	居然 jū rán
tangerine; CL:個|个[gè],瓣[bàn]	桔子 jú zi
to lift; to hold up; to cite; to enumerate; to act; to raise; to choose; to elect	举 jǔ
to possess; to have; equipped with; able to fulfill (conditions or requirements)	具备 jù bèi
huge; immense; very large; tremendous; gigantic; enormous	巨大 jù dà
party; gathering; to meet; to get together	聚会 jù huì
club (i.e. a group or organization); CL:個|个[gè]	俱乐部 jù lè bù
it is said that; reportedly	据说 jù shuō
concrete; definite; specific	具体 jù tǐ
