nôm	vn	th	Meaning-vn	meaning-th	etymology	viet-only	main-chunom
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
