nôm	vn	th	Meaning-vn	meaning-th	etymology	viet-only	main-chunom
㹥	chó	จอ	dog	dog	From Proto-Vietic *ʔa-cɔːʔ, from Proto-Mon-Khmer *cɔʔ (“dog”); cognate with Semai co (“dog, servant, slave”), Halang chô (“dog”), Pacoh acho (“dog”), Khmu sɔʔ and Mang θɔː¹. Compare also Khmer ច (cɑɑ, “Year of the Dog”), a borrowing from Vietic.	TRUE	TRUE
葻	bông	บุงหงา	flower	flower	From Proto-Vietic *poːŋ (“flower”). Cognate with Muong pông and Thavung โปง.	TRUE	TRUE
豆	dấu	เตา	bean	bean	Sinitic	FALSE	TRUE
𣋀	sao	ดาว	star	star	From Middle Vietnamese ſao, from Proto-Vietic *k-raːw. Cognate with Muong khao. Might represent a Kra-Dai or Austronesian substratum, compare Proto-Tai *t.naːwᴬ (“star”), Proto-Hlai *ɾaːw (“star”) and Proto-Austronesian *qajaw (“ day”).  It is a semantic loan from English star, in the senses of “celebrity; actor”.	TRUE	TRUE
針	kim	เข็ม	needle	needle	Sinitic	FALSE	TRUE
𦧷	liêm	เลีย	lick	lick	From Middle Vietnamese 𥚇 (lưởi), from Proto-Vietic *laːs. Cognate with Nghệ An /Hà Tĩnh dialects lại, Muong lãi. Compare also Pacoh leah (“to lick”).	TRUE	TRUE
𥗾	nặng	หนัก	heavy	heavy	From Proto-Vietic *-naŋʔ.	TRUE	TRUE
㵋	mới	ใหม่	new	new	From Proto-Vietic *ɓəːjʔ. Unrelated to Thai ใหม่ (mài) or Khmer ថ្មី (thməy).	TRUE	TRUE
𦓅	già	แก่	old (people)	old (people)	From Middle Vietnamese già, from Proto-Vietic *k-raː, from Proto-Mon-Khmer *kraʔ ~ *(k)rah. Cognate with Muong khà, Tho [Cuối Chăm] kʰraː¹, Bahnar kră. Compare also Nghệ An/Hà Tĩnh dialects tra.  The standard written Vietnamese form is irregular (the expected form would be **sa), while the North Central form shows the shift from *k-r to *k-l observable in several other instances: compare sâu and trâu (“caterpillar”), sừng and trừng (“horn”). See giòi (“maggot”) for another instance of ‹gi› from initial *k-r.	TRUE	TRUE
𪡻	cũ	เก่า	old (things)	old (things)	Non-Sino-Vietnamese reading of Chinese 古 (“old”, SV: cổ). Doublet of cổ.	TRUE	TRUE
望	mong	มอง หวัง	expect	hope / gaze	Non-Sino-Vietnamese reading of Chinese 望 (“to expect”, SV: vọng). Compare Thai มอง (mɔɔng).	FALSE	TRUE
𩙻	bay	บิน	fly	fly	From Proto-Vietic *pər, from Proto-Mon-Khmer *par; cognates include Muong păl, Bahnar păr, Pacoh pár and Mon ပဝ် (pɔ).	TRUE	TRUE
騎	cỡi	ขี่	ride	ride	From Proto-Southwestern Tai *kʰwiːᴮ (“to ride”), from Middle Chinese 騎 (MC ɡˠiᴇ, “to ride”).[1] Cognate with Lao ຂີ່ (khī), Lü ᦃᦲᧈ (ẋii1), Tai Dam ꪄꪲ꪿, Shan ၶီႇ (khìi), Ahom 𑜁𑜣 (khī), Zhuang gwih, Nong Zhuang kiq.	FALSE	TRUE
𦣰	nằm	นอน	lay down	lay down	Cognate with Arem anam ("to brood").  Compare Proto-Katuic *-nam (whence Pacoh panám (“to set on eggs, to brood”)) and Proto-Khmuic *gnəm (“to hatch or brood eggs”). to lie (be in a horizontal position on a surface)	TRUE	TRUE
扢	cột	ขด	to tie	tied up	From Proto-Vietic *goːt. Cognate with Chut [Sách] koːt⁸.	FALSE	TRUE
傲	ngáo	โง่	crazy	crazy	Short for ngáo đá (“be high/intoxicated after using     methamphetamine”).  2. (colloquial) acting stupidly	TRUE	TRUE
炭	than	ถ่าน	charcoal	charcoal / ash	From Middle Chinese 炭 (MC tʰɑnH, “charcoal”). Cognate with Northern Thai ᨳ᩵ᩣ᩠ᨶ, Lao ຖ່ານ (thān), Shan ထၢၼ်ႇ (thàan).	FALSE	TRUE
炭	tàn	ถ่าน	ash	charcoal / ash	From Middle Chinese 炭 (MC tʰɑnH, “charcoal”). Cognate with Northern Thai ᨳ᩵ᩣ᩠ᨶ, Lao ຖ່ານ (thān), Shan ထၢၼ်ႇ (thàan).	FALSE	FALSE
𢌊 	rộng	ร่อง	wide	wide opening	From Proto-Vietic *roːŋʔ. Cognate with Northern Thai ᩁ᩵ᩬᨦ, Lao ຮ່ອງ (hǭng), Khün ᩁ᩵ᩬᨦ, Shan ႁွင်ႈ (hōang), Ahom 𑜍𑜨𑜂𑜫 (roṅ).	TRUE	TRUE
幔	màn	ม่าน	screen	screen	Non-Sino-Vietnamese reading of Chinese 幔 (SV: mạn).  Cognate with Northern Thai ᨾ᩵ᩣ᩠ᨶ, Lao ມ່ານ (mān), Khün ᨾ᩵ᩣ᩠ᨶ, Lü ᦙᦱᧃᧈ (maan1), Shan မၢၼ်ႈ (māan).	TRUE	TRUE
𡓇	lỗ	รู	hole	hole	From Proto-Mon-Khmer *luh (“hole”); cognates include Khmer ធ្លុះ (thluh), Bahnar bơlôh, Central Mnong lôh, and proto-Palaungic *luuh.	TRUE	TRUE
𠫾	đi	เดิน	Go	walk	From Proto-Vietic *diː ~ tiː (“to go, to walk”); cognate with Muong ti, Chut [Rục] tiː², Thavung tiː² and Tho [Cuối Chăm] tiː².	TRUE	TRUE
坱	ảng	อ่าง	basin	basin	From Proto-Southwestern Tai *ʔaːŋᴮ¹ (“basin”), from Proto-Tai *ʔaːŋᴮ (“basin”), from Middle Chinese 盎 (MC ʔɑŋX, ʔɑŋH, “an earthen vessel with a big belly and a small mouth”). Cognate with Northern Thai ᩋ᩵ᩣ᩠ᨦ, Lao ອ່າງ (ʼāng), Tai Dam ꪮ꪿ꪱꪉ, Shan ဢၢင်ႇ (ʼàang), Tai Nüa ᥟᥣᥒᥱ (ʼǎang), Ahom 𑜒𑜂𑜫 (ʼaṅ).	TRUE	TRUE
