Language,ISO,Source_ID,Source_page,A1.phon,A2.phon,A3.phon,A4.phon,B1.phon,B2.phon,B3.phon,B4.phon,C1.phon,C2.phon,C3.phon,C4.phon,DS1.phon,DS2.phon,DS3.phon,DS4.phon,DL1.phon,DL2.phon,DL3.phon,DL4.phon
TaiChiengMai_nod,nod,hudak1997_14,725-727,14,14,44,44,22,22,22,41,53?,53?,53?,454?,14,14,14,454?,22,22,22,41
KammueangLamphun_nod,nod,soiyana2009acoustic,49-67,35,35,33,33,11,11,11,42,53,53,53,553,35,35,35,553,11,11,11,42
MaeSot_nod,nod,poonpholwattanaporn2010,73-77,24,24,33,33,22,22,22,452,343,343,343,44,24,24,24,452,22,22,22,452
WesternNung_nut,nut,hudak2008comparative_11,34-37,14,14,14,44,21,21,21,31,22?,22?,22?,55?,55?,55?,55?,44,21,21,21,31
TaiBacVa_nut,nut,hudak2008comparative_12,37-39,14,45,45,33,21?,14,21?,32?,11?,11?,11,55,33,55,55,33,14,14,14,32?
NyoSiriwisitkun_nyw,nyw,siriwisitkun1986,79-86,213,44,44,44,31,31,31,342,342,35,35,35,31,31,31,35,35,35,35,31
TaiYo_nyw,nyw,matchikanang1999,48-53,214,214,214,445,33,33,33,33,21,21,21,454,45,45,45,22,32,32,32,32
Nyo-Site1_nyw,nyw,koowatthanasiri1981,"86-90, 222-223",,,,,,,,,,,,,,,,,,,,
Nyo-Site2_nyw,nyw,koowatthanasiri1981,"91-95, 223-224",,,,,,,,,,,,,,,,,,,,
Nyo-Site3_nyw,nyw,koowatthanasiri1981,"96-100, 225-226",,,,,,,,,,,,,,,,,,,,
Nyo-Site4_nyw,nyw,koowatthanasiri1981,"101-105, 226-227",,,,,,,,,,,,,,,,,,,,
Nyo-Site5_nyw,nyw,koowatthanasiri1981,"106-110, 227-228",,,,,,,,,,,,,,,,,,,,
Nyo-Site6_nyw,nyw,koowatthanasiri1981,"111-115, 229-230",,,,,,,,,,,,,,,,,,,,
Nyo-Site7_nyw,nyw,koowatthanasiri1981,"116-120, 230-231",,,,,,,,,,,,,,,,,,,,
Nyo-Site8_nyw,nyw,koowatthanasiri1981,"121-125, 231-232",,,,,,,,,,,,,,,,,,,,
Nyo-Site9_nyw,nyw,koowatthanasiri1981,"126-130, 232-233",,,,,,,,,,,,,,,,,,,,
Nyo-Site10_nyw,nyw,koowatthanasiri1981,"131-134, 234-235",,,,,,,,,,,,,,,,,,,,
Nyo-Site11_nyw,nyw,koowatthanasiri1981,"135-138, 235-236",,,,,,,,,,,,,,,,,,,,
Nyo-Site12_nyw,nyw,koowatthanasiri1981,"139-143, 236-237",,,,,,,,,,,,,,,,,,,,
Nyo-Site13_nyw,nyw,koowatthanasiri1981,"144-148, 237-238",,,,,,,,,,,,,,,,,,,,
Nyo-Site14_nyw,nyw,koowatthanasiri1981,"149-153, 239-240",,,,,,,,,,,,,,,,,,,,
Nyo-Site15_nyw,nyw,koowatthanasiri1981,"154-158, 240-241",,,,,,,,,,,,,,,,,,,,
Nyo-Site16_nyw,nyw,koowatthanasiri1981,"159-163, 242-243",,,,,,,,,,,,,,,,,,,,
Nyo-Site17_nyw,nyw,koowatthanasiri1981,"174-178, 243-245",,,,,,,,,,,,,,,,,,,,
Nyo-Site18_nyw,nyw,koowatthanasiri1981,"164-168, 245-246",,,,,,,,,,,,,,,,,,,,
Nyo-Site19_nyw,nyw,koowatthanasiri1981,"169-173, 246-247",,,,,,,,,,,,,,,,,,,,
Nyo-Site20_nyw,nyw,koowatthanasiri1981,"179-183, 248-249",,,,,,,,,,,,,,,,,,,,
Nyo-Site21_nyw,nyw,koowatthanasiri1981,"184-188, 249-250",,,,,,,,,,,,,,,,,,,,
Nyo-Site22_nyw,nyw,koowatthanasiri1981,"189-193, 251-252",,,,,,,,,,,,,,,,,,,,
Nyo-Site23_nyw,nyw,koowatthanasiri1981,"194-198, 252-253",,,,,,,,,,,,,,,,,,,,
Nyo-Site24_nyw,nyw,koowatthanasiri1981,"199-203, 253-254",,,,,,,,,,,,,,,,,,,,
Nyo-Site25_nyw,nyw,koowatthanasiri1981,"204-208, 255-256",,,,,,,,,,,,,,,,,,,,
