Language,ISO,Source_ID,Source_page,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,DL1,DL2,DL3,DL4,DS1,DS2,DS3,DS4,DL4.phon,DS1.phon,DS2.phon,DS3.phon,DS4.phon,A1.phon,A2.phon,A3.phon,A4.phon,B1.phon,B2.phon,B3.phon,B4.phon,C1.phon,C2.phon,C3.phon,C4.phon,DL1.phon,DL2.phon,DL3.phon,Ab1,Ab1.phon,Bb1,Bb1.phon,Cb1,Cb1.phon,DLb1,DLb1.phon,DSb1,DSb1
KelantanSouthernThai_sou,sou,thongchuay1983current,479,1,4,4,5,2,2,2,6,3,3,3,7,2,2,2,6,6,6,6,6,21,21,21,21,21,24,34,34,22,44,44,44,21,33,33,33,32,44,44,44,,,,,,,,,,
KedahSouthernThai_sou,sou,thongchuay1983current,479,1,3,3,5,1,3,3,4,2,4,4,6,2,4,4,4,1,3,3,6,22,45,34,34,21,453,343,343,32,453,343,343,32,43,22,22,21,43,22,22,,,,,,,,,,
PerlisSouthernThai_sou,sou,thongchuay1983current,479,1,3,3,5,1,3,3,6,2,4,4,7,2,4,4,6,1,3,3,7,22,44,34,34,21,44,343,343,32,44,343,343,22,43,33,33,21,43,33,33,,,,,,,,,,
TaiNua1_tdd,tdd,zhou2001_1,,1,6,6,2,5,5,5,6,3,3,3,4,9,9,9,8,9,9,9,"9,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TaiNua2_tdd,tdd,zhou2001_2,,1,6,6,2,5,5,5,6,3,3,3,4,9,9,9,10,10,10,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TaiNua_tdd,tdd,yu1980,,1,6,6,2,5,5,5,6,3,3,3,4,9,"7,9",9,8,7,7,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TaiNueaJonsson_tdd,tdd,jonsson1991,,1,6,6,2,5,5,5,6,3,3,3,4,5,5,5,4,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TaiNueaPintasaard_tdd,tdd,pintasaard2004development,66-67,1,2,2,3,4,4,4,2,5,5,5,6,1,1,1,6,4,4,4,6,43,22,22,22,43,24,33,33,453,22,22,22,33,31,31,31,43,24,24,24,,,,,,,,,,
TaiNueaHudak_tdd,tdd,hudak1994_6,531-533,5,1,1,4,2,2,2,1,3,3,3,6,2,2,2,1,1,1,1,4,32,32,32,32,43,35,32,32,43,11,11,11,32,33?,33?,33?,21?,11,11,11,,,,,,,,,,
TaiMaawShan_shn,shn,hudak1994_8,759-761,1,1,1,4,2,2,2,5,3,3,3,6,2,2,2,5,1,1,1,3,22,24,24,24,43?,24,24,24,44,21?,21?,21?,22,43?,43?,43?,41?,21?,21?,21?,,,,,,,,,,
TaiNuea1TL_tdd,tdd,harris1975comparative,202-204,5,1,1,4,2,2,2,1,3,3,3,3,2,2,2,"3,1",5,1,5,3,"53?,33",35,33,35,53?,35,33,33,55,11,11,11,33,53?,53?,53?,53?,11,11,11,,,,,,,,,,
TaiNuea2TM_tdd,tdd,harris1975comparative,202-204,5,1,1,4,2,2,2,1,3,3,3,3,2,2,2,"3,1",5,5,5,3,"53?,33",35,35,35,53?,35,33,33,55,11?,11?,11?,33,53?,53?,53?,53?,11?,11?,11?,,,,,,,,,,
TaiNuea3TN_tdd,tdd,harris1975comparative,202-204,5,1,1,4,2,2,2,1,3,3,3,3,2,2,2,"3,1",5,5,5,3,"31?,31",325,325,325,31?,325,31,31,51,11,11,11,31,31?,31?,31?,31?,11,11,11,,,,,,,,,,
TaiKhorat_tha,tha,khotchanthuek2002,38-43,1,2,2,2,3,3,3,4,4,4,4,4,3,3,3,4,1,1,1,1,41,25,25,25,25,15,21,21,21,22,22,22,41,41,41,41,41,22,22,22,,,,,,,,,,
TaiPrachuap1_tha,tha,debavalya1983,91-92,1,2,2,2,3,3,3,4,4,4,4,5,3,3,3,4,3,3,3,5,441,22,22,22,55,424,34,34,34,22,22,22,441?,441?,441?,441?,35?,22,22,22,,,,,,,,,,
TaiPrachuap2_tha,tha,debavalya1983,91-92,1,2,2,2,3,3,3,4,4,4,4,5,3,3,3,4,3,3,3,5,441,11,11,11,55,424,24,24,24,11,11,11,441?,441?,441?,441?,35?,11,11,11,,,,,,,,,,
TaiPrachuap3_tha,tha,debavalya1983,91-92,1,2,2,2,3,3,3,4,4,4,4,5,3,3,3,4,3,3,3,5,451,11,11,11,55,424,334,334,334,21,21,21,451?,451?,451?,451?,35?,21,21,21,,,,,,,,,,
TaiPrachuap4_tha,tha,debavalya1983,91-92,1,2,2,2,3,3,3,4,4,4,4,5,3,3,3,4,3,3,3,5,451,11,11,11,55,214,34,34,34,11,11,11,451,451,451,451,35,11,11,11,,,,,,,,,,
TaiPrachuap5_tha,tha,debavalya1983,93,1,2,2,2,3,3,3,4,4,4,4,5,3,3,3,4,3,3,3,4,452,11,11,11,"42,55",214,"33,34","33,34","33,34",11,11,11,452,452,452,452,35,11,11,11,,,,,,,,,,
TaiPrachuap6_tha,tha,debavalya1983,94,1,2,2,3,4,4,4,5,5,5,5,6,4,4,4,5,4,4,4,6,451,22,22,22,45,424,343,343,114,"22,21","22,21","22,21",451?,451?,451?,451?,35?,12,12,12,,,,,,,,,,
TaiPrachuap7_tha,tha,debavalya1983,94,1,2,2,3,4,4,4,5,5,5,5,6,4,4,4,5,4,4,4,6,451,33,33,33,"55,11",424,343,343,113,33,33,33,451?,451?,451?,451?,35?,33,33,33,,,,,,,,,,
TaiPrachuap8_tha,tha,debavalya1983,95,1,2,2,3,4,4,4,5,5,5,5,6,4,4,4,5,4,4,4,5,451,22,22,22,42,424,343,343,115,"22,21","22,21","22,21",451?,451?,451?,451?,35?,22,22,22,,,,,,,,,,
TaiPrachuap9_tha,tha,debavalya1983,96,1,2,2,2,1,1,1,3,3,3,3,3,1,1,1,3,1,1,1,3,11,45,45,45,11,454,33343,33343,33343,454,454,454,11,11,11,11,11,45,45,45,,,,,,,,,,
TaiPrachuap10_tha,tha,debavalya1983,97,1,2,2,2,1,1,1,3,4,4,4,3,4,2,2,3,4,2,2,3,11,"55,45",33,33,11,455,332,332,332,455,455,455,11,44,44,44,11,45,33,33,,,,,,,,,,
TaiPrachuap11_tha,tha,debavalya1983,98,1,2,2,2,1,1,1,3,4,4,4,3,4,4,4,3,4,4,4,3,11,45,45,45,11,454,343,343,343,454,454,454,11,44,44,44,11,45,45,45,,,,,,,,,,
TaiPrachuap12_tha,tha,debavalya1983,98,1,2,2,2,1,1,1,3,4,4,4,3,4,4,4,3,4,4,4,3,11,45,45,45,11,455,33,33,33,455,455,455,11,44,44,44,11,45,45,45,,,,,,,,,,
TaiPrachuap13_tha,tha,debavalya1983,99-102,1,2,2,2,1,1,1,3,4,4,4,5,4,4,4,3,4,4,4,5,12,45,45,45,11,454,33,33,33,454,454,454,12,44,44,44,11,45,45,45,,,,,,,,,,
TaiPrachuap14_tha,tha,debavalya1983,99-102,1,2,2,2,1,1,1,3,4,4,4,5,4,4,4,3,4,4,4,5,"22,23",45,45,45,11,454,33,33,33,454,454,454,"223,22",445,445,445,11,45,45,45,,,,,,,,,,
TaiPrachuap15_tha,tha,debavalya1983,99-102,1,2,2,2,1,1,1,3,4,4,4,5,4,4,4,3,4,4,4,5,13,45,45,45,11,454,33,33,33,454,454,454,13,44,44,44,11,45,45,45,,,,,,,,,,
TaiPrachuap16_tha,tha,debavalya1983,99-102,1,2,2,2,1,1,1,3,4,4,4,5,4,4,4,3,4,4,4,5,22,45,45,45,11,454,343,343,343,454,454,454,22,44,44,44,11,45,45,45,,,,,,,,,,
TaiPrachuap17_tha,tha,debavalya1983,99-102,1,2,2,2,1,1,1,3,4,4,4,5,4,4,4,3,4,4,4,5,13,45,45,45,11,455,33,33,33,455,455,455,13,445,445,445,11112,45,45,45,,,,,,,,,,
TaiPrachuap18_tha,tha,debavalya1983,99-102,1,2,2,2,1,1,1,3,4,4,4,5,4,4,4,3,4,4,4,5,13,45,45,45,11,455,332,332,332,455,455,455,13,44,44,44,11,45,45,45,,,,,,,,,,
TaiPrachuap19_tha,tha,debavalya1983,99-102,1,2,2,2,1,1,1,3,4,4,4,5,4,4,4,3,4,4,4,5,13,45,45,45,"11,55",4554,33,33,33,4554,4554,4554,13,44,44,44,11,45,45,45,,,,,,,,,,
TaiPrachuap20_tha,tha,debavalya1983,99-102,1,2,2,2,1,1,1,3,4,4,4,5,4,4,4,3,4,4,4,5,13,45,45,45,11,4554,343,343,343,4554,4554,4554,13,44,44,44,11,45,45,45,,,,,,,,,,
TaiPrachuap21_tha,tha,debavalya1983,99-102,1,2,2,2,1,1,1,3,4,4,4,5,4,4,4,3,4,4,4,5,113,45,45,45,11,4554,33,33,33,4554,4554,4554,13,44,44,44,11,45,45,45,,,,,,,,,,
TaiPrachuap22_tha,tha,debavalya1983,99-102,1,2,2,2,1,1,1,3,4,4,4,5,4,4,4,3,4,4,4,5,13,45,45,45,11,4554,33,33,33,4554,4554,4554,13,44,44,44,11,45,45,45,,,,,,,,,,
TaiPrachuap23_tha,tha,debavalya1983,99-102,1,2,2,2,1,1,1,3,4,4,4,5,4,4,4,3,4,4,4,5,13,45,45,45,11,454,33,33,33,454,454,454,13,44,44,44,11,45,45,45,,,,,,,,,,
TaiPrachuap24_tha,tha,debavalya1983,99-102,1,2,2,2,1,1,1,3,4,4,4,5,4,4,4,3,4,4,4,5,22,55,55,55,11,454,343,343,343,454,454,454,22223,44,44,44,11,45,45,45,,,,,,,,,,
TaiPrachuap25_tha,tha,debavalya1983,99-102,1,2,2,2,1,1,1,3,4,4,4,5,4,4,4,3,4,4,4,5,13,45,45,45,11,454,33,33,33,454,454,454,13,44,44,44,11,45,45,45,,,,,,,,,,
TaiPrachuap26_tha,tha,debavalya1983,99-102,1,2,2,2,1,1,1,3,4,4,4,5,4,4,4,3,4,4,4,5,22,55,55,55,11,454,332,332,332,454,454,454,22,44,44,44,11,45,45,45,,,,,,,,,,
TaiChumphon1_tha,tha,debavalya1983,99-102,1,2,2,2,1,1,1,3,4,4,4,5,4,4,4,3,4,4,4,5,22,45,45,45,11,454,332,332,332,454,454,454,22,44,44,44,11,45,45,45,,,,,,,,,,
TaiChumphon2_tha,tha,debavalya1983,99-102,1,2,2,2,1,1,1,3,4,4,4,5,4,4,4,3,4,4,4,5,12,45,45,45,11,454,33,33,33,454,454,454,12,445,445,445,11,45,45,45,,,,,,,,,,
TaiPrachuap27_tha,tha,debavalya1983,103,1,2,2,2,1,1,1,3,4,4,4,5,4,4,4,5,4,4,4,5,11,45,45,45,11,454,332,332,332,454,454,454,23,334,334,334,11,45,45,45,,,,,,,,,,
TaiPrachuap28_tha,tha,debavalya1983,103,1,2,2,2,1,1,1,3,4,4,4,5,4,4,4,5,4,4,4,5,11,45,45,45,11,454,332,332,332,454,454,454,12,44,44,44,11,45,45,45,,,,,,,,,,
TaiPrachuap29_tha,tha,debavalya1983,104-105,1,2,2,2,1,1,1,3,4,4,4,5,4,4,4,3,4,4,4,3,441,45,45,45,31,454,343,343,343,454,454,454,442,334,334,334,11,45,45,45,,,,,,,,,,
TaiPrachuap30_tha,tha,debavalya1983,104-105,1,2,2,2,1,1,1,3,4,4,4,5,4,4,4,3,4,4,4,3,22,45,45,45,22,454,343,343,343,454,454,454,22,44,44,44,11,45,45,45,,,,,,,,,,
TaiPrachuap31_tha,tha,debavalya1983,104-105,1,2,2,2,1,1,1,3,4,4,4,5,4,4,4,3,4,4,4,3,22,45,45,45,22,454,343,343,343,454,454,454,22,44,44,44,11,45,45,45,,,,,,,,,,
TaiChumphon3_tha,tha,debavalya1983,104-105,1,2,2,2,1,1,1,3,4,4,4,5,4,4,4,3,4,4,4,3,22,45,45,45,22,454,343,343,343,454,454,454,"22,23",44,44,44,"11,32",45,45,45,,,,,,,,,,
TaiPrachuap32_tha,tha,debavalya1983,106-107,1,2,2,2,1,1,1,3,4,4,4,5,4,3,3,3,4,3,3,5,13,45,"22,23","22,23","11,44",4554,343,343,343,4554,4554,4554,13,44,44,44,11,45,13,13,,,,,,,,,,
TaiPrachuap33_tha,tha,debavalya1983,106-107,1,2,2,2,1,1,1,3,4,4,4,5,4,3,3,3,4,3,3,5,13,45,13,13,11,454,343,343,343,454,454,454,13,44,44,44,11,45,13,13,,,,,,,,,,
TaiPrachuap34_tha,tha,debavalya1983,106-107,1,2,2,2,1,1,1,3,4,4,4,5,4,3,3,3,4,3,3,5,113,45,13,13,11,454,33,33,33,454,454,454,13,44,44,44,11,45,113,113,,,,,,,,,,
TaiChumphon4_tha,tha,debavalya1983,106-107,1,2,2,2,1,1,1,3,4,4,4,5,4,3,3,3,4,3,3,5,13,45,13,13,11,454,343,343,343,454,454,454,13,44,44,44,22,45,13,13,,,,,,,,,,
TaiPrachuap36_tha,tha,debavalya1983,108,1,2,2,2,1,1,1,3,4,4,4,5,4,3,3,3,4,2,2,5,13,45,33,33,11,454,33,33,33,454,454,454,13,44,44,44,11,45,13,13,,,,,,,,,,
LomSak_tha,tha,sungkep1983,"56, 62-73",1,2,2,2,3,3,3,3,4,5,5,5,2,2,2,5,4,4,4,5,55,22,22,22,55,13,11,11,11,33,33,33,33,43,55,55,55,553,553,553,XXX,,,,,,,,,
PhetchaburiThai-ThaYang_tha,tha,pornsib1994,66,5,1,1,6,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,551,43,43,43,45,424,332,332,433,42,42,42,551,551,551,551,343,32,32,32,,,,,,,,,,
PhetchaburiThai-BanLat_tha,tha,pornsib1994,66,5,1,1,6,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,22,33,33,33,221,35,122,122,214,33,33,33,223,223,223,223,221,233,233,233,,,,,,,,,,
PhetchaburiThai-Cha-Am_tha,tha,pornsib1994,66,5,1,1,6,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,331,23,23,23,31,313,221,221,325,324,324,324,311,311,311,311,22,23,23,23,,,,,,,,,,
PhetchaburiThai-Mueang_tha,tha,pornsib1994,66,5,1,1,6,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,441,32,32,32,53,435,23,23,323,322,322,322,331,331,331,331,33,32,32,32,,,,,,,,,,
PhetchaburiThai-KhaoYoi_tha,tha,pornsib1994,66,5,1,1,6,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,454,443,443,443,335,552,223,223,442,42,42,42,453,453,453,453,324,31,31,31,,,,,,,,,,
PhetchaburiThai-BanLaem_tha,tha,pornsib1994,66,5,1,1,6,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,552,21,21,21,554,322,232,232,425,414,414,414,451,451,451,451,434,32,32,32,,,,,,,,,,
WrittenSiamese_tha,tha,jonsson1991,,5,1,1,1,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BangkokThai_tha,tha,pintasaard2004development,67-68,1,2,2,2,3,3,3,4,4,4,4,5,3,3,3,4,3,3,3,5,41,21,21,21,35,24,33,33,33,21,21,21,41,41,41,41,35,21,21,21,,,,,,,,,,
Siamese_tha,tha,hudak2008comparative_1,,5,1,1,1,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,41,22,22,22,55?,24?,33,33,33,22,22,22,41,41,41,41,55?,22,22,22,,,,,,,,,,
ThaiChonburiA_tha,tha,sumransook1995study,47-71,1,2,2,2,3,3,3,4,4,4,4,5,3,3,3,4,3,3,3,5,41,22,22,22,44,24,33,33,33,22,22,22,41,41,41,41,44,22,22,22,,,,,,,,,,
ThaiChonburiB_tha,tha,sumransook1995study,47-71,1,2,2,2,3,3,3,4,4,4,4,5,3,3,3,4,3,3,3,4,21,44,44,44,21,24,33,33,23,44,44,44,21,21,21,21,454,44,44,44,,,,,,,,,,
ThaiChonburiC_tha,tha,sumransook1995study,47-71,1,2,2,2,3,3,3,4,4,4,4,5,3,3,3,4,3,3,3,5,31,44,44,44,43,24,33,33,33,44,44,44,31,31,31,31,452,44,44,44,,,,,,,,,,
ThaiChonburiD_tha,tha,sumransook1995study,47-71,1,2,2,2,3,3,3,4,4,4,4,5,3,3,3,4,3,3,3,5,21,44,44,44,44,24,33,33,33,22,22,22,21,21,21,21,44,22,22,22,,,,,,,,,,
ThaiChonburiE_tha,tha,sumransook1995study,47-71,1,2,2,2,3,3,3,4,4,4,4,5,3,3,3,4,3,3,3,5,21,44,44,44,44,24,33,33,33,22,22,22,21,21,21,21,452,22,22,22,,,,,,,,,,
ThaiKanchanaburi1_tha,tha,worawong2000tone,"185, 289",5,1,1,2,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,453,31,31,31,13,312,222,222,31,31,31,31,453,453,453,453,13,31,31,31,,,,,,,,,,
ThaiKanchanaburi2_tha,tha,worawong2000tone,"185, 289",5,1,1,2,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,452,32,32,32,254,313,231,231,32,32,32,32,452,452,452,452,254,32,32,32,,,,,,,,,,
ThaiKanchanaburi3_tha,tha,worawong2000tone,"185, 289",5,1,1,2,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,351,332,332,332,252,412,242,242,332,332,332,332,351,351,351,351,252,332,332,332,,,,,,,,,,
ThaiKanchanaburi4_tha,tha,worawong2000tone,"185, 289",5,1,1,2,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,342,41,41,41,323,325,322,322,41,41,41,41,342,342,342,342,323,41,41,41,,,,,,,,,,
NakhonPathomThai1_tha,tha,nualjansaeng1992tones,48-53,5,1,1,1,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,442,42,42,42,45,15,33,33,33,42,42,42,443,443,443,443,35,42,42,42,,,,,,,,,,
NakhonPathomThai2_tha,tha,nualjansaeng1992tones,48-53,5,1,1,1,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,441,32,32,32,45,15,33,33,33,42,42,42,441,441,441,441,35,42,42,42,,,,,,,,,,
NakhonPathomThai3_tha,tha,nualjansaeng1992tones,48-53,5,1,1,1,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,441,42,42,42,45,423,33,33,33,42,42,42,441?,441?,441?,441?,35,42,42,42,,,,,,,,,,
NakhonPathomThai4_tha,tha,nualjansaeng1992tones,48-53,5,1,1,1,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,441,43,43,43,45,115,33,33,33,42,42,42,441,441,441,441,35,42,42,42,,,,,,,,,,
NakhonPathomThai5_tha,tha,nualjansaeng1992tones,48-53,5,1,1,1,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,441,43,43,43,45,115,33,33,33,42,42,42,441,441,441,441,334?,42,42,42,,,,,,,,,,
NakhonPathomThai6_tha,tha,nualjansaeng1992tones,48-53,5,1,1,1,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,441,43,43,43,45,325,33,33,33,42,42,42,441,441,441,441,35,42,42,42,,,,,,,,,,
NakhonPathomThai7_tha,tha,nualjansaeng1992tones,48-53,5,1,1,1,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,441,42,42,42,45,215,33,33,33,42,42,42,441?,441?,441?,441?,35,42,42,42,,,,,,,,,,
NakhonPathomThai8_tha,tha,nualjansaeng1992tones,48-53,5,1,1,1,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,443,43,43,43,45,115,33,33,33,32,32,32,441,441,441,441,35,32,32,32,,,,,,,,,,
NakhonPathomThai9_tha,tha,nualjansaeng1992tones,48-53,5,1,1,1,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,441,43,43,43,45,115,33,33,33,32,32,32,441?,441?,441?,441?,35,32,32,32,,,,,,,,,,
NakhonPathomThai10_tha,tha,nualjansaeng1992tones,48-53,5,1,1,1,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,455,43,43,43,45,51,33,33,33,43,43,43,455?,455?,455?,455?,35?,43,43,43,,,,,,,,,,
NakhonPathomThai11_tha,tha,nualjansaeng1992tones,48-53,5,1,1,1,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,455,42,42,42,45,51,32,32,32,42,42,42,455?,455?,455?,455?,35,42,42,42,,,,,,,,,,
NakhonPathomThai12_tha,tha,nualjansaeng1992tones,48-53,5,1,1,1,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,441,43,43,43,45,325,33,33,33,43,43,43,455,455,455,455,35?,43,43,43,,,,,,,,,,
NakhonPathomThai13_tha,tha,nualjansaeng1992tones,48-53,5,1,1,1,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,441,43,43,43,45,325,33,33,33,42,42,42,441,441,441,441,35,42,42,42,,,,,,,,,,
NakhonPathomThai14_tha,tha,nualjansaeng1992tones,48-53,5,1,1,1,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,455,43,43,43,45,215,33,33,33,42,42,42,455,455,455,455,35,43,43,43,,,,,,,,,,
NakhonPathomThai15_tha,tha,nualjansaeng1992tones,48-53,5,1,1,1,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,455,43,43,43,45,325,33,33,32,42,42,42,455?,455?,455?,455?,35,42,42,42,,,,,,,,,,
NakhonPathomThai16_tha,tha,nualjansaeng1992tones,48-53,5,1,1,1,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,455,43,43,43,45,51,33,33,33,42,42,42,455?,455?,455?,455?,35,42,42,42,,,,,,,,,,
NakhonPathomThai17_tha,tha,nualjansaeng1992tones,48-53,5,1,1,1,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,455,43,43,43,45,215,33,33,33,42,42,42,455,455,455,455,35,42,42,42,,,,,,,,,,
NakhonPathomThai18_tha,tha,nualjansaeng1992tones,48-53,5,1,1,1,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,441,32,32,32,45,115,33,33,33,42,42,42,441,441,441,441,35,32,32,32,,,,,,,,,,
NakhonPathomThai19_tha,tha,nualjansaeng1992tones,48-53,5,1,1,1,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,441,43,43,43,45,115,33,33,33,42,42,42,441,441,441,441,35,42,42,42,,,,,,,,,,
NakhonPathomThai20_tha,tha,nualjansaeng1992tones,48-53,5,1,1,1,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,441,43,43,43,45,115,33,33,33,42,42,42,441,441,441,441,35,42,42,42,,,,,,,,,,
NakhonPathomThai21_tha,tha,nualjansaeng1992tones,48-53,5,1,1,1,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,441,43,43,43,45,325,33,33,33,42,42,42,441?,441?,441?,441?,35,32,32,32,,,,,,,,,,
NakhonPathomThai22_tha,tha,nualjansaeng1992tones,48-53,5,1,1,1,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,441,43,43,43,45,115,33,33,33,42,42,42,441,441,441,441,35,42,42,42,,,,,,,,,,
NakhonPathomThai23_tha,tha,nualjansaeng1992tones,48-53,5,1,1,1,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,441,42,42,42,45,115,33,33,33,42,42,42,441,441,441,441,35,42,42,42,,,,,,,,,,
AngThongThai_tha,tha,malaichalern1988tones,162-166 etc,5,1,1,1,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,,,,,,423,33,33,33,43,43,43,44,44,44,44,45?,,,,,,,,,,,,,
WestAyuthayaThai_tha,tha,malaichalern1988tones,162-166 etc,5,1,1,1,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CentralAyuthayaThai_tha,tha,malaichalern1988tones,162-166 etc,5,1,1,1,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EastAyuthayaThai_tha,tha,malaichalern1988tones,162-166 etc,5,1,1,1,2,2,2,3,3,3,3,4,2,2,2,3,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TaiHongjin2_tiz,tiz,zhou2001_6,,1,1,1,2,5,5,5,6,3,3,3,4,9,9,9,7,7,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TaiHongjin3_tiz,tiz,zhou2001_9,,1,2,2,2,5,5,5,4,3,3,3,4,5,5,5,2,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mene_tmp,tmp,chamberlain1999mene,108,1,4,4,4,2,2,2,2,3,3,3,5,2,2,2,2,6,6,6,7,221,35,35,35,32,213,55,55,55,221,221,221,221,443,443,443,552,221,221,221,,,,,,,,,,
TaiIsaan_tts,tts,khotchanthuek2002,33-38,1,2,2,2,3,3,3,3,3,3,3,4,3,3,3,4,1,1,1,5,41,"24,34","24,34","24,34",45,24,231,231,231,33,33,33,33,33,33,33,41,33,33,33,,,,,,,,,,
NakhonPhanomTai_tts,tts,koowatthanasiri1981,260-261,1,1,1,2,3,3,3,4,3,4,4,5,3,3,3,4,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NongKhaiThai_tts,tts,hudak2008comparative_5,17-19,1,2,2,6,3,3,3,3,4,5,5,5,2,2,2,5,1,1,1,3,42?,24,24,24,44,24,11,11,55,44,44,44,44,22?,42?,42?,42?,11,11,11,,,,,,,,,,
TaiUbon_tts,tts,hudak1997_4,203-205,1,4,4,5,2,2,2,2,3,6,6,6,3,3,3,6,1,1,1,2,41?,15,15,15,33,15,121,121,454,33,33,33,33,22?,41?,41?,41?,22?,22?,22?,,,,,,,,,,
TaiRoiEt_tts,tts,hudak1997_5,253-255,1,2,2,3,4,4,4,5,6,7,7,7,6,6,6,7,1,1,1,5,41?,14,14,14,33?,14,22,22,55,44,44,44,33?,11?,41?,41?,41?,11?,11?,11?,,,,,,,,,,
TaiNakhonPhanom_tts,tts,hudak1997_6,275-277,1,1,1,2,3,3,3,3,4,5,5,5,4,4,4,5,1,1,1,3,54?,24,24,24,32,24,24,24,44,32,32,32,32,21?,54?,54?,54?,21?,21?,21?,,,,,,,,,,
TaiNongKhai_tts,tts,hudak1997_12,451-454,1,2,2,6,3,3,3,3,4,5,5,5,2,2,2,5,1,1,1,3,42?,24,24,24,44,24,11,11,55,44,44,44,44,22?,42?,42?,42?,11,11,11,,,,,,,,,,
TaiLoei_tts,tts,hudak1997_13,705-707,1,4,4,4,2,2,2,2,3,5,5,5,3,3,3,"1,4","1,4","1,4","1,4",2,"323,34","323,34","323,34","323,34",33,323,34,34,34,33,33,33,33,55?,45?,45?,45?,55?,55?,55?,,,,,,,,,,
WhiteTaiJonsson_twh,twh,jonsson1991,,1,1,1,4,2,2,2,5,3,3,3,6,2,2,2,4,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WhiteTaiPintasaard_twh,twh,pintasaard2004development,57-58,1,1,1,2,3,3,3,4,5,5,5,6,3,3,3,2,3,3,3,2,44,45,45,45,44,22,22,22,44,45,45,45,454,24,24,24,31,45,45,45,,,,,,,,,,
WhiteTaiHudak_twh,twh,hudak2008comparative_2,,1,1,1,4,2,2,2,5,3,3,3,6,2,2,2,4,2,2,2,4,44,45,45,45,44,22,22,22,44,45,45,45,454,24?,24?,24?,31?,45,45,45,,,,,,,,,,
RedTaiJonsson_tyr,tyr,jonsson1991,,1,1,1,4,2,2,2,3,3,3,3,5,2,2,2,3,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RedTaiPintasaard_tyr,tyr,pintasaard2004development,60-61,1,1,1,2,3,3,3,4,4,4,4,5,3,3,3,4,3,3,3,3,14,44,44,44,44,35,35,35,32,44,44,44,14,14,14,14,51,44,44,44,,,,,,,,,,
