Language,ISO,Source_ID,Source_page,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,DL1,DL2,DL3,DL4,DS1,DS2,DS3,DS4,DL4.phon,DS1.phon,DS2.phon,DS3.phon,DS4.phon,A1.phon,A2.phon,A3.phon,A4.phon,B1.phon,B2.phon,B3.phon,B4.phon,C1.phon,C2.phon,C3.phon,C4.phon,DL1.phon,DL2.phon,DL3.phon,Ab1,Ab1.phon,Bb1,Bb1.phon,Cb1,Cb1.phon,DLb1,DLb1.phon,DSb1,DSb1
LaoCambodia2_lao,lao,sopheap2017tone,61-63,1,2,2,3,4,4,4,4,5,6,6,6,5,5,5,6,1,1,1,4,31,24,24,24,33,24,32,32,42X,33,33,33,33,11?,31?,31?,31?,11,11,11,,,,,,,,,,
LaoCambodia3_lao,lao,sopheap2017tone,63-65,1,2,2,3,4,4,4,5,6,7,7,7,6,6,6,7,1,1,1,4,31,35,35,35,44,35,42,42,451X,44,44,44,342,33?,31?,31?,31?,33,33,33,,,,,,,,,,
LaoCambodia4_lao,lao,sopheap2017tone,66-68,1,2,2,3,4,4,4,5,6,7,7,7,6,6,6,7,1,1,1,4,342,35,35,35,44,24,32,32,42X,33,33,33,332,11?,342?,342?,342?,11,11,11,,,,,,,,,,
LaoCambodia5_lao,lao,sopheap2017tone,68-70,1,2,2,3,4,4,4,5,6,7,7,7,6,6,6,7,1,1,1,3,35,24,24,24,44,24,32,32,44,32,32,32,45?,42?,35?,35?,35?,42,42,42,,,,,,,,,,
LaoCambodia6_lao,lao,sopheap2017tone,70-72,1,2,2,3,4,4,4,4,5,6,6,6,5,5,5,6,1,1,1,4,31,24,24,24,44,35,32,32,42X,33,33,33,33,11?,31?,31?,31?,11,11,11,,,,,,,,,,
LaoCambodia7_lao,lao,sopheap2017tone,72-74,1,2,2,2,3,3,3,3,4,5,5,5,4,4,4,5,1,1,1,3,31,35,35,35,44,24,32,32,32,33,33,33,33,11?,31?,31?,31?,11,11,11,,,,,,,,,,
LaoCambodia8_lao,lao,sopheap2017tone,74-76,1,2,2,3,4,4,4,4,5,6,6,6,5,5,5,6,1,1,1,4,31X,24,24,24,33,24,32,32,32X,33,33,33,33,11?,31X,31X,31X,11,11,11,,,,,,,,,,
LaoCambodia9_lao,lao,sopheap2017tone,76-78,1,2,2,3,4,4,4,5,6,7,7,7,6,6,6,7,1,1,1,4,42X,24,24,24,33,24,32,32,32X,33,33,33,332,11?,42X,42X,42X,11,11,11,,,,,,,,,,
LaoCambodia10_lao,lao,sopheap2017tone,78-80,1,2,2,3,4,4,4,5,6,7,7,7,6,6,6,7,1,1,1,4,32X,35,35,35,44,35,32,32,42X,33,33,33,442,11?,32X,32X,32X,11,11,11,,,,,,,,,,
LaoCambodia11_lao,lao,sopheap2017tone,80-82,1,2,2,2,3,3,3,3,4,5,5,5,4,4,4,5,1,1,1,3,31X,24,24,24,33,24,32,32,32,33,33,33,33,42X,31X,31X,31X,42X,42X,42X,,,,,,,,,,
LaoCambodia12_lao,lao,sopheap2017tone,82-84,1,2,2,3,4,4,4,4,5,6,6,6,5,5,5,6,1,1,1,4,31,35,35,35,44,35,32,32,42X,44,44,44,44,11?,31?,31?,31?,11,11,11,,,,,,,,,,
LaoVientiane1_lao,lao,osatananda1997,39-41,1,1,1,2,3,3,3,3,5,6,6,6,5,5,5,6,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaoVientiane2_lao,lao,osatananda1997,41-42,1,1,1,2,3,3,3,3,4,5,5,5,3,3,3,4,2,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaoVientiane3_lao,lao,osatananda1997,42-43,1,2,2,2,3,3,3,3,4,5,5,5,3,3,3,4,2,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaoVientiane4_lao,lao,osatananda1997,44-46,1,2,2,3,4,4,4,4,5,6,6,6,5,5,5,7,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaoVientiane5_lao,lao,osatananda1997,46-48,1,2,2,3,4,4,4,5,6,6,6,5,4,4,4,5,4,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaoVientiane6_lao,lao,osatananda1997,48-50,1,1,1,2,3,3,3,3,4,5,5,5,4,4,4,5,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaoVientiane7_lao,lao,osatananda1997,50-51,1,1,1,2,3,3,3,3,4,5,5,5,4,4,4,5,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaoVientiane8_lao,lao,osatananda1997,51-52,1,1,1,2,3,3,3,3,4,4,4,5,3,3,3,5,7,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaoVientiane9_lao,lao,osatananda1997,53,1,2,2,3,4,4,4,4,5,6,6,6,5,5,5,6,3,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TaiYuanKhotchanthuek_nod,nod,khotchanthuek2002,26-33,1,1,2,2,3,3,3,4,4,4,4,5,3,3,3,4,1,1,1,5,41,15,15,15,55,15,15,231,231,33,33,33,41,41,41,41,45,33,33,33,,,,,,,,,,
TaiYuanChaokhamin_nod,nod,chaokhamin1988,66-71,1,1,2,2,3,3,3,4,5,5,5,6,3,3,3,4,1,1,1,6,31,35,35,35,45,14,14,232,232,22,22,22,31,44,44,44,41,22,22,22,,,,,,,,,,
TaiYuanNakhonPathom_nod,nod,thianthaworn1998,59-63,1,1,2,2,3,3,3,4,5,5,5,6,3,3,3,4,1,1,1,6,342,35,35,35,454,24,24,32,32,21,21,21,342,4,4,4,452,21,21,21,,,,,,,,,,
TaiYuanRatchaburi_nod,nod,thianthaworn1998,80-99,1,1,2,2,2,2,2,3,4,4,4,3,2,2,2,3,1,1,1,4,353,223,223,223,55,223,223,33,33,33,33,33,353,55,55,55,353,33,33,33,,,,,,,,,,
TaiYuanSaraburi_nod,nod,thianthaworn1998,80-99,1,1,2,2,3,3,3,4,5,5,5,6,3,3,3,4,7,7,7,8,31,35,35,35,45,14,14,232,232,22,22,22,31,44,44,44,41,22,22,22,,,,,,,,,,
TaiYuanLopburi_nod,nod,thianthaworn1998,80-99,1,1,2,2,3,3,3,4,5,5,5,6,3,3,3,4,6,6,6,5,31,44?,44?,44?,51?,14,14,33,33,22,22,22,31,51?,51?,51?,44?,22,22,22,,,,,,,,,,
NorthernThai_nod,nod,wuttheerapon2004,42924,1,1,0,0,2,2,2,3,4,4,4,5,2,2,2,3,1,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TaiYuan_nod,nod,pintasaard2004development,63-64,1,1,2,2,3,3,3,4,5,5,5,6,3,3,3,4,1,1,1,6,31,35,35,35,55,35,35,33,33,11,11,11,31,53,53,53,55,11,11,11,,,,,,,,,,
ChiangMaiThai_nod,nod,hudak2008comparative_8,23-25,2,2,1,1,3,3,3,4,5,5,5,6,3,3,3,4,2,2,2,6,41,14,14,14,454,14,14,44,44,22,22,22,41,53,53,53,454,22,22,22,,,,,,,,,,
TaiUdon_nod,nod,hudak1997_11,381-382,1,4,4,5,2,2,2,2,3,6,6,6,3,3,3,6,1,1,1,2,41?,24,24,24,33,24,22,22,55,33,33,33,33,11?,41?,41?,41?,11?,11?,11?,,,,,,,,,,
TaiChiengMai_nod,nod,hudak1997_14,725-727,1,1,4,4,2,2,2,5,3,3,3,6,2,2,2,5,1,1,1,6,41,14,14,14,454?,14,14,44,44,22,22,22,41,53?,53?,53?,454?,22,22,22,,,,,,,,,,
KammueangLamphun_nod,nod,soiyana2009acoustic,49-67,1,1,2,2,3,3,3,4,5,5,5,6,3,3,3,4,1,1,1,6,42,35,35,35,553,35,35,33,33,11,11,11,42,53,53,53,553,11,11,11,,,,,,,,,,
MaeSot_nod,nod,poonpholwattanaporn2010,73-77,1,1,2,2,3,3,3,4,5,5,5,6,3,3,3,4,1,1,1,4,452,24,24,24,452,24,24,33,33,22,22,22,452,343,343,343,44,22,22,22,,,,,,,,,,
WesternNung_nut,nut,hudak2008comparative_11,34-37,1,1,1,4,2,2,2,5,3,3,3,6,2,2,2,5,6,6,6,4,31,55?,55?,55?,44,14,14,14,44,21,21,21,31,22?,22?,22?,55?,21,21,21,,,,,,,,,,
TaiBacVa_nut,nut,hudak2008comparative_12,37-39,1,2,2,3,4,1,4,5,6,6,7,8,1,1,1,5,3,8,8,3,32?,33,55,55,33,14,45,45,33,21?,14,21?,32?,11?,11?,11,55,14,14,14,2,45,1,14,7,11,1,14,8,55
NyoSiriwisitkun_nyw,nyw,siriwisitkun1986,79-86,1,2,2,2,3,3,3,5,5,4,4,4,4,4,4,3,3,3,3,4,31,31,31,31,35,213,44,44,44,31,31,31,342,342,35,35,35,35,35,35,,,,,,,,,,
TaiYo_nyw,nyw,matchikanang1999,48-53,1,1,1,2,3,3,3,3,4,4,4,5,3,3,3,3,5,5,5,4,32,45,45,45,22,214,214,214,445,33,33,33,33,21,21,21,454,32,32,32,,,,,,,,,,
Nyo-Site1_nyw,nyw,koowatthanasiri1981,"86-90, 222-223",1,1,1,2,3,3,3,4,3,4,4,4,3,3,3,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyo-Site2_nyw,nyw,koowatthanasiri1981,"91-95, 223-224",1,1,1,2,3,3,3,4,3,4,4,4,3,3,3,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyo-Site3_nyw,nyw,koowatthanasiri1981,"96-100, 225-226",1,1,1,2,3,3,3,4,3,4,4,4,3,3,3,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
