order	sequence	thai	phonetic	description	short-description	set	level
2150	2	ยังไม่มี yang mâi-mii Not yet. / I don't have one yet. / I don't have any yet.  					
2151	3	ไม่ต้องรอ(ฉัน) mâi-dtɔ̂ng rɔɔ	chǎn	You don't need to wait (for me). / No need to wait up (for me). 	You don't need to wait (for me		
2152	4	นี่มัน(ห้อง)ผม STRONG nîi man	hɔ̂ng	pǒm This is MY (room)!  	pǒm This is MY (room)!  		
2153	5	อยากกินอีก yàak gin ìik I wanna have that again. / I want to eat it again.  					
2154	6	จะเอาเท่าไร jà ao tâo-rai How much do you want?  					
2155	7	ไม่มีเวลา(แล้ว) mâi-mii wee-laa	lɛ́ɛo	(We) have no more time. / There's no more time.  	(We) have no more time. / Ther		
2156	8	วาง(ลง) waang	long	Put it down. / Lay it down.  	Put it down. / Lay it down.  		
2157	9	ลืมซื้อมา lʉʉm sʉ́ʉ maa	I	forgot to buy it.  	forgot to buy it.  		
2158	10	อย่าลืมซื้อ... yàa lʉʉm sʉ́ʉ... Don't forget to buy...  					
2159	11	ครับ(พ่อ) / ค่ะ(พ่อ) kráp	pɔ̂ɔ	/ kà (pɔ̂ɔ) Yes, (Dad). (acknowledging, agreeing, etc.) 	/ kà (pɔ̂ɔ) Yes, (Dad). (ackno		
2160	12	ยังไม่รู้ yang mâi-rúu I don't know yet. / I still don't know.  					
2161	13	แค่ครั้งเดียว kɛ̂ɛ kráng-diao Only once. / Only one time. 					
2162	14	หลับหรือยัง làp rʉ̌ʉ yang Are you asleep	yet	? 	? 		
2163	15	ได้นอนแค่	3	ชั่วโมง dâi nɔɔn kɛ̂ɛ (sǎam) chûa-moong I only slept (3) hours. / I only got (3) hours of sleep.  	ชั่วโมง dâi nɔɔn kɛ̂ɛ (sǎam) c		
2164	16	ฉันคุยกับแม่แล้ว chǎn kui gàp	mɛ̂ɛ	lɛ́ɛo I spoke with (mom) already. / I already spoke with (my mother).  	lɛ́ɛo I spoke with (mom) alrea		
2165	17	ไม่รู้เมื่อไร mâi-rúu mʉ̂a-rai	I	don't know when.  	don't know when.  		
2166	18	ตรงไป(ข้างหน้า) dtrong-bpai	kâang-nâa	Go straight (ahead).  	Go straight (ahead).  		
2167	19	รถผมเสีย rót pǒm sǐa My car broke down.  					
2168	20	เขานิสัยดี kǎo ní-sǎi-dii He's nice. / He's a nice guy. / He's polite and well-mannered.  					
2169	1	สะใจเลย sà-jai ləəi	I	feel so (damn) satisfied! / (I) enjoyed that! / That was satisfying!  	feel so (damn) satisfied! / (I	Super Useful Expressions, Part 109 	high-intermediate level
2170	2	ประสาท SLANG/ROUGH bprà-sàat Crazy guy! / Idiot! / You're wacko!  					
2171	3	ไม่เลยสักนิด mâi ləəi sàk-nít Not in the least bit. / Not at all. / Not a bit.  					
2172	4	ฉันคิดถึงแต่เรื่อง(กิน) chǎn kít-tʉ̌ng dtɛ̀ɛ rʉ̂ang	gin	All I think about is (eating/food). / I think about (eating/food) all the time. / My mind is filled with thoughts of (eating/food).  	All I think about is (eating/f		
2173	5	ไม่ทราบว่าใครโทรมาครับ FORMAL mâi-sâap wâa krai too-maa kráp Who's calling please?  					
2174	6	ไม่ทราบว่าเป็นใคร FORMAL mâi-sâap wâa bpen krai I don't know who it is/was.  					
2175	7	ตั้งแต่(ผม)เกิดมา... dtâng-dtɛ̀ɛ	pǒm	gə̀ət maa... Since I was born... / For the first time in my life... / This is the first time I... 	gə̀ət maa... Since I was born.		
2176	8	ดูท่าแล้ว... duu tâa lɛ́ɛo... It looks like... / It seems like... / Apparently...  					
2177	9	...จะได้ประหยัดเงิน ...jà dâi bprà-yàt ngən 					
2178	...so (you) can save money. / ...(you) will save money (economize) 						
2179	10	เขาเล่นตัวอยู่ kǎo lên-dtua yùu She's playing hard to get.  					
2180	11	(...)ก่อนจะสายเกินไป	...	gɔ̀ɔn jà sǎai gəən-bpai (...)before it's too late.  	gɔ̀ɔn jà sǎai gəən-bpai (...)b		
2181	12	จัดไป INFORMAL jàt bpai Bring it on! / Hell yeah!	Let's do it!				
2182	13	(มือ)เย็นเฉียบ(เลย)	mʉʉ	yen chìap (ləəi) (Your hands) are as cold as ice/freezing cold/ice cold.  	yen chìap (ləəi) (Your hands) 		
2183	14	จำทางไม่ได้ jam taang mâi-dâi	I	've lost my way. / (I) can't remember the way. 	've lost my way. / (I) can't r		
2184	15	ทำให้อยู่ท้อง tam-hâi yùu-tɔ́ɔng	It	fills you up. / (It)'s filling.  	fills you up. / (It)'s filling		
2185	16	ฉันทำอะไรลงไป DRAMATIC chǎn tam à-rai long bpaiWhat did I do?!	assumes something bad was done				
2186	17	อาการแย่มาก aa-gaan yɛ̂ɛ mâak	He	's in really bad shape. / (He)'s hurt really bad. (of an accident or sickness) 	's in really bad shape. / (He)		
2187	18	เธอสติไม่ดี təə sà-dtì mâi-dii She's not all there. / She's nuts. / She's crazy.  					
2188	19	เลิกพูดกันได้แล้ว lə̂ək pûut gan dâi lɛ́ɛo Stop talking about it/that!  					
2189	20	ติดต่อไม่ได้เลย dtìt-dtɔ̀ɔ mâi-dâi ləəi	I	can't get through to her. / (I)'ve been unable to contact her.  	can't get through to her. / (I		
2190	1	ผมเอาใจช่วยนะ pǒm ao-jai-chûai ná I hope you are successful. / I wish you success.  	Super Useful Expressions, Part 110  	low-intermediate level	low-intermediate level		
2191	2	มีอะไรไม่สบายใจหรือเปล่า mii à-rai mâi sà-baai-jai rʉ̌ʉ-bplàao Is something wrong? / Is something bothering you?  					
2192	3	จะกลับตอนไหน jà glàp dtɔɔn-nǎi When will	you	be back? / What time will (you) be back?  	be back? / What time will (you		
2193	4	ไม่กล้าท mâi glâa tam I didn't dare. / You wouldn't dare!  					
2194	5	มาหาใคร(ครับ) maa-hǎa krai	kráp	Who are you here to see? / Who are you here for? / Who are you looking for?  	Who are you here to see? / Who		
2195	6	แกโกหกฉัน gɛɛ goo-hòk chǎn You're lying	to me	. 	. 		
2196	7	เสียงดังเกินไป(แล้ว) sǐang-dang gəən-bpai	lɛ́ɛo	You're being too loud. / It was too loud. / She's too noisy!  	You're being too loud. / It wa		
2197	8	อาการดีขึ้น(แล้ว) aa-gaan dii-kʉ̂n	lɛ́ɛo	(He)'s feeling better. (His) condition has improved. / (He)'s getting better. 	(He)'s feeling better. (His) c		
2198	9	กินอะไรหรือยัง gin à-rai rʉ̌ʉ-yang Have you eaten	anything	yet? / Did you eat yet? 	yet? / Did you eat yet? 		
2199	10	เขาไม่ได้สติ kǎo mâi-dâi sà-dtì He's unconscious. 					
2200	11	แย่แล้ว yɛ̂ɛ lɛ́ɛo Oh, shit! / Oh, no! 					
2201	12	ใครเป็นคนขโมย(ไป) krai bpen kon kà-mooi	bpai	Who stole it?  	Who stole it?  		
2202	13	ต้องเข้มแข็ง dtɔ̂ng kêm-kɛ̌ng Be strong! / Stay strong!	emotionally				
2203	14	ผมไม่รู้จักใครเลย pǒm mâi-rúu-jàk krai ləəi I don't know anyone	here	. 	. 		
2204	15	ยังปวดหัวอยู่หรือเปล่า yang bpùat-hǔa yùu rʉ̌ʉ-bplàao Do you still have a headache?  					
2205	16	ฉันไม่ไว้ใจใคร chǎn mâi-wái-jai krai I don't trust anyone.  					
2206	17	ผมไม่มีทางเลือก pǒm mâi-mii-taang lʉ̂ak I have no choice. / I had no choice.  					
2207	18	อย่าทำให้(ผม)ผิดหวัง yàa tam-hâi	pǒm	pìt-wǎng Don't disappoint me. / Don't let me down.  	pìt-wǎng Don't disappoint me. 		
2208	19	อย่ายุ่ง STRONG yàa yûngDon't interfere! / Leave me alone! / Don't mess with	me	!  	!  		
2209	20	เดี๋ยวก็หาย dǐao gɔ̂ɔ hǎai It'll be better soon. / It'll heal soon. / It'll soon pass.  					
2210	1	ของฝากเล็กๆน้อยๆ kɔ̌ɔng-fàak lék-lék nɔ́ɔi-nɔ́ɔi Here's a small souvenir. / I have a little something I bought for you.  	Super Useful Expressions, Part 111  	low-advanced level	low-advanced level		
2211	2	ไม่ได้เข้าข้างใคร mâi-dâi kâo-kâang krai I'm not siding with anyone. / I'm not taking anyone's side.  					
2212	3	คิดดีทำดี kít dii tam dii Think good, do good.  Note: This is an expression from Buddhism meaning if you have good  intentions and do good, you will have good karma. 					
2213	4	ขอให้เป็นอย่างนั้น SEMI-FORMAL/LITERARY kɔ̌ɔ-hâi bpen yàang-nán So be it. / I hope so. / I hope it turns out that way.  					
2214	5	เป็นคนละเอียดรอบคอบ bpen kon lá-ìat rɔ̂ɔp-kɔ̂ɔp He's meticulous/very thorough/very careful.  					
2215	6	เหมือนตกนรกทั้งเป็น mʉ̌an dtòk-ná-rók táng-bpen It's like hell on earth! / It's like going to hell alive!  					
2216	7	(จะ)สบายไปทั้งชาติ	jà	sà-baai bpai táng-châat He'd live comfortably for the rest of his life. / He would have it easy his whole life. (not necessary to work due to having excess money, etc.) 	sà-baai bpai táng-châat He'd l		
2217	8	ทำจิตใจให้สงบ tam jìt-jai hâi sà-ngòpCalm your mind. 					
2218	9	ยังนับว่าโชคดี yang náp-wâa chôok-dii Consider yourself lucky! / You were lucky! / Still, you were fortunate.	that  nothing worse happened to you, etc.				
2219	10	พบเห็นได้ทั่วไป póp-hěn dâi tûa-bpai	It	's found all over. / (It)'s commonly seen. / (It)'s a common sight.  	's found all over. / (It)'s co		
2220	11	โชคเข้าข้าง(เราแล้ว) LITERARY chôok kâo-kâang	rao lɛ́ɛo	Luck is on our side. / This is our lucky break.  	Luck is on our side. / This is		
2221	12	ฉันไม่เรียกร้องอะไร SEMI-FORMAL chǎn mâi rîak-rɔ́ɔng à-rai I don't ask for anything. / I'm not demanding anything.  					
2222	13	ใครจะว่ายังไงก็ช่างเขา INFORMAL krai jà wâa yang-ngai gɔ̂ɔ châng kǎo They can say whatever they want! / I don't care what anyone says!  					
2223	14	สมกันดี(นะ) sǒm-gan dii	ná	Good match! / How suitable! / (You two) are perfect for each other! / They're a good fit. 	Good match! / How suitable! / 		
2224	15	ฉันแค่พูดตามความเป็นจริง chǎn kɛ̂ɛ pûut dtaam kwaam-bpen-jing I'm just telling the truth. / I'm just being honest.  					
2225	16	...ว่าไหม ...wâa mǎi 					
2226	... ,huh? / ... ,don't you think? / ... ,isn't it? / ... ,don't they? etc.  (This functions similar to a tag question.) 						
2227	17	เงินเดือนไม่พอใช้ ngən-dʉan mâi-pɔɔ chái	My	salary isn't enough (to live on).  	salary isn't enough (to live o		
2228	18	ดูซึมๆ duu sʉm-sʉm	She	looks down/depressed/mopey.  	looks down/depressed/mopey.  		
2229	19	มองไม่วางตาเลย mɔɔng mâi waang dtaa ləəi	He	kept staring at her. / (He) couldn't take his eyes off her. 	kept staring at her. / (He) co		
2230	20	ขายดิบขายดี IDIOMATIC kǎai-dìp-kǎai-dii	They're	selling like hotcakes! / (They're) selling really well!  	selling like hotcakes! / (They		
2231	1	มีแต่ได้กับได้ mii dtɛ̀ɛ dâi gàp dâi It's a win-win	situation	. 	. 	Super Useful Expressions, Part 112  	high-intermediate level
2232	2	คิดเอาเองสิ kít ao eeng sì Figure it out! / Think about it yourself.  					
2233	3	ต่างกับฉัน dtàang gàp chǎn Different from me. / Not the same as me. / Unlike me. 					
2234	4	ไม่อยากเห็นหน้าคุณอีก VERY STRONG mâi-yàak hěn nâa kun ìik I don't wanna see you anymore! 					
2235	5	ผมพูดมาตลอด(...) pǒm pûut maa dtà-lɔ̀ɔt(...) I've always said... / I've been saying	that	all along.  	all along.  		
2236	6	จริงอยู่ว่า... jing yùu wâa... True, ... / It's true... 					
2237	7	คุณใช้(มัน)เป็นข้ออ้าง kun chái	man	bpen kɔ̂ɔ-âang You're using (it) as an excuse.  	bpen kɔ̂ɔ-âang You're using (i		
2238	8	สวยวัวตายควายล้ม / หล่อวัวตายควายล้ม IDIOM sǔai wua dtaai kwaai  lóm / lɔ̀ɔ wua dtaai kwaai lóm Drop dead gorgeous! / Super handsome or beautiful. Note: The literal meaning is that cows would die and water buffalos would fall  over due to one's good looks. 					
2239	9	โป๊ะเชะ SLANG bpó-ché Nailed it! / Bingo! / Jackpot!  					
2240	10	คุณตัดสินใจถูกแล้ว kun dtàt-sǐn-jai tùuk lɛ́ɛo You made the right choice.  					
2241	11	สู้ตาย SLANG sûu-dtaai Fight to the death. / Let's do it! / Let's do this!  					
2242	12	อะไรทำให้คุณคิดว่า... à-rai tam-hâi kun kít wâa... What makes you think... ?  					
2243	13	ทำอะไรไม่ได้นอกจาก... tam à-rai mâi-dâi nɔ̂ɔk-jàak...	I	can't do anything other than.../but.../except...  	can't do anything other than..		
2244	14	ไม่ใช่ซะหน่อย mâi-châi sá-nɔ̀i No, that's not it! / No, it's not! / That's not true at all! 					
2245	15	ฉันหาข้อมูลมาแล้ว chǎn hǎa kɔ̂ɔ-muun maa lɛ́ɛo I already checked it out/researched it.  					
2246	16	เพราะอย่างนี้... SEMI-FORMAL prɔ́-yàang-níi... That's why... / That's the reason why...  					
2247	17	ดูจากสีหน้า... duu jàak sǐi-nâa... Judging from the look on	your	face... / (I can tell) from the look on (your) face...  	face... / (I can tell) from th		
2248	18	ให้คำตอบไม่ได้ hâi kam-dtɔ̀ɔp mâi-dâi	I	can't answer that. / (I) don't have an answer for that. / (I) can't give an answer.  	can't answer that. / (I) don't		
2249	19	แกจะไปรู้ได้ยังไง STRONG gɛɛ jà bpai rúu dâi yang-ngai How the hell would you know?! / How could you possibly know?!  					
2250	20	ไม่มีอะไรน่าเป็นห่วง mâi mii à-rai nâa-bpen-hùang	There's	nothing to worry about. / It's nothing to worry about. 	nothing to worry about. / It's		
2251	1	เพิ่งเริมต้น pə̂ng rə̂əm-dtôn We're just getting started. / It's just begun. / It's just the beginning. 	Super Useful Expressions, Part 113  	low-intermediate level	low-intermediate level		
2252	2	ฉันจะเรียกตำรวจ chǎn jà rîak dtam-rùat I'm gonna call the cops!  					
2253	3	เขายังโกรธฉันอยู่ kǎo yang gròot chǎn yùu He's still angry with/at me. 					
2254	4	ผมรู้ว่าผมผิด(...) pǒm rúu wâa pǒm pìt	...	I know I'm wrong(...)  	I know I'm wrong(...)  		
2255	5	ยังไม่บอกหนู(เลย)(ว่า...) yang mâi bɔ̀ɔk nǔu	ləəi	(wâa...) You haven't told me yet(...)  	(wâa...) You haven't told me y		
2256	6	ฉันดูออก(...) chǎn duu ɔ̀ɔk	...	I can tell. / I can see...  	I can tell. / I can see...  		
2257	7	ยังสวยเหมือนเดิม yang sǔai mʉ̌an-dəəm You're still as pretty/beautiful as ever!  					
2258	8	เดี๋ยวตามไป dǐao dtaam bpai I'll be right there. / I'll meet you	there	in a minute. / I'll be there soon.  	in a minute. / I'll be there s		
2259	9	พอใจแล้ว pɔɔ-jai lɛ́ɛo I'm satisfied. / I'm content. / It's enough for me.					
2260	10	ตื่นเต้นมาก dtʉ̀ʉn-dtên mâak I'm so excited. / It's so exciting.  					
2261	11	ฉันเชื่อใน(ความรัก) chǎn chʉ̂a nai	kwaam-rák	I believe in (love).  	I believe in (love).  		
2262	12	มีลูกค้าประจำเยอะ mii lûuk-káa bprà-jam yə́ We have a lot of customers who come here regularly. / She has a lot of steady  clients. 					
2263	13	ไม่เคยผิดพลาด mâi-kəəi pìt-plâat I never make mistakes. / He's never wrong.  					
2264	14	ฉันรักที่นี่(มาก) chǎn rák tîi-nîi	mâak	I love it here. / I love this place. 	I love it here. / I love this 		
2265	15	อยากกินอะไรอีกไหม yàak gin à-rai ìik mǎi Do you wanna have something else	to eat	?  	?  		
2266	16	นี่คือคำสั่ง nîi kʉʉ kam-sàng That's an order!  					
2267	17	เรื่องมันยาว rʉ̂ang man yaao It's a long story.  					
2268	18	บอกเขาแล้วหรือ bɔ̀ɔk kǎo lɛ́ɛo rʉ̌ʉ You told her already?!  					
2269	19	มันคุ้มไหม man kúm mǎi Is it worth it? / Was it worth it?  					
2270	20	ปากหวาน(จริงๆ) bpàak-wǎan	jing-jing	Such a sweet talker! / You're so sweet! / You really know how to sweet talk! Super Useful Expressions, Part 114(low-intermediate level) 	Such a sweet talker! / You're 		
2271	1	เช่นกัน SEMI-FORMAL chên-gan Me, too. / You, too. / Same here. / Likewise.  					
2272	2	รักษาตัวด้วย SEMI-FORMAL rák-sǎa dtua dûai Take care	of yourself	.  	.  		
2273	3	น่าทึ่งมาก nâa-tʉ̂ng mâak	It	's really amazing/impressive/incredible!  	's really amazing/impressive/i		
2274	4	(FYI)ย่อมาจากอะไร	FYI	yɔ̂ɔ maa-jàak à-rai What does (FYI) stand for?  	yɔ̂ɔ maa-jàak à-rai What does 		
2275	5	ทำแบบนี้ไม่ได้ tam bɛ̀ɛp-níi mâi-dâi	You	can't do that. / (You) can't do this.  	can't do that. / (You) can't d		
2276	6	เขาเป็นคนดี kǎo bpen kon dii He's a nice guy. / He's a good person.  					
2277	7	ผมจะทำให้ดู pǒm jà tam-hâi duu I'll show you.	how to do it, etc.				
2278	8	จำไว้ให้ดี jam wái hâi dii Just remember... / Keep in mind... / Bear in mind...  					
2279	9	หลังจากนั้นผม(ก็)... lǎng-jàak nán pǒm	gɔ̂ɔ	... After that I... / Then I...  	... After that I... / Then I..		
2280	10	อยากให้คุณรู้ว่า... yàak hâi kun rúu wâa... I want you to know...  					
2281	11	เขาหน้าตา(เป็น)ยังไง INFORMAL kǎo nâa-dtaa	bpen	yang-ngai What does s/he look like?  	yang-ngai What does s/he look 		
2282	12	อย่าแตะต้อง(อะไร) yàa dtɛ̀-dtɔ̂ng	à-rai	Don't touch (anything)!  	Don't touch (anything)!  		
2283	13	อ่าน(หมด)ทุกเล่ม(เลย) àan	mòt	túk lêm (ləəi) I read them all. / I've read each and every one.  	túk lêm (ləəi) I read them all		
2284	14	เขายังมีชีวิตอยู่หรือเปล่า kǎo yang mii-chii-wít-yùu rʉ̌ʉ-bplàao Is he still alive/living? 					
2285	15	ยังมีชีวิตอยู่ yang mii-chii-wít-yùu	I	'm still alive.  	'm still alive.  		
2286	16	ฉันไม่ได้บอกว่า(คุณบ้า) chǎn mâi-dâi bɔ̀ɔk wâa	kun bâa	I didn't say (you were crazy).  	I didn't say (you were crazy).		
2287	17	มองอะไรวะ STRONG/VULGAR mɔɔng à-rai wá What are ya lookin' it?!  					
2288	18	พอใจหรือยัง pɔɔ-jai rʉ̌ʉ-yang Are you satisfied	now	? / Satisfied?  	? / Satisfied?  		
2289	19	จริงรึเปล่า jing rʉ́-bplàao Is it true? / Really?  					
2290	20	ไม่เคยได้ยิน mâi-kəəi dâi-yin Never heard it. / Never heard of him.  					
2291	1	มีเวลาน้อย mii wee-laa nɔ́ɔi	I	don't have much time. / (I) have little time (for)...  	don't have much time. / (I) ha	Super Useful Expressions, Part 115  	high-beginner level
2292	2	ใครเป็นคนท krai bpen kon tam Who did it? / Who made it? 					
2293	3	ฟังฉันนะ fang chǎn ná Listen to me.  					
2294	4	หันหลัง(สิ)(ค่ะ) hǎn-lǎng	sì	(kà) Turn around.  	(kà) Turn around.  		
2295	5	ไม่ใช่ตอนนี้ mâi-châi dtɔɔn-níi Not now!  					
2296	6	อายุเท่าไหร่ aa-yú tâo-rài How old are you? / How old is she?  					
2297	7	มันจบแล้ว man jòp lɛ́ɛo It's over. / It's finished. 					
2298	8	พอไหม(คะ) pɔɔ mǎi	ká	Is that enough? / Will that do?  	Is that enough? / Will that do		
2299	9	ตอนนี้เลย dtɔɔn-níi ləəi	Right	now!  	now!  		
2300	10	ไปมาแล้ว bpai maa lɛ́ɛo I've already been	there	. / I went there already. 	. / I went there already. 		
2301	11	เจ็บไหม jèp mǎi Does it hurt?  					
2302	12	เจ็บตรงไหน jèp dtrong-nǎi Where does it hurt? 					
2303	13	ฉันชอบ	X	มากกว่า (Y) chǎn chɔ̂ɔp (X) mâak-gwàa (Y) I like (X) more than (Y).  	มากกว่า (Y) chǎn chɔ̂ɔp (X) mâ		
2304	14	ชอบไหม chɔ̂ɔp mǎi Do you like it? / Do you like her?					
2305	15	ฟังดูดี fang duu dii Sounds good.  					
2306	16	ขอบคุณมาก(นะคะ) kɔ̀ɔp-kun mâak	ná-ká	Thank you very much. 	Thank you very much. 		
2307	17	เขามาทำอะไร kǎo maa tam à-rai What was he doing here? / What is she doing here? 					
2308	18	หยุดไม่ได้ yùt mâi-dâi I can't stop. / I couldn't stop.  					
2309	19	ผมรอได้ pǒm rɔɔ dâi I can wait.  					
2310	20	ไม่ได้บอก(ค่ะ) mâi-dâi bɔ̀ɔk	kà	He didn't say. / He didn't tell me.  	He didn't say. / He didn't tel		
2311	1	ตรงเวลาเป๊ะเลย dtrong-wee-laa bpé ləəi Right on time! / Just in time!  	Super Useful Expressions, Part 116  	high-intermediate level	high-intermediate level		
2312	2	มันไม่ใช่เรื่องง่ายๆ man mâi-châi rʉ̂ang ngâai-ngâai It's not a simple matter. / It's not	so	easy.  	easy.  		
2313	3	ไม่เกินไปหน่อยหรอ STRONG mâi gəən-bpai nɔ̀i rə̌ə It's it a bit too much? / Isn't that going too far? / Isn't that overkill? / Isn't that a bit  extreme?  					
2314	4	ต้องมีอะไรบ้าง dtɔ̂ng mii à-rai bâang There has to be something. / There's gotta be something.  					
2315	5	ผมจะอยู่เคียงข้างคุณ pǒm jà yùu kiang-kâang kunI'll be by your side. / I'll be with you.  					
2316	6	เลิกยุ่งกับฉัน(ซะที)(เถอะ) STRONG lə̂ək yûng-gàp chǎn	sá-tii	(tə̀) Leave me alone! / Stop messing with me! / Stop bugging me!  Note: ซะที (sá-tii) is a casual version of เสียที (sǐa-tii), which is a particle urging that one wants something to happen soon or finally. 	(tə̀) Leave me alone! / Stop m		
2317	7	เขาออกจากโรงพยาบาลแล้ว kǎo ɔ̀ɔk-jàak roong-pá-yaa-baan lɛ́ɛo She got out of the hospital. / She left the hospital. / She was discharged.  					
2318	8	ไม่ว่าเกิดอะไรขึ้น(ก็ตาม)... mâi-wâa gə̀ət à-rai kʉ̂n	gɔ̂ɔ-dtaam	... No matter what happens... / Whatever happens...  	... No matter what happens... 		
2319	9	ต้องดูก่อน(ว่า...) dtɔ̂ng duu gɔ̀ɔn	wâa	... We'll have to see(...) / We'll see(...)  	... We'll have to see(...) / W		
2320	10	...กลับมาเหมือนเดิม ...glàp-maa mʉ̌an-dəəm 					
2321	...back to normal. / ...back to as before. / ...the same as (it) used to be.  						
2322	11	อีกอย่างหนึ่ง... ìik yàang nʉ̀ng... And another thing... / Besides... 					
2323	12	ลึกๆในใจ... lʉ́k-lʉ́k nai jai... Deep down... / Deep inside my heart...  					
2324	13	ต้องทำตามสัญญา dtɔ̂ng tam-dtaam sǎn-yaa	You	must keep your promise. / (I) have to keep my promise.  	must keep your promise. / (I) 		
2325	14	เหมือนเคยเจอที่ไหนมาก่อน mʉ̌an kəəi jəə tǐi-nǎi maa-gɔ̀ɔn It's like I've seen	him	somewhere before. 	somewhere before. 		
2326	15	(การผ่าตัด)เป็นไปด้วยดี	gaan-pàa-dtàt	bpen-bpai dûai-dii (The operation) went well/smoothly.  	bpen-bpai dûai-dii (The operat		
2327	16	ตลกตายล่ะ SARCASTIC dtà-lòk dtaai	lâ	Very funny. (meaning it's not really funny)	Very funny. (meaning it's not 		
2328	17	ไม่มีวันเป็นไปได้ mâi-mii-wan bpen-bpai-dâi	It	will never happen. / (It) will never work.  	will never happen. / (It) will		
2329	18	ยอมไม่ได้แน่ๆ yɔɔm mâi-dâi nɛ̂ɛ-nɛ̂ɛ	I	can't let that happen! / (I) can't let you do that! / (I) can't allow that!  	can't let that happen! / (I) c		
2330	19	พูดไปเรื่อย pûut bpai rʉ̂ai	You	're rambling. / (You)'re talking aimlessly. 	're rambling. / (You)'re talki		
2331	20	ฉันไม่ว่า(อะไร) chǎn mâi wâa	à-rai	It didn't bother me. / It was fine with me. / I was cool with it. / I didn't mind. (=I didn't say anything because it was fine with me.) 	It didn't bother me. / It was 		
2332	1	ขออะไรอย่าง(หนึ่ง)ได้ไหม kɔ̌ɔ à-rai yàang	nʉ̀ng	dâi-mǎi Can (I) ask you a favor? / Will you do something for (me)?  	dâi-mǎi Can (I) ask you a favo	Super Useful Expressions, Part 117  	high-intermediate level
2333	2	มีอะไร(จะพูด)ก็พูดมา(สิ) INFORMAL mii à-rai	jà pûut	gɔ̂ɔ pûut maa (sì) If you have something to say, (just) say it.  	gɔ̂ɔ pûut maa (sì) If you have		
2334	3	ผมต่างหากที่ต้องขอบคุณคุณ pǒm dtàang-hàak tîi dtɔ̂ng kɔ̀ɔp-kun kun I should be the one thanking you. / I should be doing the thanking.  					
2335	4	เราเข้าใจตรงกัน rao kâo-jai dtrong-gan We're in agreement. / We're on the same page. / We have an understanding.  					
2336	5	ไม่เห็นเป็นไรเลย INFORMAL mâi hěn bpen-rai ləəi No, it's okay. / It's alright. / It's fine.	=It's not a problem or big deal.	Note: ไร (rai) is a shortened form of อะไร (à-rai).  	Note: ไร (rai) is a shortened 		
2337	6	คืออย่างนี้... kʉʉ yàang-níi It's like this... / I mean...	used when explaining something				
2338	7	คืองี้... INFORMAL kʉʉ ngíi It's like this... / I mean...	used when explaining something				
2339	8	คนสมัยนี้... kon sà-mǎi níi... People nowadays... / People today... / People these days...  					
2340	9	ถ้ามีอะไรผิดปกติ... tâa mii à-rai pìt-bpòk-gà-dtì... If there's anything unusual... / If something goes wrong... / If anything is out of  the ordinary...  Note: ปกติ	bpàk-gà-dtì	is an alternative pronunciation.  	is an alternative pronunciatio		
2341	10	มัน(จะ)เกิดขึ้นไม่ได้ man	jà	gə̀ət-kʉ̂n mâi-dâi That can't happen. / That's never gonna happen.  	gə̀ət-kʉ̂n mâi-dâi That can't 		
2342	11	เป็นอย่างที่คุณคิด bpen yàang-tîi kun kít It was just like you said.  					
2343	12	เอาไปไหน ao bpai-nǎi Where are you going with that? / Where are you taking that?  					
2344	13	โคตรเจ๋งเลย INFORMAL/MAINLY TEENAGE kôot jěng ləəi Totally awesome! / Freakin' cool man! 					
2345	14	เราจะ(แกล้ง)ทำเป็นไม่รู้จักกัน rao jà	glɛ̂ɛng	tam-bpen mâi-rúu-jàk gan We'll pretend we don't know each other. 	tam-bpen mâi-rúu-jàk gan We'll		
2346	15	แกรู้มั้ยว่าทำอะไรลงไป gɛɛ rúu mái wâa tam à-rai long bpai Do you know what you've done?!  					
2347	16	ชักช้าจริง chák-cháa jing	You	're so slow! (hurry!) / (He)'s driving so slow! (hurry up!) 	're so slow! (hurry!) / (He)'s		
2348	17	คุณคิดจะทำอะไร kun kít jà tam à-rai What do you think you're doing?! 					
2349	18	เขาถูกปฏิเสธ kǎo tùuk bpà-dtì-sèet He was rejected. / She was denied. / She was turned down. 					
2350	19	ฉันไม่ได้คิดอะไรกับเขา chǎn mâi-dâi kít à-rai gàp kǎo I don't have feelings for him. / I don't have a thing for him.  					
2351	20	มันเป็นจริงอย่างที่(ผม)คิด man bpen-jing yàang-tîi	pǒm	kít It's just like/as (I) thought.  	kít It's just like/as (I) thou		
2352	1	ฉันสับสน chǎn sàp-sǒn I'm confused. 	Super Useful Expressions, Part 118  	high-beginner level	high-beginner level		
2353	2	เขาโชคดี kǎo chôok-dii He's lucky. 					
2354	3	ไม่ได้ mâi-dâi No! /	You	can't!  	can't!  		
2355	4	พรุ่งนี้(วันเสาร์)/พรุ่งนี้เป็น(วันเสาร์) prûng-níi	wan-sǎo	/ prûng-níi bpen  (wan-sǎo) Tomorrow's (Saturday)  	/ prûng-níi bpen  (wan-sǎo) To		
2356	5	ไม่จำเป็น mâi jam-bpen It's not necessary. /	There's	no need.  	no need.  		
2357	6	ไม่อายเหรอ mâi aai rə̌ə Aren't you embarrassed/ashamed?!  					
2358	7	(มัน)อยู่ชั้น(3)	man	yùu chán (sǎam) (It)'s on the (3rd) floor. 	yùu chán (sǎam) (It)'s on the 		
