sequence|thai|phonetic|description|desc-short|set|level|
12|เป็นครั้งแรกในชีวิต|bpen kráng-rɛ̂ɛk nai chii-wít|It's the first time in my life. / This is the first time (I've done this) in my life.  |It's the first time in my life|||
13|จะเข้าห้องน้ INFORMAL|jà kâo hɔ̂ng-nám|I'm gonna go to the bathroom/restroom.  |I'm gonna go to the bathroom/r|||
14|เอาไงดี INFORMAL|ao ngai dii|Now what? / What should we do now?  Note: ไง (ngai) is short for อย่างไร (yàang-rai) |Now what? / What should we do |||
15|คอยดูนะ|kɔɔi duu ná|Wait and see! / You'll see! / You watch...  |Wait and see! / You'll see! / |||
16|ตื่นแล้วเหรอ|dtʉ̀ʉn lɛ́ɛo rə̌ə|Oh, you're awake? / You're up? / Are you awake? |Oh, you're awake? / You're up?|||
17|ให้ตายเถอะ INFORMAL|hâi dtaai tə̀|For God's sake! / Damn it! / Bloody hell! / Shit!  |For God's sake! / Damn it! / B|||
18|อย่าเพิ่ง/อย่าเพิ่ง...|yàa pə̂ng / yàa pə̂ng...|Don't! / Don't.... (do something yet)  |Don't! / Don't.... (do somethi|||
19|อย่ามาขวาง INFORMAL/INSULTING|yàa maa kwǎang|Get out of my way! / Don't block my way!  |Get out of my way! / Don't blo|||
20|ใช้เวลาให้เป็นประโยชน์|chái wee-laa hâi bpen bprà-yòot|Make good use of your time. / Spend your time wisely.  |Make good use of your time. / |||
1|ถูกใจไหม|tùuk-jai mǎi|Do you like it? / Is it to your liking?  |Do you like it? / Is it to you|Super Useful Short Expressions, Part 5  |high-beginner level|
2|สุดยอดเลย|sùt-yɔ̂ɔt ləəi|It's awesome/super/cool!  |It's awesome/super/cool!  |||
3|เก่งมาก|gèng mâak|Very good! / Nice job! / You're good at this!  |Very good! / Nice job! / You'r|||
4|ยินดีด้วย|yin-dii dûai|Congrats! / Congratulations!  |Congrats! / Congratulations!  |||
5|ชนแก้ว|chon gɛ̂ɛo|Cheers! |Cheers! |||
6|ทำใจดีๆ|tam-jai dii-dii|Hang in there! / Keep up your courage. / Hold on! / Cheer up!  |Hang in there! / Keep up your |||
7|พักผ่อนเถอะ|pák-pɔ̀n tə̀|Get some rest.  |Get some rest.  |||
8|ก็ใช่น่ะสิ INFORMAL|gɔ̂ɔ châi nâ sí|That's right! / Yeah, I am! / Exactly! / Of course!  |That's right! / Yeah, I am! / |||
9|ดีแล้ว|dii lɛ́ɛo|Good. / That's good. / Good for you.  |Good. / That's good. / Good fo|||
10|เชิญครับ|chəən kráp|Go ahead. / After you. / Please... / Come on in.  |Go ahead. / After you. / Pleas|||
11|แป๊บนึง|bpɛ́ɛp-nʉng|Just a moment. / Just a second.  |Just a moment. / Just a second|||
12|ขอโทษค่ะ|kɔ̌ɔ-tôot kà|I'm sorry. / Excuse me. / Pardon me.  |I'm sorry. / Excuse me. / Pard|||
13|สนุกจะตาย|sà-nùk jà-dtaai|This is soooo much fun! / It's a blast!  |This is soooo much fun! / It's|||
14|ไง INFORMAL|ngai|Hey. (Hi) / What's up?  |Hey. (Hi) / What's up?  |||
15|มาดูเร็ว|maa duu reo|Come and have a look!  |Come and have a look!  |||
16|พูดเล่นนะ|pûut-lên ná|I'm joking! |I'm joking! |||
17|ดูนั่นสิ|duu nân sí|Look at that! / Look! |Look at that! / Look! |||
18|หอมจังเลย|hɔ̌ɔm jang ləəi|It smells so good! |It smells so good! |||
19|จริงด้วย|jing dûai|That's right! / That's true!  |That's right! / That's true!  |||
20|ใครๆก็ชอบ...|krai-krai gɔ̂ɔ chɔ̂ɔp|Everyone likes/loves...  |Everyone likes/loves...  |||
1|พอได้แล้ว|pɔɔ dâi lɛ́ɛo|That's enough! (stop it!) / Enough! / Break it up! / Knock it off!  |That's enough! (stop it!) / En|Super Useful Short Expressions, Part 6  |low-intermediate level|
2|เลิกคิดได้แล้ว|lə̂ək kít dâi lɛ́ɛo|Quit thinking about it! / Get it out of your head!  |Quit thinking about it! / Get |||
3|ไม่ต้องโกหก|mâi dtɔ̂ng goo-hòk|You don't have to lie. / Don't lie (to me).  |You don't have to lie. / Don't|||
4|อย่าทำอะไรผม(เลย)|yàa tam à-rai pǒm (ləəi|Don't hurt me. / Don't do anything to me.  |Don't hurt me. / Don't do anyt|||
5|ระวังไว้ให้ดี(เถอะ)|rá-wang wái hâi dii tə̀|Watch your back. / Be very careful. / Look out.  |Watch your back. / Be very car|||
6|ถอยไป|tɔ̌ɔi bpai|Get back! / Get away! / Back off! / Stay away from me!  |Get back! / Get away! / Back o|||
7|อยู่เฉยๆ|yùu chə̌əi-chə̌əi|Stay still. / Don't move. / Stay right there. / Sit tight.  |Stay still. / Don't move. / St|||
8|เบาๆหน่อย|bao-bao nɔ̀i|Softly! / Not so rough. / Easy! / Not so loud! |Softly! / Not so rough. / Easy|||
9|อย่าดิ้น|yaa dîn|Don't move! / Don't try to escape! / Don't squirm!  |Don't move! / Don't try to esc|||
10|ปล่อยฉันเดี๋ยวนี้|bplɔ̀i chǎn dǐao-níi|Let go of me (right now)!  |Let go of me (right now)!  |||
11|พูดมาซิ|pûut maa sí|Tell me! / Say it!  |Tell me! / Say it!  |||
12|ไหนบอก(ว่า)...|nǎi bɔ̀ɔk (wâa|...) Hey, I thought you said...  |...) Hey, I thought you said..|||
13|ฉิบหาย|chìp-hǎai|Damn! / Shit!  |Damn! / Shit!  |||
14|เวรกรรม|ween-gam|Damn! / Damn it! / Oh, crap! / What bad luck! (This also means karma or What  goes around, comes around.)  |Damn! / Damn it! / Oh, crap! /|||
15|ทำไมมาช้าจัง|tam-mai maa cháa jang|Why are you so late?  |Why are you so late?  |||
16|ไม่น่าล่ะ / มิน่าล่ะ|mâi-nâa-lâ / mi-nâa-lâ|No wonder... ! / No wonder! / It's no wonder... ! / That's why... !  |No wonder... ! / No wonder! / |||
17|ไม่ใช่เด็กๆแล้วนะ|mâi-châi dèk-dèk lɛ́ɛo ná|You're not a kid/child (anymore)!  |You're not a kid/child (anymor|||
18|ไม่ดีเหรอ|mâi-dii rə̌ə|Is that (so) bad? / What's wrong with that?  |Is that (so) bad? / What's wro|||
19|ไม่คุ้มค่า|mâi kúm-kâa|It's not worth it.  |It's not worth it.  |||
20|ปล่อยให้(มัน)เป็นไป|bplɔ̀i hâi (man|bpen-bpai) Let it go. / Let it be. / So be it. |bpen-bpai) Let it go. / Let it|||
1|หิวน้|hǐu-náam|I'm thirsty.  |I'm thirsty.  |Super Useful Short Expressions, Part 7  |high-beginner level|
2|หิวข้าว|hǐu-kâao|I'm hungry.  |I'm hungry.  |||
3|เหนื่อยจัง|nʉ̀ai jang|I'm so tired.  |I'm so tired.  |||
4|ง่วงแล้ว|ngûang lɛ́ɛo|I'm sleepy.  |I'm sleepy.  |||
