sequence|thai|phonetic|description|desc-short|set|level|
9|ฉันเคยผ่านมันมาแล้ว chǎn kəəi pàan man maa lɛ́ɛo I've been through that before. / I've experienced that before.  ||||||
10|ไม่ใช่คนที่(ฉัน)เคยรู้จัก mâi-châi kon tîi|chǎn|kəəi rúu-jàk (He)'s not the person I used to know. (=He's changed and not like he used to be.) |kəəi rúu-jàk (He)'s not the pe|||
11|โดยไม่มีเงื่อนไข dooi mâi-mii-ngʉ̂an-kǎi No strings attached. / With no conditions. / Unconditionally. ||||||
12|มีหลายประเภท FORMAL/LITERARY mii lǎai bprà-pêet There are many kinds/types.  ||||||
13|ประเภทที่(||||||
1|... FORMAL/LITERARY bprà-pêet tîi|nʉ̀ng|... The (first) type/kind is...  |... The (first) type/kind is..|||
14|...หรืออะไรแบบนั้น rʉ̌ʉ à-rai bɛ̀ɛp-nán ||||||
..or something like that. |||||||
15|...จากทั่วทุกมุมโลก... ...jàak tûa túk mum lôok... ||||||
..from all over the world... /...from all around the world... /...from every corner of  the world...  |||||||
16|คิดถึงใจจะขาด kít-tʉ̌ng jai jà kàat(I) miss|him|so bad my heart's gonna break! / (I) miss (him) like crazy!  |so bad my heart's gonna break!|||
17|(หล่อ)ไม่แพ้กัน|lɔ̀ɔ|mâi-pɛ́ɛ-gan (He)'s just as (handsome)! / (He)'s equally (handsome)!  |mâi-pɛ́ɛ-gan (He)'s just as (h|||
18|คุณจะรู้สึกผิดไปตลอดชีวิต kun jà rúu-sʉ̀k-pìt bpai dtà-lɔ̀ɔt chii-wít You'll feel guilty for the rest of your life.  ||||||
19|ผมไม่อยากทำให้เธอเสียใจ pǒm mâi yàak tam-hâi təə sǐa-jai I don't wanna break her heart. / I don't want to hurt her.  ||||||
20|กลัวจะเสียเธอไป glua jà sǐa təə bpai|I|'m afraid (I)'ll lose her. |'m afraid (I)'ll lose her. |||
1|ขอบคุณพระเจ้า kɔ̀ɔp-kun prá-jâo Thank God! |Super Useful Expressions, Part 125  |low-intermediate level|low-intermediate level|||
2|เจอกันที่(รถ) jəə gan tîi|rót|Meet you at (the car). / See you at (the car).  |Meet you at (the car). / See y|||
3|(มัน)ซนมาก|man|son mâak He's very naughty/mischievous. |son mâak He's very naughty/mis|||
4|ดื่มเป็นเพื่อนผมหน่อย dʉ̀ʉm bpen-pʉ̂an pǒm nɔ̀i Have a drink with me. / Join me for a drink.  ||||||
5|เอาใหม่ ao mài Again. / Do it again. / Say it again. / Try again.  ||||||
6|เบาหน่อย bao nɔ̀i Easy! / Not so loud! ||||||
7|ต้องใช้เงินเยอะ dtɔ̂ng chái-ngən yə́ It costs a lot. / You have to spend a lot of money.  ||||||
8|ลองกินดู lɔɔng gin duu Have a taste. / Try it. / Give it a try. ||||||
9|น่ารังเกียจ(จริงๆ) nâa-rang-gìat|jing-jing|That's (really) disgusting/nasty/odious!  |That's (really) disgusting/nas|||
10|(เขา)อาจจะมาสาย|kǎo|àat-jà maa sǎai (He) might be late.  |àat-jà maa sǎai (He) might be |||
11|กลับมาแล้ว glàp maa lɛ́ɛo You're back. / He's back.  ||||||
12|อย่าเพิ่งไปนะ/อย่าเพิ่งไปสิ yàa pə̂ng bpai ná / yàa pə̂ng bpai sì Don't go|yet|! / Don't leave!  |! / Don't leave!  |||
13|ใกล้แล้ว glâi lɛ́ɛo|We're|close. / Almost there. / (She's) almost here.  |close. / Almost there. / (She'|||
14|ฉันไม่ได้ต้องการ(เงินมากมาย) chǎn mâi-dâi dtɔ̂ng-gaan|ngən mâak mǎai|I don't need/want (a lot of money). |I don't need/want (a lot of mo|||
15|เขาไม่มีหัวใจ kǎo mâi-mii hǔa-jai He's heartless! / He has no heart!  ||||||
16|เขาจมนำ้ตาย kǎo jom-náam dtaai He drowned.  ||||||
17|ปลอดภัย(ดี)(แล้ว) bplɔ̀ɔt-pai|dii|(lɛ́ɛo) (She)'s safe now. / (She)'s okay now.  (She)'s out of danger now. |(lɛ́ɛo) (She)'s safe now. / (S|||
18|ผมรู้มันเป็นยังไง pǒm rúu man bpen yang-ngaiI know what it's like. / I know how it is.  ||||||
19|ผมสงสาร(เขา) pǒm sǒng-sǎan|kǎo|I feel sorry for (him).  |I feel sorry for (him).  |||
20|น่าสงสาร nâa-sǒng-sǎan Poor thing! / What a pity. ||||||
1|จะมีประโยชน์อะไรล่ะ jà mii bprà-yòot à-rai lâ What's the point|in that|? / What good would that do? |? / What good would that do? |Super Useful Expressions, Part 126  |high-intermediate level|
2|ฉันเป็นแฟนพันธุ์แท้(ของ Black Pink) chǎn bpen fɛɛn-pan-tɛ́ɛ|kɔ̌ɔng Black Pink|I'm a huge fan (of Black Pink).  |I'm a huge fan (of Black Pink)|||
3|พอจะเข้าใจไหม pɔɔ jà kâo-jai mǎi Can you understand now?|after I've explained it to you|||||
4|อันที่จริง(แล้ว)... LITERARY/FORMAL an-tîi-jing|lɛ́ɛo|In fact... / As a matter of fact...  |In fact... / As a matter of fa|||
5|ทำไมเราถึงควร(จ้างคุณ) tam-mai rao tʉ̌ng kuan|jâang kun|Why should we (hire you)?  |Why should we (hire you)?  |||
6|ฉันได้มีโอกาสรู้จัก... chǎn dâi mii oo-gàat rúu-jàk... I had a chance to get to know... / I had a chance to become familiar with...  ||||||
7|ต้องยืดหยุ่น dtɔ̂ng yʉ̂ʉt-yùn|You|have to be flexible.  |have to be flexible.  |||
8|เป็นสาวประเภทสอง bpen sǎao bprà-pêet sɔ̌ɔngShe's a ladyboy. / She's a transgender|woman|. |. |||
9|จะเอา(...)ไปทำอะไร jà ao|...|bpai tam à-rai What do you need it for? / What are you gonna do with it? / What do you need...  for? |bpai tam à-rai What do you nee|||
10|(มัน)แปลตรงตัวว่า...|man|bplɛ̀ɛ dtrong-dtua wâa... (It) literally means... / Word for word (it) means...  |bplɛ̀ɛ dtrong-dtua wâa... (It)|||
11|มันตรงกันข้ามกับ...|man|dtrong-gan-kâam gàp... It's the opposite of...  |dtrong-gan-kâam gàp... It's th|||
12|รู้กันทั่วไปว่า... rúu-gan tûa-bpai wâa... It's common knowledge that... / It's commonly known that...  ||||||
13|ไม่รู้ว่า(ผม)จะทนได้นานแค่ไหน mâi-rúu wâa|pǒm|jà ton dâi naan kɛ̂ɛ-nǎi (I) don't know how long (I) can take/endure this.  |jà ton dâi naan kɛ̂ɛ-nǎi (I) d|||
14|ไม่รู้ว่า(ผม)จะทนได้อีกนานแค่ไหน mâi-rúu wâa|pǒm|jà ton dâi ìik naan  kɛ̂ɛ-nǎi (I) don't know how longer (I) can take/endure this. |jà ton dâi ìik naan  kɛ̂ɛ-nǎi |||
15|ทานข้าวให้หมด taan-kâao hâi-mòt Eat all your food. / Finish your meal. ||||||
16|เราจะไม่ทำให้(คุณ)ผิดหวัง rao jà mâi tam-hâi|kun|pìt-wǎng We won't disappoint you. / We won't let you down. |pìt-wǎng We won't disappoint y|||
17|อย่าลืมติดตาม(นะครับ) yàa lʉʉm dtìt-dtaam|ná-kráp|Don't forget to watch. / Don't forget to follow (along). (said of TV or other series) |Don't forget to watch. / Don't|||
18|แล้วยังไงต่อ lɛ́ɛo yang-ngai dtɔ̀ɔ|And|then what? / What happened next? / And then?  |then what? / What happened nex|||
19|มันไม่ดีต่อร่างกาย man mâi-dii dtɔ̀ɔ râang-gaai It's bad for you. / It's bad for your health. ||||||
20|ยินดีรับใช้ FORMAL yin-dii ráp-chái At your service. / I'm happy to help. ||||||
1|ฉันซื้อ(รถ)ให้ตัวเอง chǎn sʉ́ʉ|rót|hâi dtua-eeng I bought myself (a new car)! / I bought (a new car) for myself.  |hâi dtua-eeng I bought myself |Super Useful Expressions, Part 127  |high-intermediate level|
2|ว่าไงล่ะ INFORMAL wâa ngai lâ Well...? /|So,|what do you say? / So, what do you think?  |what do you say? / So, what do|||
3|บอกได้แค่นี้ bɔ̀ɔk dâi kɛ̂ɛ-níi That's all I can say|now|.  |.  |||
4|ผมเพิ่งมาทำงานที่นี่ pǒm pə̂ng maa tam-ngaan tîi-nîi|I've|just started working here.  |just started working here.  |||
5|(นั่งทำงาน)ตลอดทั้งวัน|nâng tam-ngaan|dtà-lɔ̀ɔt táng-wan (sit working) all day  |dtà-lɔ̀ɔt táng-wan (sit workin|||
6|ฟังอย่างตั้งใจ SEMI-LITERARY fang yàang-dtâng-jai Listen carefully. / Listen hard. / Listen attentively. ||||||
7|(ป้องกันไว้)ย่อมดีที่สุด|bpɔ̂ng-gan wái|yɔ̂m dii-tîi-sùt (Preventing it) is best/is the best way.  Note: ย่อม (yɔ̂m) here means something like 'naturally', 'inevitably', or 'of  course'.  |yɔ̂m dii-tîi-sùt (Preventing i|||
8|ไม่ต้องหรูหรา mâi-dtɔ̂ng rǔu-rǎa It doesn't need to be so fancy. / I don't need anything extravagant. ||||||
9|ยกตัวอย่างเช่น yók-dtua-yàang-chên For example... / For instance...  ||||||
10|(ความสำเร็จ)สำหรับฉันคือ...|kwaam-sǎm-rèt|sǎm-ràp chǎn kʉʉ... (Success) to me means... / For me, (success) is... |sǎm-ràp chǎn kʉʉ... (Success) |||
11|เตรียมตัวให้พร้อม(...) SEMI-LITERARY dtriam-dtua hâi-prɔ́ɔm(...) Get ready|for/to...|/ Be prepared (for/to...)  |/ Be prepared (for/to...)  |||
12|ไม่มีอะไรเทียบได้(กับ...) mâi-mii-à-rai tîap dâi|gàp...|Nothing compares (to...)  |Nothing compares (to...)  |||
13|(Vibe)ในที่นี้หมายถึง(ความรู้สึก)|Vibe|nai tîi-níi mǎai-tʉ̌ng (kwaam-rúu sʉ̀k) (Vibe) here means (feeling). ('here' means 'in this context') |nai tîi-níi mǎai-tʉ̌ng (kwaam-|||
14|มีผลต่อสุขภาพ mii-pǒn-dtɔ̀ɔ sùk-kà-pâap|It|affects your health. / (It) has an influence on your health. |affects your health. / (It) ha|||
15|กลับเป็นปกติ glàp bpen-bpòk-gà-dtì Back to normal.  ||||||
16|จะ(กำจัด)ด้วยวิธีไหนดี jà|gam-jàt|dûai wí-tii nǎi dii How can I (get rid of) it? / What can I do to (get rid of) it? (by what method)  |dûai wí-tii nǎi dii How can I |||
17|ทำไมถึงอยากได้(งานนี้) tam-mai-tʉ̌ng yàak dâi|ngaan-níi|Why do you want (this job)?  |Why do you want (this job)?  |||
18|ผมใฝ่ฝันอยากเป็นนักบิน SEMI-FORMAL/LITERARY pǒm fài-fǎn yàak  bpen nák-bin I have a dream of being a pilot. / I dreamed of being a pilot.  ||||||
19|ฉันรู้สึกอบอุ่นใจ chǎn rúu-sʉ̀k òp-ùn-jai It gives me a warm|comfortable|feeling. / It warms my heart.  |feeling. / It warms my heart. |||
20|(มันเป็น)ทุกสิ่งทุกอย่าง|man bpen|túk-sìng-túk-yàang (It's) everything.|túk-sìng-túk-yàang (It's) ever|||
1|เมาแล้ว mao lɛ́ɛo I'm drunk. / You're drunk. |Super Useful Expressions, Part 128  |high-beginner level|high-beginner level|||
2|ทำเองหรือ tam eeng rʉ̌ʉ Did you make|this/it|yourself?  |yourself?  |||
3|จะกลับกี่โมง jà glàp gìi-moong What time are|you|coming back? / What time are (you) going home? / When are (you) coming back?  |coming back? / What time are (|||
4|วันนี้วันอะไร wan-níi wan à-rai What day is it|today|?  |?  |||
5|มากับใคร maa gàp krai Who did you come with?  ||||||
6|ไปดูมาแล้ว bpai duu maa lɛ́ɛo I saw it already. / I looked already.  ||||||
7|อันนี้อะไร an-níi à-rai What is this|one|?  |?  |||
8|หนีไป(สิ) nǐi bpai|sì|Run (away)! / Run for it!  |Run (away)! / Run for it!  |||
9|ผมจะไปเดินเล่น pǒm jà bpai dəən-lên I'm going for a walk. / I'm gonna go out for a walk.  ||||||
10|ไปเดินเล่นมา bpai dəən-lên maa I went for a walk.  ||||||
11|เขาเห็นแก่ตัว kǎo hěn-gɛ̀ɛ-dtuaHe's selfish.  ||||||
12|เขารวยมาก kǎo ruai mâak He's rich/loaded/got lots of money.  ||||||
13|หนาวไหม nǎao mǎi Are you cold?  ||||||
14|ร้อนไหม rɔ́ɔn mǎi Are you hot? ||||||
15|ฉันกำลังจะมีลูก chǎn gam-lang-jà mii lûuk I'm gonna have a baby.  Note: กำลังจะ|gam-lang-jà|means 'about to' or 'going to'.  |means 'about to' or 'going to'|||
16|ไปดูหน่อยสิ INFORMAL bpai duu nɔ̀i sì Go have a look. / Go and have a look.  ||||||
17|เมื่อคืนนอนกี่ทุ่ม mʉ̂a-kʉʉn nɔɔn gìi-tûm What time did you go to bed last night?  ||||||
18|ฉันหลงรักเขา chǎn lǒng-rák kǎo I fell in love with him.  ||||||
19|(ก็)งั้นๆ|gɔ̂ɔ|ngán-ngán So-so.  Note: ก็ (gɔ̂ɔ) has various meanings depending on the context, but here it's used as a filler, much like a pause.  |ngán-ngán So-so.  Note: ก็ (gɔ|||
20|(มัน)เป็นของโปรดของผม|man|bpen kɔ̌ɔng-bpròot kɔ̌ɔng pǒm It's my favorite. / That's my favorite.  |bpen kɔ̌ɔng-bpròot kɔ̌ɔng pǒm |||
1|อะไรก็เกิดขึ้นได้ à-rai gɔ̂ɔ gə̀ət-kʉ̂n dâi Anything can happen. / Anything could happen.  |Super Useful Expressions, Part 129  |high-intermediate level|high-intermediate level|||
2|ไม่มีเหตุผล mâi-mii hèet-pǒn There's no reason. / It's illogical. / He's got to reason|to...|||||
3|ทำอะไรไม่ได้แล้ว tam à-rai mâi-dâi lɛ́ɛo Nothing more can be done. / There's nothing more we can do.  ||||||
4|นี่แหละคือ(ความสุข) nîi lɛ̀ kʉʉ|kwaam-sùk|THIS is (happiness). / This is what (happiness) is! (shows emphasis) |THIS is (happiness). / This is|||
5|รู้หมดทุกเรื่องเลย rúu mòt túk rʉ̂ang ləəi|You|know (about) everything!  |know (about) everything!  |||
6|หนีไม่ทัน nǐi mâi-tan|She|couldn't escape/get away (in time).  |couldn't escape/get away (in t|||
7|(มัน)ต้องมีสาเหตุ|man|dtɔ̂ng mii sǎa-hèet There must be a reason. / He's gotta have a reason.  |dtɔ̂ng mii sǎa-hèet There must|||
8|เปิดเผยไม่ได้ bpə̀ət-pə̌əi mâi-dâi|I|can't disclose that. / (I) can't reveal that. / (I) can't tell you that.  |can't disclose that. / (I) can|||
9|เขาปฏิเสธ(ทุก)ข้อกล่าวหา kǎo bpà-dtì-sèet|túk|kɔ̂ɔ-glàao-hǎa He denied (all) charges/allegations.  |kɔ̂ɔ-glàao-hǎa He denied (all)|||
10|ผมต้องบอกก่อนว่า... pǒm dtɔ̂ng bɔ̀ɔk gɔ̀ɔn wâa... First of all, I have to tell you/say... / I should first 7 that...  ||||||
11|ผมคิดมาตลอด(ว่า)... pǒm kít maa dtà-lɔ̀ɔt|wâa...|I always thought (that...)  |I always thought (that...)  |||
12|วันหนึ่งข้างหน้า... wan-nʉ̀ng kâang-nâa... One/some day in the future... ||||||
13|ยังสรุปไม่ได้(ว่า...) yang sà-rùp mâi-dâi|wâa...|We can't reach a conclusion yet (...) / I don't know yet. (it's inconclusive) |We can't reach a conclusion ye|||
14|ดีพอสมควร dii pɔɔ-sǒm-kuan Pretty good. / A fair amount. / Reasonably good.  ||||||
15|เกิดขึ้นตลอด 24 ชั่วโมง gə̀ət-kʉ̂n dtà-lɔ̀ɔt yîi-sìp-sìi chûa-moong|It|happens 24 hours a day. / (It)'s going on round the clock.  |happens 24 hours a day. / (It)|||
16|เอาคืนมา ao kʉʉn maa Give it back! / Give that back to me! ||||||
17|สาเหตุเพราะอะไร FORMAL sǎa-hèet prɔ́ à-rai What was the reason? / Why?  ||||||
18|ลองดูก็แล้วกัน lɔɔng duu gɔ̂ɔ-lɛ́ɛo-gan Give it a try. / Have a look.  ||||||
19|ฉันสัญญากับตัวเองว่าจะไม่ทำอีก chǎn sǎn-yaa gàp dtua-eeng wâa jà mâi tam ìik I promised myself that I would never do it/that again.  ||||||
20|จงเชื่อในตัวเอง jong chʉ̂a nai dtua-eeng Believe in yourself.  ||||||
1|เลิกเซ้าซี้ lə̂ək sáo-síi Stop pestering|me|! / Stop nagging (me)! |! / Stop nagging (me)! |Super Useful Expressions, Part 130  |high-intermediate level|
2|มีเรื่องให้ช่วยหน่อย mii rʉ̂ang hâi chûai nɔ̀i I need your help with something. / I have something I need you to help me with.||||||
3|(ฉันก็)จำชื่อไม่ได้แล้วเหมือนกัน|chǎn gɔ̂ɔ|jam chʉ̂ʉ mâi-dâi lɛ́ɛo mʉ̌an-gan I can't remember the/her name either.  |jam chʉ̂ʉ mâi-dâi lɛ́ɛo mʉ̌an-|||
4|ฟื้นขึ้นมาแล้ว fʉ́ʉn-kʉ̂n maa lɛ́ɛo He's conscious now. / He's awake now. OR He's been resurrected.  ||||||
5|(หน้า)บวมช้|nâa|buam-chám (Her face) is swollen and bruised. |buam-chám (Her face) is swolle|||
6|เขาจิตใจดี kǎo jìt-jai dii He has a good heart. / He's a very nice person. ||||||
7|ต้องได้รับโทษ dtɔ̂ng dâi-ráp tôot|He|must be punished/brought to justice.  |must be punished/brought to ju|||
8|วันนี้พอแค่นี้ก่อน wan-níi pɔɔ kɛ̂ɛ-nîi gɔ̀ɔn That's enough for today. / That's all for today. / Let's call it a day.  ||||||
9|จำแทบไม่ได้ jam tɛ̂ɛp mâi-dâi|I|can barely recognize (him). / (I) nearly didn't recognize (you). |can barely recognize (him). / |||
10|...โดย(ที่)ไม่มีใครเห็น ...dooi|tîi|mâi-mii-krai hěn |mâi-mii-krai hěn |||
..without anyone seeing (me). / ...unnoticed.  |||||||
11|...ถูกเก็บ(ไว้)ใน(ตู้เซฟ) ...tùuk gèp|wái|nai (dtûu-séep) They're kept in (a safe). / We keep it in (a safe).  |nai (dtûu-séep) They're kept i|||
12|(ฉัน)ไม่น่า(...)เลย|chǎn|mâi-nâa (...) ləəi (I) shouldn't have(...)  |mâi-nâa (...) ləəi (I) shouldn|||
13|เขาไม่ชอบหน้าผม kǎo mâi chɔ̂ɔp nâa pǒm He doesn't like me.  ||||||
14|งานต้องมาก่อน ngaan dtɔ̂ng maa gɔ̀ɔn Work has to come first. / Work has to take precedent. ||||||
15|ช่วยได้ทัน chûai dâi tanSaved in the nick of time. / Helped him in time.  ||||||
16|หนีไม่รอดหรอก nǐi mâi rɔ̂ɔt rɔ̀ɔk|He|can't escape! / (He) won't get away!  |can't escape! / (He) won't get|||
17|ไขกุญแจเข้าไปในห้อง kǎi-gun-jɛɛ kâo-bpai nai hɔ̂ng|He|unlocked the door and went into the room. / (He) opened the door and  walked in the room.  |unlocked the door and went int|||
18|ผมพกติดตัวตลอด(เวลา) pǒm pók dtìt-dtua dtà-lɔ̀ɔt|wee-laa|I always carry it with me. / I take it wherever I go. / I have it on me at all times.  (a phone, umbrella, etc.) |I always carry it with me. / I|||
19|เขาเป็นคนเก่ง kǎo bpen kon-gèng He's really good. / He's great. / He's very good at what he does.  ||||||
20|(ไอ้)ปัญญาอ่อน VERY STRONG|âi|bpan-yaa-ɔ̀ɔn Retard! / Idiot! / Moron! Note: Be very careful with this word. It also has a neutral meaning of  being mentally handicapped or having Down's syndrome.  |bpan-yaa-ɔ̀ɔn Retard! / Idiot!|||
1|ยังไงก็ขอบคุณ / ยังไงก็ขอบใจ yang-ngai gɔ̂ɔ kɔ̀ɔp-kun / yang-ngai gɔ̂ɔ kɔ̀ɔp-jai Thank you anyway. / Thanks anyway. |Super Useful Expressions, Part 131  |low-intermediate level|low-intermediate level|||
2|หนูพยายามทุกอย่าง(แล้ว) nǔu pá-yaa-yaam túk-yàang|lɛ́ɛo|I tried everything. / I've tried everything. |I tried everything. / I've tri|||
3|ต้องทำให้ได้ dtɔ̂ng tam hâi-dâi|You|gotta do it! / (You) have to do it! / (You) must do it! |gotta do it! / (You) have to d|||
4|(อาการ)ยังไม่ดีขึ้น|aa-gaan|yang mâi dii-kʉ̂n (He)'s not better yet. / (He) hasn't gotten any better yet.  |yang mâi dii-kʉ̂n (He)'s not b|||
5|มันเจ็บ(จริงๆ) man jèp|jing-jing|It (really) hurts! / That (really) hurts!  |It (really) hurts! / That (rea|||
6|ไม่เอาอะไร mâi ao à-rai I don't need anything. / I don't want anything.  ||||||
7|เขานอนโรงพยาบาล kǎo nɔɔn roong-pá-yaa-baan He's in the hospital. ||||||
8|พยายามฆ่าเขา pá-yaa-yaam kâa kǎo  He tried to kill/murder her. ||||||
9|มันหวานดี man wǎan dii It's nice and sweet! / It's really sweet.  ||||||
10|ทำไมแพงจัง(เลย) tam-mai pɛɛng jang|ləəi|Why is it/that so expensive?  |Why is it/that so expensive?  |||
11|หาทั่วแล้ว hǎa tûa lɛ́ɛo|I|searched/looked everywhere!  |searched/looked everywhere!  |||
12|ใช้ได้ chái-dâi It's useable. / You can use it. / It works.  ||||||
13|อร่อยที่สุดในโลก à-rɔ̀i tîi-sùt nai lôok The best in the world! / The most delicious in the world!  ||||||
14|ก็เหมือนเดิม gɔ̂ɔ mʉ̌an-dəəm The same. / Same as before. / Same as usual. ||||||
15|ฉันต้องไปทำงานต่อนะ chǎn dtɔ̂ng bpai tam-ngaan dtɔ̀ɔ ná I gotta get back to work. ||||||
16|ให้ฉันช่วยนะ hâi chǎn chûai ná Let me help you. / I'll give you a hand.  ||||||
17|ดูสิใครมา duu sì krai maa Look who's here!  ||||||
18|หลีกไป STRONG lìik bpai Get out of the way! / Move|out|! / Move it!  |! / Move it!  |||
19|เป็นเรื่องส่วนตัว bpen rʉ̂ang-sùan-dtua It's personal. / It's a private matter. / That's private.  ||||||
20|ไม่รับสาย mâi ráp-sǎai|He|doesn't answer. / He doesn't pick up the phone. |doesn't answer. / He doesn't p|||
1|มาครบแล้ว maa króp lɛ́ɛo Everyone's here! / We have everything now.|They've all arrived./All food items  we ordered have come, etc.|||Super Useful Expressions, Part 132  |high-intermediate level|
2|ถูกของคุณ tùuk kɔ̌ɔng kun You're right. / What you say is correct. ||||||
3|คุณทำถูก kun tam tùuk You did the right thing. / You were right. / What you did was right. ||||||
4|เราต้องทำทุกอย่างให้เสร็จภายใน|2 เดือน|rao dtɔ̂ng tam túk-yàang hâi sèt paai-nai (sɔ̌ɔng dʉan) We have to finish everything within (2 months).  |rao dtɔ̂ng tam túk-yàang hâi s|||
5|มีใครอีกไหม mii krai ìik mǎi Are there others? / Anyone else? ||||||
6|(จำเลย)รับสารภาพ|jam-ləəi|ráp sǎa-rá-pâap (The defendant) confessed. / (The defendant) pleaded guilty.  |ráp sǎa-rá-pâap (The defendant|||
7|(คุณ)คิดอย่างนั้นหรือ(เปล่า)|kun|kít yàang-nán rʉ̌ʉ (bplàao) Is that how you think? / Do you think like that? / Do you think that too?  |kít yàang-nán rʉ̌ʉ (bplàao) Is|||
8|ด้วยความยินดีครับ FORMAL dûai kwaam-yin-dii kráp It's my pleasure. / The pleasure was mine. / You're welcome. ||||||
9|มีพร้อมทุกอย่าง mii prɔ́ɔm túk-yàang It has everything. / He has everything.|example: a condo is fully furnished with  other things as well|. |. |||
10|มีมาหลายปีแล้ว mii maa lǎai bpii lɛ́ɛo|He|'s had it for many years. / (They)'ve been around for years. |'s had it for many years. / (T|||
11|ข้อหาอะไร kɔ̂ɔ-hǎa à-rai For what? / On what charge? / On what grounds?  ||||||
12|วางอาวุธ waang aa-wút Drop your weapon! / Put your weapon down! ||||||
13|ยกมือขึ้น yók-mʉʉ kʉ̂n Hands up!  ||||||
14|ไม่ใช่เรื่องบังเอิญ mâi-châi rʉ̂ang-bang-əən It's not a coincidence. / It's no coincidence. ||||||
15|ผมไม่มีที่ไป pǒm mâi-mii tîi bpai I have nowhere to go. / I have no place to go. / I have nowhere left to go.  ||||||
16|ขอโทษที่ทำให้ตกใจ kɔ̌ɔ-tôot tîi tam-hâi dtòk-jai Sorry to startle/scare you.  ||||||
17|ต้องเป็นเขา(แน่) dtɔ̂ng bpen kǎo|nɛ̂ɛ|It must be him! / It's gotta be him! / It must have been him! |It must be him! / It's gotta b|||
18|เพื่ออะไร(คะ) pʉ̂a à-rai|ká|For what? / For what purpose?  |For what? / For what purpose? |||
19|ที่เดิมเวลาเดิม tîi dəəm wee-laa dəəm Same place, same time.  ||||||
20|ไอ้เวร VULGAR âi-ween You bastard! / You asshole! ||||||
1|ฉันคิดออกแล้ว chǎn kít ɔ̀ɔk lɛ́ɛo I figured it out! / I got it! / I have an idea! |Super Useful Expressions, Part 133  |high-intermediate level|high-intermediate level|||
2|รู้จักเป็นอย่างดี rúu-jàk bpen yàang-dii I know her very well. / I'm very familiar with...  ||||||
3|ผมลืมตัวไป(หน่อย/นิด) pǒm lʉʉm-dtua bpai|nɔ̀i/nít|I got (a bit) carried away. / I lost self control.  |I got (a bit) carried away. / |||
4|(เขา)เป็นใครมาจากไหนไม่มีใครรู้|kǎo|bpen krai maa-jàak-nǎi mâi-mii-krai rúu No one knows who he is or where he's from.  |bpen krai maa-jàak-nǎi mâi-mii|||
5|ทุกอย่างปกติดี túk-yàang bpòk-gà-dtì dii / túk-yàang bpàk-gà-dtì dii Everything's normal/fine.  ||||||
6|ยังทำงานไม่เสร็จ yang tam-ngaan mâi sèt|He|'s not finished (with his work/the job) yet. / He isn't done yet.  |'s not finished (with his work|||
7|จะออกไปทำธุระข้างนอก jà ɔ̀ɔk bpai tam tú-rá kâang-nɔ̂ɔk|I|'m going out to run some errands.  |'m going out to run some erran|||
8|มันไม่สมควร man mâi-sǒm-kuanIt's not proper. / That's not appropriate.  ||||||
9|ยินดีรับใช้ค่ะ FORMAL yin-dii ráp-chái kà At your service. / You're very welcome. / I'm happy to serve|you|. |. |||
10|เพื่อนทุกคนต่าง(แปลกใจที่)... pʉ̂an túk-kon dtàang|bplɛ̀ɛk-jai tîi|... All (my) friends (were surprised that)...  |... All (my) friends (were sur|||
11|ฉันบอกตรงๆเลยนะ... chǎn bɔ̀ɔk dtrong-dtrong ləəi ná... To be honest... / I'm gonna tell it to you straight... / I'm gonna be honest with  you...  ||||||
12|ข่าวดีก็คือ... kàao dii gɔ̂ɔ kʉʉ... The good news is...  ||||||
13|มีข่าวร้าย(...) mii kàao ráai|...|(I) have some bad news(...)  |(I) have some bad news(...)  |||
14|มีวิธีอื่นไหม(คะ) mii wí-tii ʉ̀ʉn mǎi|ká|Do (you) have another way? / Do (you) have any other idea? (to solve this  problem, etc.) |Do (you) have another way? / D|||
15|ผม(ก็)ไม่เข้าใจเหมือนกัน pǒm|gɔ̂ɔ|mâi-kâo-jai mʉ̌an-gan I don't understand either. |mâi-kâo-jai mʉ̌an-gan I don't |||
16|ไม่มีประโยชน์ mâi mii bprà-yòot It's useless. / It's no use. / There's no point.  ||||||
17|มันสมควรตาย ANGRY man sǒm-kuan dtaai He deserved/deserves to die. ||||||
18|เต็มไปด้วยเลือด dtem-bpai-dûai lʉ̂at covered in blood / blood all over  ||||||
19|ผมไม่เคยอายที่(มีแฟนอ้วน) pǒm mâi-kəəi aai tîi|mii fɛɛn ûan|I've never been embarrassed (to have a fat girlfriend). / I've never been ashamed  of (having a fat girlfriend). |I've never been embarrassed (t|||
20|ฉันเองก็คิดเหมือนกัน chǎn eeng gɔ̂ɔ kít mʉ̌an-gan That's what I thought! / I thought the same thing myself! ||||||
1|พวกเขาไม่มีอะไรเหมือนกันเลย pûak-kǎo mâi-mii-à-rai mʉ̌an-gan ləəi They have nothing|at all|in common. |in common. |Super Useful Expressions, Part 134  |high-intermediate level|
2|ฉันทำเงินได้จำนวนมาก chǎn tam-ngən dâi jam-nuan mâak I made a lot of money!  ||||||
3|ต้องมีวิธีอื่น dtɔ̂ng mii wí-tii ʉ̀ʉn There must be another way.  ||||||
4|ต้องจับมันให้ได้ dtɔ̂ng jàp man hâi-dâi|We|'ve got to get him! / (I)'ve gotta arrest her!  |'ve got to get him! / (I)'ve g|||
