id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	mentions_frozen	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1401670901217693700	1401530545171951616	2021-06-07 05:42:39 +07	2021-06-07	05:42:39	+0700	1397957955157303301	3angieee	Angie		@cowosantuyy Pengen ikutan di onlyfans😭😢	in	[]	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/3Angieee/status/1401670901217693700	False		0		Jakarta						[{'screen_name': 'cowosantuyy', 'name': 'jidansu!', 'id': '1165795663839285248'}]				
1401670893667971075	1401029383226281987	2021-06-07 05:42:37 +07	2021-06-07	05:42:37	+0700	715411687	marintaneeoezr	yakin pasti ada jalan keluar		@Kemenag_RI @_AnakKolong Ada yg bisa adding monyet2 yg bilang dana haji di tilep pemerintah????	in	[]	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/marintaneeoezr/status/1401670893667971075	False		0		Jakarta						[{'screen_name': 'Kemenag_RI', 'name': 'Kementerian Agama RI', 'id': '175261567'}, {'screen_name': '_AnakKolong', 'name': 'Anak Kolong™ |', 'id': '1152151683746582528'}]				
1401670891256172544	1401670891256172544	2021-06-07 05:42:36 +07	2021-06-07	05:42:36	+0700	806486324916023296	fikamuntahaya	fika		Sedih	in	[]	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/fikamuntahaya/status/1401670891256172544	False	https://twitter.com/KawanBaikKomodo/status/1401412184068878336	0		Jakarta						[]				
1401670890123776000	1401616080997556224	2021-06-07 05:42:36 +07	2021-06-07	05:42:36	+0700	41951383	dielamaharanie	D I E L A		@jucamunga Thank you 😘😘😘	en	[]	[]	[]	[]	0	0	1	[]	[]	https://twitter.com/dielamaharanie/status/1401670890123776000	False		0		Jakarta						[{'screen_name': 'jucamunga', 'name': 'Juca ◎', 'id': '1299282759655936002'}]				
1401670886529409034	1401670886529409034	2021-06-07 05:42:35 +07	2021-06-07	05:42:35	+0700	135783107	detiksport	detiksport		Di daftar pemain skuad tim nasional Belanda di Euro 2020, kombinasi pemain berpengalaman dan sejumlah pemain muda dipadukan. Simak selengkapnya.  https://t.co/q02K0RSpWP	in	[]	[]	['https://sport.detik.com/sepakbola/bola-dunia/d-5595826/daftar-pemain-skuad-timnas-belanda-di-euro-2020?utm_term=echoboxauto&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detiksport&utm_source=Twitter#Echobox=1623019329']	[]	0	0	0	[]	[]	https://twitter.com/detiksport/status/1401670886529409034	False		0		Jakarta						[]				
1401670882859241473	1396819735958876164	2021-06-07 05:42:34 +07	2021-06-07	05:42:34	+0700	887989484326756353	fakhri0107	Muhammad fakhri		@yourprettydevi1 Ena2 hehe	in	[]	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/Fakhri0107/status/1401670882859241473	False		0		Jakarta						[{'screen_name': 'yourprettydevi1', 'name': 'yourprettydevill', 'id': '1359879047921029126'}]				
1401670880485203968	1401460509954625548	2021-06-07 05:42:34 +07	2021-06-07	05:42:34	+0700	1294480708786823168	ainaalit	ainaalit		@eedhazz99 @Danrim84 🙄🙄	und	[]	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/AinaAlit/status/1401670880485203968	False		0		Jakarta						[{'screen_name': 'eedhazz99', 'name': 'Pedjoeang Covid19⚡💥', 'id': '949294580263866370'}, {'screen_name': 'Danrim84', 'name': '&ri m', 'id': '1115148168'}]				
1401670880434868227	1401669949085523970	2021-06-07 05:42:34 +07	2021-06-07	05:42:34	+0700	341987176	commuterline	KAI Commuter		@windadwiandari Selamat pagi, Duri-Tangerang terakhir pkl. 23:48 WIB, tks.	in	[]	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/CommuterLine/status/1401670880434868227	False		0		Jakarta						[{'screen_name': 'windadwiandari', 'name': 'Winda Dwi Andari', 'id': '254458750'}]				
1401670870641393667	1401603913237807105	2021-06-07 05:42:32 +07	2021-06-07	05:42:32	+0700	14185724	anitadiah	ADWS		@saledrihijau @fnrizka @esjeruukseger Gue jadi pengen kawin 😌	in	[]	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/anitadiah/status/1401670870641393667	False		0		Jakarta						[{'screen_name': 'saledrihijau', 'name': 'Arni', 'id': '541727607'}, {'screen_name': 'fnrizka', 'name': 'Fitrah Nur Rizka', 'id': '46666495'}, {'screen_name': 'esjeruukseger', 'name': 'binyo', 'id': '939537898528899074'}]				
1401670867013160964	1401457598134579203	2021-06-07 05:42:31 +07	2021-06-07	05:42:31	+0700	1232096087198109696	riffandyan	Riff		@FWBESS Hayu	es	[]	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/Riffandyan/status/1401670867013160964	False		0		Jakarta						[{'screen_name': 'FWBESS', 'name': 'FRIENDS WITH BENEFITS!', 'id': '1298908543618183169'}]				
